Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.426,0.112,-3.022,-9.445,0.156,-3.106,2.17,1.75,0.63
,-9.442,0.074,-3.034,-9.433,0.057,-3.087,2.03,1.75,0.63
,-9.469,0.062,-3.044,-9.488,0.108,-3.08,2.17,1.61,0.63
,-9.454,0.115,-3.07,-9.474,0.101,-3.068,2.24,1.47,0.7
76.0,-9.43,0.105,-3.132,-9.452,0.108,-3.037,2.59,1.26,0.63
,-9.442,0.103,-3.072,-9.447,0.108,-3.034,2.73,1.26,0.7
,-9.452,0.069,-3.056,-9.447,0.098,-3.005,2.87,1.12,0.77
,-9.428,0.124,-3.058,-9.433,0.093,-2.977,2.8,1.12,0.77
152.0,-9.409,0.067,-3.005,-9.423,0.101,-3.013,2.8,1.19,0.84
,-9.471,0.089,-3.005,-9.43,0.124,-3.029,2.66,1.4,0.98
,-9.44,0.06,-2.97,-9.466,0.101,-3.017,2.45,1.4,0.84
,-9.447,0.105,-3.01,-9.421,0.117,-3.041,2.45,1.4,0.91
227.0,-9.428,0.115,-3.041,-9.459,0.103,-3.01,2.73,1.4,0.91
,-9.44,0.134,-3.053,-9.428,0.153,-3.056,2.8,1.54,0.98
,-9.438,0.136,-3.01,-9.442,0.072,-3.034,2.87,1.61,0.98
,-9.428,0.101,-3.046,-9.442,0.089,-3.034,2.73,1.26,0.91
302.0,-9.433,0.079,-3.044,-9.411,0.06,-3.022,2.45,1.26,0.91
,-9.452,0.112,-3.034,-9.459,0.108,-3.041,2.38,1.26,0.91
,-9.423,0.134,-3.08,-9.438,0.115,-2.994,2.31,1.26,0.98
,-9.445,0.115,-3.061,-9.421,0.11,-2.996,2.31,1.19,0.77
378.0,-9.435,0.156,-2.977,-9.423,0.132,-2.972,2.38,0.91,0.91
,-9.442,0.112,-3.008,-9.459,0.136,-3.001,2.31,1.12,0.84
,-9.45,0.122,-2.982,-9.442,0.084,-3.025,2.17,1.26,0.91
,-9.445,0.074,-2.984,-9.45,0.014,-2.994,2.24,1.19,0.91
454.0,-9.464,0.022,-2.991,-9.421,0.132,-3.034,2.52,1.47,1.33
,-9.438,0.086,-2.996,-9.462,0.16,-3.056,2.94,1.4,1.4
,-9.493,0.148,-3.029,-9.416,0.101,-3.032,2.8,1.54,1.33
,-9.447,0.146,-2.996,-9.418,0.158,-3.053,2.45,1.33,1.26
530.0,-9.452,0.156,-3.065,-9.409,0.065,-3.017,2.8,1.26,1.26
,-9.45,0.208,-3.029,-9.38,0.038,-2.955,2.73,1.12,1.19
,-9.433,0.184,-3.013,-9.445,0.017,-3.087,2.38,0.98,1.12
,-9.471,0.127,-2.979,-9.466,0.079,-2.831,1.89,1.12,0.98
605.0,-9.481,0.227,-3.029,-9.474,0.182,-2.912,3.71,1.47,1.26
,-9.49,0.268,-3.252,-9.411,0.196,-3.01,3.15,1.33,1.05
,-9.512,0.17,-3.039,-9.44,0.182,-3.013,2.38,1.26,0.91
,-9.442,0.172,-2.936,-9.485,0.187,-3.039,2.31,1.33,0.98
681.0,-9.457,0.223,-2.95,-9.483,0.203,-2.986,1.89,1.54,0.63
,-9.476,0.136,-2.991,-9.438,0.16,-3.003,1.68,1.33,0.42
,-9.466,0.196,-2.977,-9.402,0.108,-2.977,1.75,1.33,0.42
,-9.466,0.17,-2.972,-9.438,0.11,-2.965,1.68,1.61,0.56
757.0,-9.495,0.132,-2.97,-9.44,0.182,-2.996,1.96,1.61,0.56
,-9.464,0.17,-2.994,-9.497,0.158,-3.044,1.82,1.61,0.49
,-9.452,0.124,-3.025,-9.471,0.156,-3.01,1.89,1.61,0.35
,-9.483,0.141,-2.967,-9.457,0.184,-3.061,1.89,1.82,0.35
833.0,-9.433,0.141,-3.003,-9.445,0.132,-3.046,1.96,1.4,0.21
,-9.447,0.182,-3.039,-9.464,0.062,-2.998,2.1,1.68,0.28
,-9.481,0.146,-3.005,-9.44,0.012,-2.996,2.17,1.47,0.14
,-9.397,0.132,-3.017,-9.517,0.084,-2.994,2.31,1.47,-0.07
909.0,-9.423,0.115,-2.984,-9.45,0.141,-3.022,2.24,1.61,0.35
,-9.438,0.089,-3.008,-9.474,0.12,-3.02,2.24,1.75,0.42
,-9.464,0.062,-2.991,-9.471,0.141,-3.037,2.38,1.75,0.49
,-9.414,0.081,-2.986,-9.493,0.206,-2.998,2.66,1.61,0.49
984.0,-9.452,0.148,-3.053,-9.442,0.103,-3.051,2.73,1.68,0.7
,-9.39,0.141,-3.051,-9.452,0.086,-3.092,2.73,1.61,0.7
,-9.45,0.151,-3.082,-9.445,0.117,-3.156,2.87,1.68,0.7
,-9.445,0.086,-3.058,-9.433,0.081,-2.97,2.94,1.47,0.77
1060.0,-9.423,0.103,-2.97,-9.462,0.122,-3.039,2.94,1.68,0.77
,-9.442,0.151,-3.118,-9.428,0.098,-3.034,3.29,1.75,0.77
,-9.457,0.096,-3.01,-9.454,0.139,-3.053,3.01,1.75,0.77
,-9.45,0.141,-3.037,-9.43,0.153,-3.029,3.01,1.47,0.77
1135.0,-9.392,0.127,-3.037,-9.469,0.101,-3.01,2.87,1.54,0.63
,-9.457,0.057,-3.001,-9.462,0.127,-3.037,2.66,1.4,0.56
,-9.426,0.086,-2.955,-9.452,0.112,-2.994,2.8,1.47,0.7
,-9.445,0.089,-3.039,-9.459,0.069,-3.025,2.94,1.26,0.56
1211.0,-9.5,0.105,-3.032,-9.442,0.129,-2.97,3.43,1.4,0.63
,-9.454,0.132,-3.001,-9.421,0.136,-3.022,3.36,1.4,0.56
,-9.45,0.132,-2.972,-9.435,0.182,-3.015,3.22,1.47,0.63
,-9.438,0.117,-3.005,-9.416,0.132,-3.034,3.29,1.26,0.56
1287.0,-9.428,0.139,-2.97,-9.43,0.117,-2.984,3.29,1.47,0.49
,-9.421,0.108,-2.986,-9.414,0.136,-2.974,2.94,1.4,0.49
,-9.447,0.096,-2.982,-9.445,0.108,-3.017,2.94,1.54,0.56
,-9.471,0.112,-2.991,-9.452,0.141,-3.01,2.94,1.61,0.56
1363.0,-9.438,0.096,-2.989,-9.466,0.112,-3.01,2.52,1.47,0.28
,-9.433,0.096,-2.974,-9.457,0.108,-3.037,2.52,1.61,0.42
