Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.397,-1.307,-2.958,-9.347,-1.283,-3.008,2.52,0.91,0.91
,-9.356,-1.275,-2.986,-9.366,-1.307,-2.989,2.45,0.98,1.05
,-9.361,-1.295,-3.015,-9.349,-1.292,-2.972,2.31,0.84,0.84
,-9.38,-1.321,-3.001,-9.387,-1.29,-2.967,2.66,0.91,0.84
75.0,-9.38,-1.307,-2.958,-9.351,-1.311,-2.912,2.73,0.98,0.91
,-9.375,-1.295,-2.907,-9.373,-1.364,-2.898,2.73,1.12,0.77
,-9.39,-1.268,-2.924,-9.375,-1.29,-2.903,2.52,1.19,0.84
,-9.39,-1.29,-2.936,-9.395,-1.28,-2.941,2.24,1.12,0.84
150.0,-9.351,-1.302,-2.919,-9.421,-1.383,-2.931,2.17,1.47,0.77
,-9.337,-1.299,-2.941,-9.399,-1.29,-2.977,2.03,1.4,0.91
,-9.356,-1.259,-2.989,-9.378,-1.256,-2.986,2.24,1.61,0.91
,-9.354,-1.268,-2.927,-9.349,-1.256,-3.008,2.38,1.61,0.98
226.0,-9.404,-1.285,-2.994,-9.351,-1.316,-2.984,2.59,1.54,0.91
,-9.402,-1.302,-2.994,-9.395,-1.285,-3.02,2.73,1.54,0.84
,-9.356,-1.292,-2.994,-9.392,-1.278,-2.96,2.59,1.47,0.84
,-9.356,-1.28,-2.979,-9.392,-1.321,-3.013,2.59,1.4,0.84
302.0,-9.411,-1.297,-2.958,-9.404,-1.266,-2.95,2.38,1.61,0.77
,-9.407,-1.307,-2.929,-9.387,-1.24,-2.948,2.52,1.47,0.77
,-9.368,-1.292,-2.919,-9.409,-1.318,-2.967,2.45,1.47,0.63
,-9.39,-1.261,-2.919,-9.356,-1.326,-3.005,2.73,1.61,0.7
378.0,-9.392,-1.342,-2.974,-9.363,-1.273,-3.001,2.59,2.03,0.77
,-9.39,-1.292,-2.972,-9.323,-1.311,-3.072,2.59,1.96,0.7
,-9.375,-1.261,-2.96,-9.378,-1.299,-3.025,2.59,1.82,0.7
,-9.39,-1.263,-2.97,-9.404,-1.352,-3.027,2.73,1.68,0.7
453.0,-9.399,-1.307,-3.029,-9.399,-1.316,-2.919,2.66,1.68,0.7
,-9.404,-1.307,-2.979,-9.366,-1.285,-2.989,2.66,1.54,0.63
,-9.363,-1.285,-2.915,-9.397,-1.304,-2.974,2.66,1.54,0.63
,-9.332,-1.297,-2.931,-9.344,-1.338,-2.986,2.59,1.68,0.7
529.0,-9.385,-1.318,-2.979,-9.438,-1.237,-2.984,2.03,1.54,0.7
,-9.351,-1.397,-2.91,-9.407,-1.283,-2.962,1.96,1.61,0.77
,-9.366,-1.34,-3.008,-9.404,-1.251,-2.977,2.8,1.61,0.77
,-9.39,-1.295,-3.015,-9.397,-1.271,-3.025,3.15,1.47,0.77
605.0,-9.342,-1.326,-3.005,-9.423,-1.28,-2.986,2.38,1.47,0.91
,-9.387,-1.328,-3.022,-9.351,-1.311,-2.903,2.59,1.4,0.98
,-9.356,-1.318,-2.982,-9.363,-1.326,-2.948,2.8,1.4,0.91
,-9.351,-1.278,-2.943,-9.392,-1.307,-2.934,2.73,1.47,0.91
681.0,-9.409,-1.292,-2.946,-9.387,-1.321,-2.967,2.52,1.54,0.91
,-9.392,-1.318,-2.974,-9.378,-1.326,-2.991,2.52,1.4,0.84
,-9.385,-1.295,-2.953,-9.397,-1.304,-3.027,2.38,1.33,0.84
,-9.356,-1.302,-2.943,-9.34,-1.297,-2.96,2.38,1.4,0.77
757.0,-9.395,-1.297,-2.96,-9.409,-1.307,-2.965,2.45,1.4,0.84
,-9.404,-1.292,-2.97,-9.39,-1.295,-2.946,2.52,1.33,0.91
,-9.378,-1.283,-2.931,-9.38,-1.316,-2.922,2.52,1.33,0.91
,-9.383,-1.273,-3.003,-9.378,-1.297,-2.919,2.66,1.33,0.84
832.0,-9.411,-1.302,-2.931,-9.359,-1.244,-2.994,2.31,1.54,0.84
