Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
35019.0,-9.397,-1.307,-2.958,-9.347,-1.283,-3.008,2.52,0.91,0.91,0.18700384615384813,0.23531346153846222,-0.3802884615384614,-0.05034615384615382,-0.023148076923076966,-0.3494615384615384,-0.716359615384615,-0.7684653846153848,0.15211538461538465,0.7420756512899653,0.8040194686688384,0.7485275954003661,0.7524842507206286,0.0,-0.652639791358422,0.0,-0.09581790504172644
,-9.356,-1.275,-2.986,-9.366,-1.307,-2.989,2.45,0.98,1.05,0.2280038461538485,0.2163134615384621,-0.45028846153846125,-0.01834615384615379,-0.04714807692307699,-0.27946153846153843,-0.744359615384615,-0.7494653846153847,0.29211538461538467,0.778712766196514,0.781481169022634,0.7504462009797902,0.756094118540865,-0.1102860756415526,-0.7071233610646397,-0.006734417411670586,-0.10289644592772987
,-9.361,-1.295,-3.015,-9.349,-1.292,-2.972,2.31,0.84,0.84,0.22300384615384772,0.23331346153846155,-0.5902884615384614,-0.03834615384615381,-0.032148076923077085,-0.41946153846153844,-0.773359615384615,-0.7324653846153848,0.08211538461538459,0.8057829966076732,0.7693986027051745,0.7528793552272094,0.7553810778846091,-0.21918939925791878,-0.7616120833938818,-0.023130493863520354,-0.11002151657894771
,-9.38,-1.321,-3.001,-9.387,-1.29,-2.967,2.66,0.91,0.84,0.2040038461538476,0.1953134615384613,-0.24028846153846128,-0.06434615384615383,-0.030148076923077083,-0.3494615384615384,-0.7593596153846147,-0.7274653846153849,0.08211538461538459,0.7889138243416867,0.7538316394354283,0.7540843523657373,0.7580996724149777,-0.32456372224527885,-0.8161762709688888,-0.05435672755047792,-0.11682825334848136
35094.0,-9.38,-1.307,-2.958,-9.351,-1.311,-2.912,2.73,0.98,0.91,0.2040038461538476,0.23131346153846088,-0.17028846153846144,-0.05034615384615382,-0.05114807692307699,-0.27946153846153843,-0.716359615384615,-0.6724653846153847,0.15211538461538465,0.7465409586932634,0.7129738682222171,0.7531416110155609,0.7565953472345278,-0.4320357167259805,-0.870635141746356,-0.07848098051825493,-0.12419331097433937
,-9.375,-1.295,-2.907,-9.373,-1.364,-2.898,2.73,1.12,0.77,0.20900384615384837,0.20931346153846242,-0.17028846153846144,-0.03834615384615381,-0.10414807692307715,-0.1394615384615383,-0.6653596153846149,-0.658465384615385,0.012115384615384639,0.6984672168446111,0.6987385847687785,0.7508319393745735,0.755404661720539,-0.5414189621477354,-0.9249183821159868,-0.09628487096243059,-0.13229909184927857
,-9.39,-1.268,-2.924,-9.375,-1.29,-2.903,2.52,1.19,0.84,0.1940038461538478,0.20731346153846175,-0.3802884615384614,-0.011346153846153895,-0.030148076923077083,-0.06946153846153846,-0.6823596153846148,-0.6634653846153848,0.08211538461538459,0.7094933912570475,0.6957543348481988,0.7487799862015826,0.7551245789531457,-0.6517111703071478,-0.9792385666258712,-0.10063319463409091,-0.14038723377210552
,-9.39,-1.29,-2.936,-9.395,-1.28,-2.941,2.24,1.12,0.84,0.1940038461538478,0.18731346153846218,-0.6602884615384612,-0.033346153846153914,-0.020148076923077074,-0.1394615384615383,-0.6943596153846148,-0.7014653846153847,0.08211538461538459,0.7217234468796807,0.7263235943371444,0.746571386759009,0.7574161528790083,-0.7605011235879513,-1.033664882106764,-0.11740033767469425,-0.1476649129272836
35169.0,-9.351,-1.302,-2.919,-9.421,-1.383,-2.931,2.17,1.47,0.77,0.2330038461538475,0.16131346153846238,-0.7302884615384615,-0.045346153846153925,-0.12314807692307705,0.21053846153846156,-0.6773596153846149,-0.6914653846153849,0.012115384615384639,0.7177486430116872,0.7206329577841102,0.7473015844473212,0.7590881506318415,-0.8698428013953677,-1.0877051711764072,-0.13679347962114385,-0.15627008041514392
,-9.337,-1.299,-2.941,-9.399,-1.29,-2.977,2.03,1.4,0.91,0.24700384615384863,0.18331346153846262,-0.8702884615384616,-0.04234615384615381,-0.030148076923077083,0.1405384615384615,-0.6993596153846147,-0.7374653846153847,0.15211538461538465,0.7429050870678383,0.7605050461563622,0.7477202879040175,0.7642849414352635,-0.9787355447286002,-1.1417806553034318,-0.15352035354225296,-0.16486220147724273
,-9.356,-1.259,-2.989,-9.378,-1.256,-2.986,2.24,1.61,0.91,0.2280038461538485,0.20431346153846164,-0.6602884615384612,-0.0023461538461537756,0.0038519230769229473,0.3505384615384617,-0.7473596153846147,-0.746465384615385,0.15211538461538465,0.7813690888476821,0.7739311327929725,0.7477393665415366,0.7663832866096186,-1.088878129274173,-1.1959580492807211,-0.152517953761735,-0.17270450828895792
,-9.354,-1.268,-2.927,-9.349,-1.256,-3.008,2.38,1.61,0.98,0.23000384615384917,0.23331346153846155,-0.5202884615384615,-0.011346153846153895,0.0038519230769229473,0.3505384615384617,-0.6853596153846149,-0.7684653846153848,0.2221153846153846,0.7230133517804573,0.8031121067438349,0.7479910929595661,0.7683107758254217,-1.1988897988187408,-1.2502440742663599,-0.15551876538214393,-0.17995531708325388
35245.0,-9.404,-1.285,-2.994,-9.351,-1.316,-2.984,2.59,1.54,0.91,0.18000384615384846,0.23131346153846088,-0.31028846153846157,-0.0283461538461538,-0.056148076923077106,0.2805384615384616,-0.752359615384615,-0.7444653846153848,0.15211538461538465,0.774112317386653,0.7815927538824792,0.7504861699029428,0.7658181646392498,-1.308264843529039,-1.3044585395677806,-0.17026119062002848,-0.18770144866950125
,-9.402,-1.302,-2.994,-9.395,-1.285,-3.02,2.73,1.54,0.84,0.18200384615384912,0.18731346153846218,-0.17028846153846144,-0.045346153846153925,-0.025148076923076967,0.2805384615384616,-0.752359615384615,-0.7804653846153848,0.08211538461538459,0.775388073512302,0.8030224002039361,0.7508782721412538,0.7663814228014824,-1.4154097672454702,-1.3585902557828002,-0.19491747744577448,-0.1959006881318245
,-9.356,-1.292,-2.994,-9.392,-1.278,-2.96,2.59,1.47,0.84,0.2280038461538485,0.1903134615384623,-0.31028846153846157,-0.035346153846153916,-0.018148076923077072,0.21053846153846156,-0.752359615384615,-0.7204653846153848,0.08211538461538459,0.7869435146910798,0.7453985086970271,0.7496163927710344,0.764640998302101,-1.5244541960032703,-1.467110395060806,-0.2097725056959972,-0.21177503752609697
,-9.356,-1.28,-2.979,-9.392,-1.321,-3.013,2.59,1.4,0.84,0.2280038461538485,0.1903134615384623,-0.31028846153846157,-0.023346153846153905,-0.061148076923077,0.1405384615384615,-0.7373596153846149,-0.7734653846153847,0.08211538461538459,0.7721593094436557,0.7988785903705063,0.7479384141300375,0.7648713867336041,-1.634639084593994,-1.5755990372109223,-0.21892930489148632,-0.22795739530946893
35321.0,-9.411,-1.297,-2.958,-9.404,-1.266,-2.95,2.38,1.61,0.77,0.17300384615384878,0.17831346153846184,-0.5202884615384615,-0.04034615384615381,-0.0061480769230770616,0.3505384615384617,-0.716359615384615,-0.710465384615385,0.012115384615384639,0.7380577494127378,0.7325261443473314,0.7464160575393529,0.7644586753066179,-1.7419770741858307,-1.6839364746514238,-0.2420342329880677,-0.2446909812497466
,-9.407,-1.307,-2.929,-9.387,-1.24,-2.948,2.52,1.47,0.77,0.17700384615384834,0.1953134615384613,-0.3802884615384614,-0.05034615384615382,0.01985192307692296,0.21053846153846156,-0.6873596153846147,-0.7084653846153848,0.012115384615384639,0.7115675214777872,0.7351630079827284,0.7438266872114737,0.7640725440147258,-1.8477334683997115,-1.7918521010847426,-0.270097366723245,-0.2623385939475202
,-9.368,-1.292,-2.919,-9.409,-1.318,-2.967,2.45,1.47,0.63,0.21600384615384804,0.17331346153846106,-0.45028846153846125,-0.035346153846153916,-0.05814807692307711,0.21053846153846156,-0.6773596153846149,-0.7274653846153849,-0.12788461538461537,0.7118448290877476,0.7500830891400668,0.7459255465742055,0.7658338659702201,-1.957001887803792,-1.8995845209316164,-0.28597378838299053,-0.2804931381757848
,-9.39,-1.261,-2.919,-9.356,-1.326,-3.005,2.73,1.61,0.7,0.1940038461538478,0.22631346153846188,-0.17028846153846144,-0.004346153846153777,-0.06614807692307711,0.3505384615384617,-0.6773596153846149,-0.7654653846153847,-0.05788461538461542,0.7046079973501107,0.8009560574703964,0.7497631038584831,0.7700018704948897,-2.067764876243724,-2.0072677409257498,-0.2859408168756667,-0.29869802260995487
35397.0,-9.392,-1.342,-2.974,-9.363,-1.273,-3.001,2.59,2.03,0.77,0.1920038461538489,0.2193134615384622,-0.31028846153846157,-0.08534615384615396,-0.013148076923076957,0.7705384615384614,-0.732359615384615,-0.7614653846153847,0.012115384615384639,0.7619055382135659,0.7925281056885071,0.7533902383643063,0.7726091112719919,-2.168510952569269,-2.114785514046251,-0.32837343017235066,-0.3178288414519639
,-9.39,-1.292,-2.972,-9.323,-1.311,-3.072,2.59,1.96,0.7,0.1940038461538478,0.25931346153846135,-0.31028846153846157,-0.035346153846153916,-0.05114807692307699,0.7005384615384616,-0.7303596153846148,-0.8324653846153849,-0.05788461538461542,0.7565130604946383,0.8734175483071248,0.7567085177871941,0.7717694176909587,-2.277365821970949,-2.222116989064475,-0.34529674378131786,-0.33765897472046347
,-9.375,-1.261,-2.96,-9.378,-1.299,-3.025,2.59,1.82,0.7,0.20900384615384837,0.20431346153846164,-0.31028846153846157,-0.004346153846153777,-0.03914807692307698,0.5605384615384617,-0.7183596153846148,-0.7854653846153847,-0.05788461538461542,0.7481590965669586,0.8125468804454287,0.7589911893959554,0.7726904006269979,-2.38786071678109,-2.329354490858464,-0.3452352581466919,-0.35774721410440663
,-9.39,-1.263,-2.97,-9.404,-1.352,-3.027,2.73,1.68,0.7,0.1940038461538478,0.17831346153846184,-0.17028846153846144,-0.006346153846153779,-0.09214807692307714,0.4205384615384615,-0.728359615384615,-0.787465384615385,-0.05788461538461542,0.7537808005742447,0.812643027788897,0.7588548022073746,0.7711945261404112,-2.4988226489360468,-2.4366364686319386,-0.34672391935206154,-0.3774877321476818
35472.0,-9.399,-1.307,-3.029,-9.399,-1.316,-2.919,2.66,1.68,0.7,0.18500384615384924,0.18331346153846262,-0.24028846153846128,-0.05034615384615382,-0.056148076923077106,0.4205384615384615,-0.7873596153846147,-0.6794653846153849,-0.05788461538461542,0.8103680165439813,0.7059954961711201,0.7567496380979054,0.7704935789095585,-2.60560570680188,-2.5438534687862604,-0.37360860673943763,-0.39801386140363504
,-9.404,-1.307,-2.979,-9.366,-1.285,-2.989,2.66,1.54,0.63,0.18000384615384846,0.2163134615384621,-0.24028846153846128,-0.05034615384615382,-0.025148076923076967,0.2805384615384616,-0.7373596153846149,-0.7494653846153847,-0.12788461538461537,0.7606808280990301,0.7804628768572962,0.7581564946843891,0.7696642518664084,-2.711883161158292,-2.650894264709234,-0.40088167468990615,-0.4196207920878268
,-9.363,-1.285,-2.915,-9.397,-1.304,-2.974,2.66,1.54,0.63,0.22100384615384883,0.1853134615384615,-0.24028846153846128,-0.0283461538461538,-0.044148076923077095,0.2805384615384616,-0.6733596153846149,-0.734465384615385,-0.12788461538461537,0.7092667876642613,0.7587684316849234,0.7568316277213244,0.7707637668224816,-2.8215236212281534,-2.75790026070277,-0.4127330842510838,-0.44137161808327063
,-9.332,-1.297,-2.931,-9.344,-1.338,-2.986,2.59,1.68,0.7,0.25200384615384763,0.23831346153846233,-0.31028846153846157,-0.04034615384615381,-0.07814807692307713,0.4205384615384615,-0.6893596153846149,-0.746465384615385,-0.05788461538461542,0.735085321530592,0.7874712682417144,0.7554275669105309,0.769148661942767,-2.9309907715445784,-2.8649488720654044,-0.42747571977934123,-0.4628905731507097
35548.0,-9.385,-1.318,-2.979,-9.438,-1.237,-2.984,2.03,1.54,0.7,0.19900384615384858,0.14431346153846114,-0.8702884615384616,-0.06134615384615394,0.022851923076922853,0.2805384615384616,-0.7373596153846149,-0.7444653846153848,-0.05788461538461542,0.7662017252498768,0.7586681056035368,0.7537721399984003,0.769224452622918,-3.035962772710957,-2.9719586549870667,-0.4582037283107397,-0.48463726060843526
,-9.351,-1.397,-2.91,-9.407,-1.283,-2.962,1.96,1.61,0.77,0.2330038461538475,0.17531346153846172,-0.9402884615384615,-0.1403461538461539,-0.023148076923076966,0.3505384615384617,-0.668359615384615,-0.722465384615385,0.012115384615384639,0.7215901958168255,0.743792225846231,0.7529623522992192,0.7666912954370783,-3.130370009511559,-3.078895009606577,-0.5131946576925919,-0.5067549455723367
,-9.366,-1.34,-3.008,-9.404,-1.251,-2.977,2.8,1.61,0.77,0.2180038461538487,0.17831346153846184,-0.1002884615384616,-0.08334615384615396,0.008851923076923063,0.3505384615384617,-0.7663596153846148,-0.7374653846153847,0.012115384615384639,0.8011113021242882,0.7587682390650689,0.7522664448028689,0.765979999630109,-3.233078632744709,-3.1859199055045653,-0.5504991304531346,-0.5284231814775722
,-9.39,-1.295,-3.015,-9.397,-1.271,-3.025,3.15,1.47,0.77,0.1940038461538478,0.1853134615384615,0.24971153846153848,-0.03834615384615381,-0.011148076923076955,0.21053846153846156,-0.773359615384615,-0.7854653846153847,0.012115384615384639,0.7982437062358326,0.8071067024101857,0.7551913678109397,0.7650310686131484,-3.341182681995199,-3.29310735363085,-0.5696118662508523,-0.5492543078830091
35624.0,-9.342,-1.326,-3.005,-9.423,-1.28,-2.986,2.38,1.47,0.91,0.24200384615384785,0.1593134615384617,-0.5202884615384615,-0.06934615384615395,-0.020148076923077074,0.21053846153846156,-0.7633596153846147,-0.746465384615385,0.15211538461538465,0.803798888408448,0.7635425950528627,0.7552043381547655,0.7664501972287051,-3.447173271440168,-3.4001773524521104,-0.5980344845263249,-0.5704431975901736
,-9.387,-1.328,-3.022,-9.351,-1.311,-2.903,2.59,1.4,0.98,0.19700384615384792,0.23131346153846088,-0.31028846153846157,-0.07134615384615395,-0.05114807692307699,0.1405384615384615,-0.7803596153846146,-0.6634653846153848,0.2221153846153846,0.8079987118747601,0.704491561230278,0.7565277424121957,0.7668636711952156,-3.551119474061786,-3.507163838867979,-0.6329838026556834,-0.5922574574575645
,-9.356,-1.318,-2.982,-9.363,-1.326,-2.948,2.8,1.4,0.91,0.2280038461538485,0.2193134615384622,-0.1002884615384616,-0.06134615384615394,-0.06614807692307711,0.1405384615384615,-0.740359615384615,-0.7084653846153848,0.15211538461538465,0.7770981048394848,0.7445785141211294,0.7557874466537506,0.7670002248446406,-3.6580178480390777,-3.614415087618432,-0.6590877036036666,-0.6132441677642851
,-9.351,-1.278,-2.943,-9.392,-1.307,-2.934,2.73,1.47,0.91,0.2330038461538475,0.1903134615384623,-0.17028846153846144,-0.021346153846153904,-0.04714807692307699,0.21053846153846156,-0.7013596153846149,-0.694465384615385,0.15211538461538465,0.73935902016474,0.7216123095051045,0.756763628565672,0.7651843827610265,-3.7680669668389464,-3.721731180485253,-0.6667738226674068,-0.6336483807828791
35700.0,-9.409,-1.292,-2.946,-9.387,-1.321,-2.967,2.52,1.54,0.91,0.17500384615384768,0.1953134615384613,-0.3802884615384614,-0.035346153846153916,-0.061148076923077,0.2805384615384616,-0.704359615384615,-0.7274653846153849,0.15211538461538465,0.7266348220014771,0.7557065047908059,0.7580153068786676,0.7672793683527733,-3.8765201332865376,-3.8289252503574858,-0.6861973144165209,-0.6547906197350696
,-9.392,-1.318,-2.974,-9.378,-1.326,-2.991,2.52,1.4,0.84,0.1920038461538489,0.20431346153846164,-0.3802884615384614,-0.06134615384615394,-0.06614807692307711,0.1405384615384615,-0.732359615384615,-0.7514653846153849,0.08211538461538459,0.7595916230290379,0.7815496036219315,0.7591262340538889,0.7649447772768802,-3.9819504928160554,-3.9360435713018087,-0.71729896317113,-0.6761393388534601
,-9.385,-1.295,-2.953,-9.397,-1.304,-3.027,2.38,1.33,0.84,0.19900384615384858,0.1853134615384615,-0.5202884615384615,-0.03834615384615381,-0.044148076923077095,0.07053846153846166,-0.7113596153846147,-0.787465384615385,0.08211538461538459,0.7396657763469691,0.810180142740384,0.7629938288795206,0.7772871123355801,-4.090420739360968,-4.042586209667684,-0.735782666501567,-0.6986030337753317
,-9.356,-1.302,-2.943,-9.34,-1.297,-2.96,2.38,1.4,0.77,0.2280038461538485,0.2423134615384619,-0.5202884615384615,-0.045346153846153925,-0.03714807692307698,0.1405384615384615,-0.7013596153846149,-0.7204653846153848,0.012115384615384639,0.7388824924316734,0.7610296733313549,0.7679033240449761,0.7772878270827024,-4.198673662673964,-4.14925832477314,-0.7544103091991888,-0.7199093019927705
35776.0,-9.395,-1.297,-2.96,-9.409,-1.307,-2.965,2.45,1.4,0.84,0.1890038461538488,0.17331346153846106,-0.45028846153846125,-0.04034615384615381,-0.04714807692307699,0.1405384615384615,-0.7183596153846148,-0.7254653846153847,0.08211538461538459,0.7439024149756854,0.747369066380952,0.7660355850968374,0.7729650008414934,-4.306708551966484,-4.255199060614787,-0.7751863795968645,-0.7430525626952241
,-9.404,-1.292,-2.97,-9.39,-1.295,-2.946,2.52,1.33,0.91,0.18000384615384846,0.19231346153846118,-0.3802884615384614,-0.035346153846153916,-0.035148076923076976,0.07053846153846166,-0.728359615384615,-0.706465384615385,0.15211538461538465,0.7511048292649426,0.7330165035386718,0.7645564766144989,0.7675309956098286,-4.414984304701283,-4.36111930908261,-0.793989113952923,-0.7663755414194313
,-9.378,-1.283,-2.931,-9.38,-1.316,-2.922,2.52,1.33,0.91,0.20600384615384826,0.20231346153846097,-0.3802884615384614,-0.026346153846153797,-0.056148076923077106,0.07053846153846166,-0.6893596153846149,-0.682465384615385,0.15211538461538465,0.7199641545076308,0.7140324533661334,0.7590675788097277,0.7680925389632164,-4.5246243675335185,-4.466615306467711,-0.8054083665241902,-0.7859986963607952
,-9.383,-1.273,-3.003,-9.378,-1.297,-2.919,2.66,1.33,0.84,0.20100384615384925,0.20431346153846164,-0.24028846153846128,-0.016346153846153788,-0.03714807692307698,0.07053846153846166,-0.7613596153846149,-0.6794653846153849,0.08211538461538459,0.7876155196876273,0.710490801541754,0.755222658428483,0.7783190148860073,-4.634607119683116,-4.570765137179607,-0.8117066532646036,-0.7996571705522405
35851.0,-9.411,-1.302,-2.931,-9.359,-1.244,-2.994,2.31,1.54,0.84,0.17300384615384878,0.22331346153846177,-0.5902884615384614,-0.045346153846153925,0.015851923076922958,0.2805384615384616,-0.6893596153846149,-0.754465384615385,0.08211538461538459,0.7121820580272208,0.7869804331445398,0.7651022888099862,0.7861195718015791,-4.740821857156554,-4.672452068053537,-0.8368849207692669,-0.8157654188562362
,-9.435,-1.283,-2.965,-9.351,-1.29,-3.017,2.17,1.61,0.77,0.14900384615384787,0.23131346153846088,-0.7302884615384615,-0.026346153846153797,-0.030148076923077083,0.3505384615384617,-0.7233596153846147,-0.7774653846153847,0.012115384615384639,0.739016508043293,0.8117063805996679,0.7794750513443671,0.7893106657461324,-4.849413523056318,-4.771855591708863,-0.8531115734278341,-0.8348454349976028
,-9.366,-1.304,-2.95,-9.395,-1.28,-3.013,2.03,1.75,0.84,0.2180038461538487,0.18731346153846218,-0.8702884615384616,-0.04734615384615393,-0.020148076923077074,0.4905384615384616,-0.708359615384615,-0.7734653846153847,0.08211538461538459,0.7426578484939982,0.7960785005735579,0.793303425319033,0.7897731689877584,-4.9570434200810425,-4.869878763159901,-0.8740278981470824,-0.8560222062691911
,-9.361,-1.266,-2.991,-9.378,-1.33,-3.037,1.96,1.61,0.84,0.22300384615384772,0.20431346153846164,-0.9402884615384615,-0.009346153846153893,-0.07014807692307712,0.3505384615384617,-0.7493596153846149,-0.7974653846153847,0.08211538461538459,0.7818937902045923,0.826205654133157,0.8043613505976231,0.7873712573514772,-5.067584236508302,-4.966671215702933,-0.8758062822647614,-0.8789735482585802
35927.0,-9.387,-1.297,-2.996,-9.354,-1.22,-3.075,2.59,1.68,1.05,0.19700384615384792,0.22831346153846255,-0.31028846153846157,-0.04034615384615381,0.03985192307692298,0.4205384615384615,-0.7543596153846148,-0.835465384615385,0.29211538461538467,0.7807027327048437,0.8670165058308505,0.7923515738744703,0.7805603340705333,-5.174906533459138,-5.063515275774121,-0.8949334709036457,-0.9000726238135457
,-9.337,-1.278,-2.984,-9.392,-1.206,-2.965,2.45,1.54,0.91,0.24700384615384863,0.1903134615384623,-0.45028846153846125,-0.021346153846153904,0.05385192307692299,0.2805384615384616,-0.7423596153846148,-0.7254653846153847,0.15211538461538465,0.7826649071299996,0.751943659815669,0.779248037381456,0.7790112923452541,-5.283898993488441,-5.160265938089395,-0.9017906164302163,-0.9198159689149535
,-9.421,-1.359,-3.132,-9.378,-1.134,-3.238,2.52,1.54,0.91,0.163003846153849,0.20431346153846164,-0.3802884615384614,-0.10234615384615386,0.12585192307692306,0.2805384615384616,-0.8903596153846149,-0.9984653846153848,0.15211538461538465,0.9109254820104045,1.0268962076973196,0.7708742034080664,0.7786458755288792,-5.375714304314642,-5.256719932682766,-0.9576646747080997,-0.9369213469220823
,-9.359,-1.256,-3.101,-9.423,-1.23,-3.003,3.01,1.4,0.91,0.22500384615384839,0.1593134615384617,0.10971153846153836,0.000653846153846116,0.02985192307692297,0.1405384615384615,-0.8593596153846148,-0.7634653846153849,0.15211538461538465,0.8883277024008711,0.7804814602824818,0.762399742386691,0.7720742836122046,-5.485358153900141,-5.35314824364085,-0.9548446483433141,-0.9514022179549736
36002.0,-9.395,-1.383,-2.862,-9.435,-1.211,-2.867,1.54,1.19,0.98,0.1890038461538488,0.14731346153846125,-1.3602884615384614,-0.12634615384615389,0.048851923076922876,-0.06946153846153846,-0.6203596153846149,-0.6274653846153848,0.2221153846153846,0.660705575012661,0.6463749494134887,0.7544349722077298,0.7775631237337444,-5.575982753110996,-5.44931817805491,-1.014457862514878,-0.9636741908727081
,-9.347,-1.304,-2.895,-9.421,-1.388,-2.852,2.38,1.33,1.12,0.23700384615384884,0.16131346153846238,-0.5202884615384615,-0.04734615384615393,-0.12814807692307695,0.07053846153846166,-0.6533596153846148,-0.6124653846153847,0.36211538461538473,0.6966285009897835,0.646187132218427,0.7438565155738814,0.7914849050278299,-5.684917231707959,-5.544556496307193,-1.033873166608728,-0.9724000286868256
,-9.464,-1.175,-2.848,-9.363,-1.591,-2.903,3.57,1.26,1.4,0.12000384615384796,0.2193134615384622,0.6697115384615384,0.08165384615384608,-0.331148076923077,0.0005384615384615987,-0.6063596153846147,-0.6634653846153848,0.6421153846153845,0.6234903823258305,0.7732682327916202,0.7408610847484941,0.8039256414019159,-5.778858704723593,-5.6365432892088165,-0.9684057567861994,-0.9759885719537345
,-9.452,-1.027,-2.804,-9.296,-1.826,-3.025,3.22,1.12,1.61,0.13200384615384841,0.2863134615384624,0.31971153846153877,0.2296538461538462,-0.5661480769230771,-0.1394615384615383,-0.5623596153846147,-0.7854653846153847,0.8521153846153847,0.6216222659044599,1.0096805998387952,0.7427984189521931,0.8135582517349734,-5.838265608020848,-5.725551933867113,-0.86831498667017,-0.9746291146141195
36078.0,-9.347,-1.898,-3.049,-9.33,-1.503,-3.135,3.78,1.12,2.8,0.23700384615384884,0.2523134615384617,0.8797115384615384,-0.6413461538461538,-0.24314807692307694,-0.1394615384615383,-0.8073596153846148,-0.8954653846153846,2.0421153846153843,1.057981692043376,0.9615827188699316,0.7504506665447414,0.8160197600559832,-5.876938835466894,-5.81324362529261,-0.9693135863570214,-0.9696764471232486
