Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-8.543,0.333,-5.008,-8.497,0.29,-5.102,2.1,1.75,0.56
,-8.559,0.34,-4.972,-8.454,0.27,-5.08,2.1,1.82,0.49
,-8.545,0.299,-5.008,-8.533,0.297,-5.068,1.89,1.68,0.35
,-8.593,0.28,-5.037,-8.545,0.292,-5.109,2.03,1.82,0.49
76.0,-8.583,0.275,-5.037,-8.5,0.268,-5.037,3.01,1.68,0.84
,-8.562,0.337,-5.059,-8.464,0.302,-5.039,2.8,1.61,0.56
,-8.547,0.337,-5.02,-8.576,0.304,-5.097,2.52,1.61,0.56
,-8.531,0.321,-5.03,-8.533,0.292,-5.102,2.31,1.47,0.63
152.0,-8.495,0.297,-5.059,-8.543,0.316,-5.023,2.59,1.47,0.63
,-8.557,0.249,-5.035,-8.54,0.29,-5.039,2.52,1.4,0.56
,-8.55,0.254,-5.049,-8.521,0.285,-5.039,2.52,1.4,0.7
,-8.538,0.309,-5.039,-8.495,0.242,-4.934,2.59,1.26,0.56
227.0,-8.557,0.337,-4.939,-8.567,0.273,-4.932,3.15,1.33,0.77
,-8.526,0.357,-4.939,-8.564,0.261,-5.032,3.15,1.47,0.7
,-8.583,0.371,-4.956,-8.526,0.294,-4.989,2.73,1.75,0.77
,-8.543,0.342,-4.925,-8.521,0.328,-5.03,2.38,1.75,0.56
302.0,-8.528,0.345,-5.042,-8.507,0.318,-5.016,2.1,1.96,0.63
,-8.473,0.342,-5.099,-8.526,0.321,-5.035,1.89,1.82,0.56
,-8.521,0.328,-5.075,-8.571,0.22,-5.016,1.68,1.82,0.49
,-8.524,0.285,-5.059,-8.557,0.215,-4.96,1.82,1.89,0.49
378.0,-8.579,0.23,-4.98,-8.485,0.242,-5.13,2.38,1.96,0.77
,-8.567,0.306,-5.068,-8.512,0.258,-5.128,2.52,1.75,0.77
,-8.547,0.304,-5.087,-8.581,0.302,-5.08,2.24,1.54,0.63
,-8.454,0.309,-5.162,-8.538,0.321,-5.049,2.17,1.75,0.63
454.0,-8.591,0.323,-4.989,-8.502,0.302,-5.011,2.52,1.4,0.84
,-8.552,0.275,-4.972,-8.545,0.309,-5.037,2.38,1.54,0.98
,-8.514,0.254,-4.98,-8.562,0.29,-5.008,2.45,1.61,0.91
,-8.571,0.292,-5.013,-8.531,0.352,-4.982,2.66,1.47,0.91
530.0,-8.574,0.349,-4.987,-8.547,0.29,-5.013,2.66,1.54,0.77
,-8.54,0.337,-4.968,-8.509,0.273,-4.989,2.45,1.75,0.77
,-8.545,0.323,-4.987,-8.557,0.304,-4.994,2.24,1.54,0.7
,-8.526,0.304,-5.008,-8.55,0.373,-4.987,2.17,1.61,0.7
605.0,-8.622,0.431,-5.051,-8.457,0.292,-5.099,2.59,1.75,0.63
,-8.567,0.378,-5.111,-8.519,0.313,-5.056,2.38,1.75,0.63
,-8.469,0.369,-5.152,-8.531,0.275,-4.977,2.31,1.68,0.56
,-8.485,0.345,-5.138,-8.552,0.309,-4.958,2.24,1.82,0.56
681.0,-8.571,0.311,-4.939,-8.564,0.299,-5.032,2.38,1.61,0.56
,-8.6,0.285,-4.977,-8.571,0.33,-5.08,2.24,1.68,0.49
,-8.54,0.285,-5.016,-8.492,0.347,-5.083,2.1,1.75,0.49
,-8.507,0.304,-5.032,-8.524,0.287,-5.071,2.24,1.82,0.56
756.0,-8.516,0.278,-5.027,-8.545,0.342,-4.98,2.1,1.61,0.49
,-8.516,0.297,-5.042,-8.567,0.292,-4.977,2.31,1.54,0.56
,-8.547,0.306,-5.006,-8.547,0.278,-4.994,2.52,1.61,0.63
,-8.538,0.309,-5.027,-8.576,0.28,-4.97,2.59,1.54,0.49
832.0,-8.571,0.309,-5.037,-8.545,0.376,-5.145,2.03,1.68,0.42
,-8.536,0.287,-5.066,-8.473,0.366,-5.205,2.1,1.68,0.49
,-8.526,0.311,-5.075,-8.519,0.333,-5.178,2.17,1.68,0.56
,-8.528,0.438,-5.118,-8.576,0.323,-5.173,2.31,1.75,0.56
908.0,-8.514,0.342,-5.104,-8.504,0.263,-4.898,2.87,1.33,0.56
,-8.543,0.323,-5.039,-8.516,0.239,-4.829,2.8,1.33,0.56
,-8.536,0.313,-4.949,-8.521,0.249,-4.877,2.73,1.47,0.56
,-8.54,0.369,-4.898,-8.538,0.369,-4.937,2.73,1.33,0.49
984.0,-8.555,0.323,-4.992,-8.543,0.22,-5.042,2.52,1.89,0.49
,-8.516,0.268,-5.016,-8.564,0.309,-5.051,2.38,1.96,0.42
,-8.497,0.258,-5.025,-8.567,0.299,-5.078,2.31,1.82,0.49
,-8.519,0.232,-5.054,-8.509,0.299,-5.061,2.38,2.1,0.63
1060.0,-8.536,0.268,-5.123,-8.528,0.237,-5.095,3.29,1.82,0.91
,-8.512,0.318,-5.097,-8.497,0.287,-5.09,3.64,1.75,1.05
,-8.516,0.352,-5.154,-8.562,0.29,-5.032,3.71,1.54,0.98
,-8.492,0.325,-5.135,-8.526,0.309,-5.039,3.71,1.68,1.05
1135.0,-8.538,0.349,-4.992,-8.571,0.237,-4.977,2.73,1.4,0.77
,-8.512,0.309,-5.023,-8.574,0.266,-4.939,2.38,1.54,0.63
,-8.567,0.249,-5.068,-8.531,0.309,-4.92,2.31,1.47,0.56
,-8.538,0.266,-5.018,-8.524,0.328,-5.008,2.45,1.33,0.7
1211.0,-8.526,0.313,-5.066,-8.516,0.273,-5.092,2.24,1.89,0.7
,-8.502,0.33,-5.08,-8.485,0.333,-5.102,2.03,1.61,0.63
,-8.533,0.258,-5.083,-8.488,0.361,-5.092,1.96,1.61,0.7
,-8.507,0.211,-5.099,-8.504,0.39,-5.123,2.24,1.68,0.7
1287.0,-8.547,0.321,-5.02,-8.514,0.359,-5.054,2.31,1.75,0.98
,-8.547,0.249,-5.004,-8.485,0.321,-5.083,2.59,1.75,0.84
,-8.595,0.316,-4.996,-8.49,0.256,-5.054,2.52,1.68,0.84
,-8.579,0.388,-5.023,-8.521,0.256,-5.054,2.38,1.47,0.7
1363.0,-8.538,0.342,-5.027,-8.521,0.313,-5.039,2.94,1.75,0.98
