Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.567,-0.464,-2.623,-9.552,-0.438,-2.568,2.52,1.4,0.7
,-9.584,-0.412,-2.56,-9.538,-0.483,-2.56,2.45,1.47,0.77
,-9.548,-0.361,-2.623,-9.564,-0.45,-2.553,2.1,1.26,0.7
,-9.572,-0.402,-2.539,-9.591,-0.462,-2.57,1.96,1.4,0.63
75.0,-9.584,-0.438,-2.534,-9.622,-0.431,-2.56,2.66,1.47,0.84
,-9.567,-0.416,-2.582,-9.529,-0.44,-2.584,2.66,1.4,0.77
,-9.579,-0.421,-2.563,-9.545,-0.438,-2.589,2.45,1.54,0.84
,-9.586,-0.443,-2.56,-9.569,-0.455,-2.56,2.31,1.68,0.84
150.0,-9.543,-0.38,-2.592,-9.6,-0.467,-2.587,2.73,1.47,0.7
,-9.569,-0.421,-2.608,-9.586,-0.431,-2.51,2.52,1.4,0.56
,-9.55,-0.39,-2.625,-9.557,-0.419,-2.513,2.38,1.26,0.42
,-9.567,-0.5,-2.584,-9.569,-0.376,-2.496,2.59,1.26,0.56
226.0,-9.603,-0.404,-2.489,-9.588,-0.397,-2.568,2.1,1.47,0.56
,-9.543,-0.474,-2.508,-9.536,-0.426,-2.587,2.03,1.61,0.63
,-9.615,-0.452,-2.541,-9.572,-0.404,-2.572,2.31,1.68,0.63
,-9.567,-0.436,-2.565,-9.55,-0.412,-2.627,2.45,1.82,0.7
302.0,-9.564,-0.459,-2.613,-9.562,-0.421,-2.606,2.03,1.54,0.56
,-9.593,-0.479,-2.608,-9.579,-0.447,-2.558,2.31,1.68,0.63
,-9.574,-0.452,-2.556,-9.569,-0.426,-2.589,2.59,1.68,0.63
,-9.541,-0.498,-2.57,-9.517,-0.447,-2.572,2.66,1.54,0.77
378.0,-9.552,-0.436,-2.57,-9.631,-0.474,-2.565,2.45,1.54,0.77
,-9.552,-0.4,-2.551,-9.6,-0.421,-2.635,2.45,1.47,0.84
,-9.545,-0.479,-2.505,-9.567,-0.407,-2.615,2.52,1.47,0.84
,-9.574,-0.452,-2.58,-9.543,-0.419,-2.601,2.94,1.47,0.84
453.0,-9.526,-0.455,-2.56,-9.591,-0.428,-2.481,2.52,1.26,0.77
,-9.562,-0.476,-2.546,-9.581,-0.431,-2.52,2.73,1.19,0.77
,-9.567,-0.421,-2.513,-9.605,-0.395,-2.594,2.8,1.19,0.84
,-9.593,-0.428,-2.441,-9.541,-0.378,-2.577,2.87,1.26,0.84
529.0,-9.6,-0.44,-2.728,-9.572,-0.438,-2.62,1.4,1.12,0.49
,-9.569,-0.467,-2.62,-9.548,-0.426,-2.637,1.68,1.33,0.42
,-9.579,-0.45,-2.68,-9.593,-0.476,-2.58,2.03,1.05,0.56
,-9.557,-0.426,-2.663,-9.584,-0.4,-2.57,2.17,0.77,0.42
605.0,-9.596,-0.457,-2.548,-9.603,-0.493,-2.522,2.03,0.91,0.56
,-9.524,-0.345,-2.606,-9.572,-0.536,-2.508,2.03,0.7,0.49
,-9.605,-0.455,-2.505,-9.598,-0.526,-2.558,1.89,0.77,0.56
,-9.588,-0.531,-2.527,-9.552,-0.431,-2.659,2.03,0.84,0.56
681.0,-9.608,-0.428,-2.644,-9.603,-0.476,-2.572,1.96,0.28,0.7
,-9.584,-0.44,-2.659,-9.588,-0.392,-2.615,1.61,0.28,0.56
,-9.605,-0.541,-2.716,-9.593,-0.395,-2.623,1.33,0.14,0.63
,-9.586,-0.536,-2.565,-9.672,-0.409,-2.84,1.75,0.0,0.7
757.0,-9.555,-0.4,-2.563,-9.562,-0.44,-2.754,0.91,-0.56,0.63
,-9.562,-0.467,-2.599,-9.555,-0.378,-2.63,0.84,-0.56,0.7
,-9.572,-0.495,-2.723,-9.593,-0.371,-2.611,0.84,-0.98,0.7
,-9.584,-0.471,-2.742,-9.579,-0.357,-2.553,1.47,-1.4,0.77
832.0,-9.608,-0.407,-2.462,-9.552,-0.536,-2.575,1.82,-2.1,0.7
,-9.619,-0.416,-2.467,-9.514,-0.383,-2.611,1.47,-2.1,0.77
,-9.622,-0.467,-2.541,-9.603,-0.354,-2.584,1.26,-2.17,0.7
,-9.584,-0.512,-2.563,-9.622,-0.428,-2.458,1.26,-2.45,0.7
908.0,-9.605,-0.464,-2.501,-9.627,-0.529,-2.355,1.47,-2.8,0.77
,-9.742,-0.51,-2.654,-9.617,-0.376,-2.345,1.96,-2.8,1.05
,-9.619,-0.436,-2.369,-9.631,-0.366,-2.407,1.75,-2.66,1.05
,-9.72,-0.555,-2.58,-9.622,-0.34,-2.419,2.38,-2.8,1.19
983.0,-9.608,-0.359,-2.254,-9.696,-0.507,-2.146,2.45,-2.8,0.91
,-9.61,-0.33,-2.247,-9.622,-0.438,-2.084,2.31,-2.8,0.7
,-9.598,-0.345,-2.158,-9.663,-0.404,-2.099,1.61,-2.59,0.56
,-9.653,-0.421,-2.099,-9.619,-0.467,-2.144,1.26,-2.31,0.63
1059.0,-9.603,-0.428,-2.156,-9.634,-0.34,-2.252,2.17,-0.91,0.91
,-9.619,-0.55,-2.199,-9.641,-0.333,-2.367,2.52,-0.56,0.91
,-9.629,-0.464,-2.163,-9.636,-0.376,-2.386,3.22,-0.35,1.12
,-9.66,-0.424,-2.268,-9.641,-0.39,-2.489,3.5,-0.21,0.98
1135.0,-9.576,-0.297,-2.534,-9.682,-0.354,-2.355,1.82,-0.77,0.56
,-9.646,-0.325,-2.496,-9.675,-0.392,-2.364,1.68,-0.91,0.49
,-9.651,-0.266,-2.393,-9.651,-0.522,-2.331,1.68,-0.91,0.49
,-9.651,-0.235,-2.41,-9.634,-0.476,-2.235,1.4,-1.33,0.21
1211.0,-9.663,-0.373,-2.331,-9.658,-0.476,-2.3,2.45,-1.61,0.28
,-9.591,-0.285,-2.359,-9.608,-0.433,-2.278,1.96,-1.75,0.14
,-9.682,-0.385,-2.383,-9.66,-0.445,-2.254,0.98,-1.96,-0.07
,-9.648,-0.404,-2.302,-9.667,-0.474,-2.197,0.84,-1.96,-0.14
1286.0,-9.648,-0.481,-2.127,-9.636,-0.462,-2.266,2.87,-1.89,0.28
,-9.684,-0.474,-2.137,-9.619,-0.514,-2.285,3.43,-1.75,0.42
,-9.758,-0.378,-2.233,-9.617,-0.541,-2.316,3.36,-1.75,0.28
,-9.629,-0.378,-2.228,-9.665,-0.531,-2.307,2.31,-1.61,0.07
1362.0,-9.648,-0.424,-2.335,-9.641,-0.354,-2.175,4.27,-1.96,0.28
,-9.67,-0.371,-2.235,-9.713,-0.503,-2.111,5.04,-2.03,0.42
,-9.643,-0.304,-2.163,-9.634,-0.486,-2.022,5.39,-1.96,0.56
,-9.686,-0.385,-2.077,-9.71,-0.522,-2.0,5.18,-1.96,0.49
1438.0,-9.605,-0.452,-1.888,-9.701,-0.505,-1.926,4.27,-1.33,0.28
,-9.746,-0.474,-2.024,-9.684,-0.462,-2.108,4.34,-1.19,0.42
,-9.646,-0.512,-1.95,-9.677,-0.447,-2.099,3.78,-1.05,0.42
,-9.67,-0.529,-1.95,-9.605,-0.5,-2.087,3.29,-0.7,0.42
1514.0,-9.641,-0.536,-1.998,-9.689,-0.546,-1.948,0.56,0.0,0.35
,-9.691,-0.385,-1.933,-9.67,-0.665,-2.015,0.49,0.35,0.35
,-9.751,-0.318,-1.953,-9.665,-0.687,-1.974,0.0,0.49,0.28
,-9.708,-0.421,-1.957,-9.682,-0.491,-2.094,-0.84,0.63,0.14
1589.0,-9.677,-0.414,-2.0,-9.675,-0.474,-1.534,2.03,1.61,1.33
,-9.682,-0.297,-1.79,-9.737,-0.464,-1.338,1.68,1.96,1.33
,-9.655,-0.206,-1.792,-9.828,-0.445,-1.302,0.91,2.31,1.12
,-9.684,-0.323,-1.67,-9.698,-0.424,-1.582,-0.56,2.94,0.91
1665.0,-9.603,-0.498,-1.613,-9.947,0.019,-1.747,-5.25,6.37,0.91
,-9.619,-0.574,-1.539,-9.706,0.112,-1.819,-5.6,7.21,0.98
,-9.564,-0.586,-1.405,-9.603,-0.165,-1.531,-5.04,8.4,1.05
,-9.773,-0.342,-1.24,-9.569,-0.615,-1.565,-4.13,9.24,0.84
1740.0,-9.407,-0.711,-1.278,-9.785,-0.136,-1.05,-11.27,12.32,0.07
,-9.629,-0.775,-1.034,-9.581,0.115,-1.457,-6.58,14.7,1.26
,-9.67,-0.653,-1.084,-9.603,-0.136,-2.173,-4.69,16.03,1.61
,-9.746,-0.177,-0.952,-9.342,-0.455,-2.745,-5.04,17.43,1.89
1816.0,-9.117,-0.548,-3.139,-9.514,-0.479,-2.228,-14.98,19.74,0.98
,-9.32,-1.027,-2.989,-9.763,-0.299,-2.639,-11.76,20.3,1.54
,-9.323,-0.909,-2.862,-9.612,-0.074,-2.625,-6.23,20.51,2.03
,-9.452,-0.72,-2.819,-9.529,0.108,-2.941,-0.56,20.79,2.59
1892.0,-9.363,-0.337,-3.216,-9.622,-0.541,-2.807,-0.56,19.95,2.87
,-9.27,-1.003,-3.333,-9.636,-0.223,-2.73,-1.12,20.58,3.5
,-9.182,-1.316,-3.037,-9.474,-0.486,-2.864,3.29,21.35,4.41
,-9.316,-1.094,-2.481,-9.268,-0.924,-2.824,11.06,21.98,5.25
1968.0,-9.337,-0.847,-2.747,-9.349,0.175,-2.245,7.0,20.93,5.25
,-9.328,-0.469,-2.73,-9.454,-0.115,-2.067,10.43,21.77,5.32
,-9.222,0.081,-2.503,-9.464,-0.235,-2.211,12.11,22.75,5.04
,-9.323,0.275,-2.237,-9.378,-0.261,-2.18,11.69,24.29,5.11
2044.0,-9.409,-0.108,-2.972,-9.05,-0.388,-3.142,8.89,27.93,5.74
,-9.387,-0.048,-3.494,-9.232,-0.225,-3.534,7.49,26.81,5.18
,-9.251,-0.227,-3.453,-9.241,-0.182,-3.831,6.02,26.39,4.76
,-9.012,-0.459,-3.281,-8.988,-0.488,-3.881,5.53,26.81,4.41
2119.0,-8.693,-1.036,-3.515,-9.428,0.787,-4.092,1.68,26.46,4.55
,-8.839,-1.101,-3.12,-9.11,0.72,-4.472,8.75,28.77,5.04
,-9.184,-0.613,-3.003,-8.811,0.129,-4.398,16.8,29.33,4.97
,-9.497,0.189,-3.374,-8.789,-0.211,-4.298,20.51,28.14,4.62
2195.0,-8.988,-0.065,-4.121,-8.559,-1.122,-4.082,9.52,25.41,2.38
,-9.481,0.28,-4.448,-8.777,-1.17,-3.891,9.1,22.26,1.19
,-9.268,0.258,-4.824,-9.069,-0.524,-4.235,3.71,19.39,0.63
,-8.796,-0.438,-4.635,-9.11,0.203,-4.585,-2.38,19.32,1.47
2271.0,-9.028,0.29,-4.762,-9.165,0.443,-4.049,5.39,19.46,2.59
,-8.823,0.141,-4.535,-9.237,0.318,-4.027,1.75,19.81,2.31
,-8.818,0.187,-4.391,-9.036,-0.012,-3.977,0.98,20.09,1.82
,-9.038,0.256,-4.235,-8.741,-0.462,-4.063,0.98,19.53,0.98
2347.0,-8.591,-0.672,-4.085,-8.607,0.309,-4.654,-0.98,18.76,1.47
,-8.801,-0.715,-3.929,-8.421,-0.038,-4.561,5.04,19.74,1.05
