rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,2137,20.548,6.74,0,2263,21.76
2,2390,22.981,9.21,2263,2434,1.644
3,2478,23.827,8.85,2434,2548,1.096
4,2619,25.183,9.92,2548,2670,1.173
5,2722,26.173,10.34,2670,2791,1.163
6,2861,27.51,11.44,2791,2913,1.173
7,2966,28.519,11.76,2913,3007,0.904
8,3049,29.317,12.36,3007,3122,1.106
9,3196,30.731,12.9,3122,3253,1.26
10,3311,31.837,14.21,3253,3362,1.048
11,3414,32.827,14.31,3362,3480,1.135
12,3547,34.106,14.87,3480,3639,1.529
