rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,113,1.087,35.57,48,3639,34.529
2,218,2.096,37.92,50,3639,34.51
3,343,3.298,34.59,48,3639,34.529
4,460,4.423,36.38,49,3639,34.519
5,686,6.596,38.71,50,3639,34.51
6,809,7.779,37.24,49,3639,34.519
7,921,8.856,35.3,48,3639,34.529
8,1043,10.029,34.6,48,3639,34.529
9,1169,11.24,37.13,49,3639,34.519
10,1300,12.5,36.01,49,3639,34.519
11,1424,13.692,33.16,47,3639,34.538
12,1551,14.913,35.33,48,3639,34.529
13,1663,15.99,37.49,49,3639,34.519
14,1779,17.106,35.43,48,3639,34.529
15,1902,18.288,35.8,49,3639,34.519
16,2015,19.375,39.57,50,3639,34.51
17,2132,20.5,34.59,48,3639,34.529
18,2254,21.673,36.14,49,3639,34.519
19,2376,22.846,36.86,49,3639,34.519
20,2497,24.01,37.15,49,3639,34.519
21,2627,25.26,34.6,48,3639,34.529
22,2748,26.423,35.12,48,3639,34.529
23,2868,27.577,35.87,49,3639,34.519
24,2995,28.798,38.04,50,3639,34.51
25,3128,30.077,37.34,49,3639,34.519
26,3260,31.346,36.41,49,3639,34.519
27,3375,32.452,38.56,50,3639,34.51
28,3501,33.663,37.32,49,3639,34.519
29,3636,34.962,35.58,48,3639,34.529
