rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,187,1.798,26.4,106,410,2.923
2,343,3.298,27.86,107,408,2.894
3,523,5.029,26.2,437,586,1.433
4,732,7.038,27.31,644,797,1.471
5,921,8.856,27.48,834,990,1.5
6,1125,10.817,23.13,1046,1180,1.288
7,1361,13.087,21.26,1296,1418,1.173
8,1589,15.279,24.03,1513,1650,1.317
9,1835,17.644,25.69,1756,1901,1.394
10,2051,19.721,27.79,1970,2114,1.385
11,2264,21.769,25.07,2195,2337,1.365
12,2512,24.154,28.47,2425,2578,1.471
13,2739,26.337,28.83,2645,2808,1.567
14,2954,28.404,27.31,2873,3016,1.375
15,3218,30.942,24.96,3131,3287,1.5
16,3478,33.442,20.61,3407,3562,1.49
