rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
1,206,1.981,57.28,78,949,8.375
2,386,3.712,58.53,79,947,8.346
3,615,5.913,58.05,79,948,8.356
4,835,8.029,58.0,79,948,8.356
5,1094,10.519,57.83,974,3639,25.625
6,1210,11.635,45.4,66,3639,34.356
7,1338,12.865,61.68,977,3639,25.596
8,1621,15.587,61.13,977,3639,25.596
9,1727,16.606,44.49,65,3639,34.365
10,1877,18.048,63.84,979,1988,9.702
11,2157,20.74,59.14,975,3639,25.615
12,2404,23.115,63.38,1997,3639,15.788
13,2666,25.635,61.87,977,3639,25.596
14,2960,28.462,62.41,978,3639,25.587
15,3232,31.077,62.83,1996,3639,15.798
16,3532,33.962,62.55,978,3639,25.587
