Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,AccY_corr,AccZ_corr,GyroX_corr,GyroY_corr,GyroZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_acc_deg,KneeAngle_gyro_deg,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_acc_deg,KneeValgus_filt_deg
31675.0,-9.306,-0.948,-3.319,-9.299,-0.873,-3.23,2.45,1.33,0.77,0.03037307692307678,-0.5390442307692307,0.006982692307692329,0.03670769230769366,-0.46363653846153846,0.08999230769230815,0.5399444087304087,0.4737139536840149,0.4964501127082596,0.5159894441496216,-0.0,-0.0,-0.0,-0.20130654216792415,0.0,6.117042758725041
,-9.28,-0.897,-3.312,-9.349,-0.897,-3.238,2.73,1.19,0.77,0.05637307692307658,-0.4880442307692308,0.013982692307692446,-0.013292307692307048,-0.4876365384615385,0.08199230769230814,0.49148815923995254,0.49466030526741134,0.4950020052225453,0.5156535969037653,3.3615321042593393,0.00012781065088756779,0.06710538764731704,-0.23292861426762052,3.477823122194721,5.566236103306592
,-9.294,-0.861,-3.271,-9.325,-0.964,-3.247,2.87,1.12,0.63,0.04237307692307546,-0.4520442307692308,0.05498269230769237,0.010707692307693861,-0.5546365384615384,0.07299230769230824,0.4573429355233082,0.559521421800276,0.49338267256636265,0.5178352968226366,2.0913925106102482,2.485207100589604e-05,0.10769202951485973,-0.26258282960895024,5.421219405381976,5.091750368926047
,-9.34,-0.823,-3.238,-9.316,-0.974,-3.264,2.52,1.12,0.56,-0.003626923076923916,-0.41404423076923075,0.08798269230769229,0.019707692307692426,-0.5646365384615384,0.05599230769230834,0.4233045401953539,0.5677481415404485,0.49731622209405085,0.5155359369882926,-3.715640531691278,-0.00016464497041422346,0.03141108539132863,-0.2836346113154789,8.697636179281858,5.438181793694272
31750.0,-9.342,-0.938,-3.218,-9.316,-0.873,-3.326,3.01,1.54,0.7,-0.005626923076924584,-0.5290442307692307,0.10798269230769231,0.019707692307692426,-0.46363653846153846,-0.006007692307691936,0.5399812239435168,0.4640940909983192,0.5026722413628957,0.5160588013712007,-3.821784196031942,-0.00035414201183434297,-0.045467113136545126,-0.3038496472413387,8.242427359832732,5.348767739954282
,-9.371,-0.9,-3.197,-9.342,-0.945,-3.343,3.08,1.75,0.84,-0.0346269230769245,-0.4910442307692308,0.12898269230769221,-0.006292307692307375,-0.5356365384615385,-0.02300769230769184,0.5088811209786247,0.5361673697423961,0.5045803764673279,0.5163307088607605,-7.126435818709737,-0.00029363905325446437,-0.18714578014741737,-0.3150287777639813,11.905854008317604,5.528209631416484
,-9.347,-0.876,-3.23,-9.301,-0.921,-3.36,2.66,1.82,0.77,-0.010626923076923589,-0.4670442307692308,0.0959826923076923,0.034707692307692994,-0.5116365384615384,-0.040007692307691745,0.4769233923928858,0.5143706706627214,0.5032494132138838,0.5187464033589292,-4.5015017176528715,-0.0006273668639053586,-0.27310584564308865,-0.3192319480177728,8.373303555187988,5.497342708280509
,-9.306,-0.888,-3.281,-9.296,-0.955,-3.336,2.45,1.82,0.56,0.03037307692307678,-0.4790442307692308,0.04498269230769214,0.039707692307693776,-0.5456365384615385,-0.016007692307691723,0.48210926297086193,0.5473136021932126,0.5054310365201831,0.5179647478451396,0.38733163338653753,-0.0010091715976331833,-0.25952292742344285,-0.3160851521018474,3.1552394659987897,5.664488556428044
31826.0,-9.282,-0.933,-3.257,-9.328,-0.885,-3.247,2.94,1.47,0.63,0.054373076923075914,-0.5240442307692308,0.06898269230769216,0.007707692307693748,-0.47563653846153847,0.07299230769230824,0.5313543065927059,0.4812664565733137,0.5068193086255612,0.5161573748698547,2.648596189949785,-0.0010832840236687001,-0.20128791489846348,-0.31537157010579486,6.206000128567055,5.757740222308613
,-9.34,-0.916,-3.247,-9.301,-0.926,-3.262,3.01,1.54,0.63,-0.003626923076923916,-0.5070442307692309,0.07898269230769239,0.034707692307692994,-0.5166365384615386,0.05799230769230812,0.5131717765149781,0.5210384290341027,0.5079079791965352,0.5187895622824058,-3.629667946378831,-0.0014170118343195945,-0.26952846227363303,-0.31561898353548934,5.554107674800022,5.472442373871324
