Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.337,-0.505,-3.235,-9.464,-0.981,-2.994,3.22,2.59,1.61
,-9.217,-0.591,-3.154,-9.526,-0.687,-3.137,1.82,2.66,1.54
,-9.28,-1.015,-3.039,-9.423,-0.534,-3.12,1.89,3.01,1.61
,-9.416,-1.144,-2.953,-9.399,-0.474,-3.161,4.55,3.57,2.03
76.0,-9.428,-0.459,-3.264,-9.337,-0.821,-3.515,4.2,2.87,1.96
,-9.462,-0.558,-3.374,-9.304,-0.861,-3.628,2.1,2.31,1.33
,-9.435,-0.546,-3.486,-9.328,-0.895,-3.647,0.84,1.82,1.12
,-9.395,-0.627,-3.489,-9.306,-0.821,-3.534,0.0,1.33,0.84
152.0,-9.411,-0.639,-3.446,-9.318,-0.388,-3.168,8.05,-0.07,2.31
,-9.428,-0.586,-3.419,-9.351,-0.447,-3.166,9.73,-0.28,2.59
,-9.428,-0.414,-3.223,-9.33,-0.763,-3.116,10.22,-0.21,2.66
,-9.373,-0.364,-3.154,-9.34,-1.003,-2.984,9.73,-0.63,2.38
228.0,-9.354,-0.962,-3.034,-9.375,-0.431,-3.142,10.43,-0.42,2.87
,-9.416,-0.732,-3.041,-9.265,-0.529,-3.144,12.53,-0.14,3.22
,-9.407,-0.416,-3.032,-9.32,-0.562,-3.094,11.97,-0.21,3.22
,-9.38,-0.299,-3.135,-9.409,-0.426,-2.96,9.59,-0.35,2.94
304.0,-9.464,-0.333,-3.058,-9.356,-0.914,-2.915,3.43,-0.7,1.54
,-9.378,-0.44,-3.005,-9.423,-0.718,-2.886,1.12,-0.98,1.12
,-9.332,-0.797,-2.946,-9.524,-0.419,-2.833,-0.63,-0.77,1.12
,-9.323,-0.988,-2.919,-9.56,-0.366,-2.814,0.77,-0.49,1.26
380.0,-9.49,-0.364,-2.864,-9.385,-0.677,-3.216,3.5,0.98,1.47
,-9.56,-0.38,-2.965,-9.416,-0.696,-3.25,2.17,0.98,0.98
,-9.512,-0.491,-3.116,-9.34,-0.692,-3.36,1.33,0.84,0.63
,-9.462,-0.543,-3.101,-9.34,-0.665,-3.35,1.05,0.84,0.42
456.0,-9.349,-0.57,-3.326,-9.397,-0.704,-3.245,6.86,0.42,1.4
