Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.21,-1.283,-3.537,-9.22,-1.158,-3.546,2.31,1.54,0.63
,-9.251,-1.235,-3.53,-9.134,-1.254,-3.506,2.66,1.33,0.7
,-9.249,-1.184,-3.542,-9.198,-1.184,-3.501,2.66,1.33,0.84
,-9.253,-1.165,-3.613,-9.227,-1.089,-3.36,2.66,1.26,0.98
76.0,-9.174,-1.256,-3.142,-9.177,-1.304,-3.439,1.12,1.12,0.91
,-9.249,-1.139,-3.484,-9.124,-1.213,-3.515,2.73,0.98,0.98
,-9.225,-1.046,-3.496,-9.261,-1.182,-3.443,1.89,0.77,0.84
,-9.225,-1.074,-3.814,-9.275,-1.096,-3.302,0.98,0.28,0.7
152.0,-9.304,-1.082,-3.25,-9.016,-1.077,-2.845,1.47,1.12,0.91
,-9.273,-1.144,-2.958,-9.17,-0.986,-2.917,0.42,1.26,0.98
,-9.136,-1.184,-3.01,-9.287,-0.948,-2.881,-0.77,1.4,0.56
,-9.134,-1.182,-2.824,-9.34,-0.916,-2.938,-0.56,2.1,0.77
228.0,-9.313,-0.83,-3.175,-9.167,-1.285,-3.747,-3.43,3.64,-0.63
,-9.421,-0.78,-3.419,-9.318,-1.244,-3.599,-4.41,3.57,-0.84
,-9.349,-0.869,-3.738,-9.557,-1.094,-3.575,-6.02,3.43,-0.84
,-9.22,-1.144,-3.845,-9.581,-0.9,-3.513,-6.65,3.78,-0.49
304.0,-9.366,-0.931,-3.671,-8.894,-1.675,-4.099,-11.34,0.42,-1.12
,-9.028,-1.225,-3.498,-8.894,-1.622,-4.247,-14.7,-0.14,-0.49
,-8.985,-1.467,-3.721,-8.964,-1.522,-4.216,-14.98,-0.63,0.07
,-8.954,-1.594,-3.936,-9.031,-1.429,-4.058,-13.16,-0.63,0.35
380.0,-9.215,-1.249,-3.989,-9.411,-1.144,-3.443,0.49,-0.84,3.43
,-9.244,-1.158,-3.838,-9.261,-0.986,-3.573,0.91,-1.05,3.5
,-9.172,-1.194,-3.563,-9.44,-0.725,-3.996,0.77,-1.33,4.06
,-9.277,-1.266,-3.245,-9.268,-0.476,-4.484,0.7,-1.33,4.41
456.0,-9.009,-0.641,-4.468,-9.411,-0.653,-3.867,0.21,-3.85,3.85
,-9.0,-0.94,-4.216,-9.282,-0.553,-3.879,1.12,-3.57,4.34
,-9.1,-1.251,-3.831,-9.127,-0.771,-3.659,3.08,-3.36,4.62
,-9.258,-1.141,-3.482,-9.105,-1.137,-3.4,6.37,-3.57,4.62
532.0,-9.28,-1.347,-3.032,-9.466,-0.972,-2.907,0.98,-7.98,3.22
,-9.246,-1.019,-2.989,-9.155,-1.661,-2.754,2.24,-8.82,1.96
,-9.287,-0.847,-2.575,-9.251,-1.766,-2.599,1.19,-8.96,1.54
,-9.541,-0.747,-2.8,-9.189,-1.503,-2.759,-2.52,-9.03,1.61
