session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H1_squat_fast_20251205_013759,1,35,0.337,4.06,0,73,0.702
H1_squat_fast_20251205_013759,2,111,1.067,7.07,73,165,0.885
H1_squat_fast_20251205_013759,3,219,2.106,8.53,165,265,0.962
H1_squat_fast_20251205_013759,4,311,2.99,9.01,265,358,0.894
H1_squat_fast_20251205_013759,5,405,3.894,9.26,358,443,0.817
H1_squat_fast_20251205_013759,6,482,4.635,9.45,443,529,0.827
H1_squat_fast_20251205_013759,7,577,5.548,9.97,529,640,1.067
H1_squat_fast_20251205_013759,8,703,6.76,10.07,640,754,1.096
H1_squat_fast_20251205_013759,9,806,7.75,9.13,754,852,0.942
H1_squat_fast_20251205_013759,10,899,8.644,8.52,852,954,0.981
H1_squat_fast_20251205_013759,11,1010,9.712,6.88,954,1092,1.327
H1_squat_fast_20251205_013759,12,1175,11.298,5.54,1092,1224,1.269
H1_squat_fast_20251205_013759,13,1273,12.24,3.73,1224,1325,0.971
H1_squat_fast_20251205_013759,14,1377,13.24,3.39,1325,1428,0.99
H1_squat_fast_20251205_013759,15,1480,14.231,2.47,1428,1528,0.962
H1_squat_fast_20251205_013759,16,1577,15.163,1.69,1528,1628,0.962
H1_squat_fast_20251205_013759,17,1679,16.144,0.78,1628,1731,0.99
H1_squat_fast_20251205_013759,18,1784,17.154,2.67,1731,1858,1.221
H1_squat_fast_20251205_013759,19,1933,18.587,4.3,1858,1979,1.163
H1_squat_fast_20251205_013759,20,2026,19.481,4.97,1979,2113,1.288
H1_squat_fast_20251205_013759,21,2201,21.163,5.19,2113,2253,1.346
H1_squat_fast_20251205_013759,22,2305,22.163,4.61,2253,2357,1.0
H1_squat_fast_20251205_013759,23,2409,23.163,4.83,2357,2463,1.019
H1_squat_fast_20251205_013759,24,2517,24.202,4.82,2463,2568,1.01
H1_squat_fast_20251205_013759,25,2620,25.192,4.82,2568,2674,1.019
H1_squat_fast_20251205_013759,26,2728,26.231,5.32,2674,2780,1.019
H1_squat_fast_20251205_013759,27,2832,27.231,5.55,2780,2884,1.0
H1_squat_fast_20251205_013759,28,2937,28.24,5.52,2884,2991,1.029
H1_squat_fast_20251205_013759,29,3045,29.279,5.25,2991,3100,1.048
H1_squat_fast_20251205_013759,30,3156,30.346,4.15,3100,3210,1.058
H1_squat_fast_20251205_013759,31,3264,31.385,3.3,3210,3317,1.029
H1_squat_fast_20251205_013759,32,3371,32.413,2.7,3317,3420,0.99
H1_squat_fast_20251205_013759,33,3470,33.365,2.75,3420,3525,1.01
H1_squat_fast_20251205_013759,34,3581,34.433,2.36,3525,3639,1.096
