session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H1_squat_normal_20251205_013110,1,201,1.933,12.03,0,248,2.385
H1_squat_normal_20251205_013110,2,295,2.837,16.32,248,397,1.433
H1_squat_normal_20251205_013110,3,500,4.808,26.21,397,612,2.067
H1_squat_normal_20251205_013110,4,724,6.962,32.67,612,781,1.625
H1_squat_normal_20251205_013110,5,838,8.058,37.08,781,884,0.99
H1_squat_normal_20251205_013110,6,931,8.952,40.13,884,1002,1.135
H1_squat_normal_20251205_013110,7,1073,10.317,42.66,1002,1110,1.038
H1_squat_normal_20251205_013110,8,1148,11.038,44.38,1110,1211,0.971
H1_squat_normal_20251205_013110,9,1275,12.26,45.02,1211,1314,0.99
H1_squat_normal_20251205_013110,10,1354,13.019,43.36,1314,1466,1.462
H1_squat_normal_20251205_013110,11,1579,15.183,43.02,1466,1649,1.76
H1_squat_normal_20251205_013110,12,1720,16.538,39.78,1649,1763,1.096
H1_squat_normal_20251205_013110,13,1806,17.365,37.53,1763,1871,1.038
H1_squat_normal_20251205_013110,14,1937,18.625,35.93,1871,1998,1.221
H1_squat_normal_20251205_013110,15,2060,19.808,34.89,1998,2168,1.635
H1_squat_normal_20251205_013110,16,2277,21.894,32.41,2168,2408,2.308
H1_squat_normal_20251205_013110,17,2539,24.413,29.45,2408,2596,1.808
H1_squat_normal_20251205_013110,18,2653,25.51,27.01,2596,2711,1.106
H1_squat_normal_20251205_013110,19,2769,26.625,24.97,2711,2938,2.183
H1_squat_normal_20251205_013110,20,3107,29.875,23.37,2938,3162,2.154
H1_squat_normal_20251205_013110,21,3217,30.933,21.49,3162,3261,0.952
H1_squat_normal_20251205_013110,22,3305,31.779,21.5,3261,3639,3.635
