session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H2_squat_slow_20251205_015741,1,153,1.471,11.14,0,216,2.077
H2_squat_slow_20251205_015741,2,280,2.692,12.44,216,326,1.058
H2_squat_slow_20251205_015741,3,372,3.577,8.65,326,449,1.183
H2_squat_slow_20251205_015741,4,527,5.067,13.38,449,596,1.413
H2_squat_slow_20251205_015741,5,666,6.404,11.85,596,755,1.529
H2_squat_slow_20251205_015741,6,844,8.115,15.4,755,909,1.481
H2_squat_slow_20251205_015741,7,974,9.365,12.92,909,1010,0.971
H2_squat_slow_20251205_015741,8,1047,10.067,15.58,1010,1095,0.817
H2_squat_slow_20251205_015741,9,1144,11.0,17.07,1095,1202,1.029
H2_squat_slow_20251205_015741,10,1260,12.115,15.16,1202,1297,0.913
H2_squat_slow_20251205_015741,11,1335,12.837,17.87,1297,1379,0.788
H2_squat_slow_20251205_015741,12,1423,13.683,21.89,1379,1498,1.144
H2_squat_slow_20251205_015741,13,1573,15.125,26.41,1498,1642,1.385
H2_squat_slow_20251205_015741,14,1712,16.462,30.43,1642,1755,1.087
H2_squat_slow_20251205_015741,15,1798,17.288,33.5,1755,1879,1.192
H2_squat_slow_20251205_015741,16,1961,18.856,39.17,1879,2036,1.51
H2_squat_slow_20251205_015741,17,2111,20.298,41.21,2036,2181,1.394
H2_squat_slow_20251205_015741,18,2251,21.644,44.68,2181,2304,1.183
H2_squat_slow_20251205_015741,19,2357,22.663,43.1,2304,2404,0.962
H2_squat_slow_20251205_015741,20,2451,23.567,47.93,2404,2497,0.894
H2_squat_slow_20251205_015741,21,2544,24.462,48.36,2497,2596,0.952
H2_squat_slow_20251205_015741,22,2648,25.462,47.73,2596,2729,1.279
H2_squat_slow_20251205_015741,23,2811,27.029,48.24,2729,2875,1.404
H2_squat_slow_20251205_015741,24,2940,28.269,43.41,2875,3008,1.279
H2_squat_slow_20251205_015741,25,3077,29.587,39.08,3008,3144,1.308
H2_squat_slow_20251205_015741,26,3211,30.875,34.49,3144,3252,1.038
H2_squat_slow_20251205_015741,27,3293,31.663,30.16,3252,3337,0.817
H2_squat_slow_20251205_015741,28,3381,32.51,29.57,3337,3460,1.183
H2_squat_slow_20251205_015741,29,3539,34.029,24.4,3460,3639,1.721
