session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H2_walk_slow_20251205_052416,1,211,2.029,10.46,0,255,2.452
H2_walk_slow_20251205_052416,2,299,2.875,11.49,255,344,0.856
H2_walk_slow_20251205_052416,3,389,3.74,15.61,344,494,1.442
H2_walk_slow_20251205_052416,4,599,5.76,15.84,494,647,1.471
H2_walk_slow_20251205_052416,5,696,6.692,16.61,647,742,0.913
H2_walk_slow_20251205_052416,6,789,7.587,18.59,742,832,0.865
H2_walk_slow_20251205_052416,7,876,8.423,19.87,832,922,0.865
H2_walk_slow_20251205_052416,8,968,9.308,21.62,922,1075,1.471
H2_walk_slow_20251205_052416,9,1183,11.375,23.49,1075,1230,1.49
H2_walk_slow_20251205_052416,10,1277,12.279,25.16,1230,1324,0.904
H2_walk_slow_20251205_052416,11,1372,13.192,26.34,1324,1420,0.923
H2_walk_slow_20251205_052416,12,1468,14.115,26.9,1420,1531,1.067
H2_walk_slow_20251205_052416,13,1595,15.337,28.29,1531,1646,1.106
H2_walk_slow_20251205_052416,14,1697,16.317,29.73,1646,1742,0.923
H2_walk_slow_20251205_052416,15,1788,17.192,29.96,1742,1829,0.837
H2_walk_slow_20251205_052416,16,1871,17.99,30.23,1829,1919,0.865
H2_walk_slow_20251205_052416,17,1968,18.923,29.55,1919,2080,1.548
H2_walk_slow_20251205_052416,18,2192,21.077,27.32,2080,2234,1.481
H2_walk_slow_20251205_052416,19,2276,21.885,26.8,2234,2325,0.875
H2_walk_slow_20251205_052416,20,2375,22.837,26.72,2325,2422,0.933
H2_walk_slow_20251205_052416,21,2470,23.75,27.43,2422,2533,1.067
H2_walk_slow_20251205_052416,22,2597,24.971,25.68,2533,2654,1.163
H2_walk_slow_20251205_052416,23,2712,26.077,24.69,2654,2771,1.125
H2_walk_slow_20251205_052416,24,2831,27.221,24.79,2771,2886,1.106
H2_walk_slow_20251205_052416,25,2941,28.279,25.02,2886,2995,1.048
H2_walk_slow_20251205_052416,26,3050,29.327,25.13,2995,3130,1.298
H2_walk_slow_20251205_052416,27,3211,30.875,23.63,3130,3273,1.375
H2_walk_slow_20251205_052416,28,3335,32.067,22.12,3273,3390,1.125
H2_walk_slow_20251205_052416,29,3446,33.135,21.39,3390,3497,1.029
H2_walk_slow_20251205_052416,30,3548,34.115,21.49,3497,3639,1.365
