session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt
H1_lateral_point_steps_20251205_021623,32056.0,-9.402,-0.258,-3.101,-9.43,-0.335,-3.104,3.64,0.91,0.14,-0.09020576923076895,-0.11818076923076859,1.0903846153846155,0.03371538461538465,-0.04279423076923078,-0.45607692307692316,0.30444038461538403,0.29833461538461536,-0.6605576923076923,0.319308245660899,0.3237307262831144,0.2397853080590647,0.22128928084366878
H1_lateral_point_steps_20251205_021623,,-9.414,-0.282,-3.099,-9.404,-0.309,-3.118,3.22,0.91,0.0,-0.1022057692307694,-0.09218076923076879,0.6703846153846156,0.009715384615384681,-0.016794230769230756,-0.45607692307692316,0.3064403846153838,0.2843346153846156,-0.8005576923076924,0.3231812452564389,0.29937520590226524,0.24036679996721938,0.2227227549406112
H1_lateral_point_steps_20251205_021623,,-9.402,-0.318,-3.125,-9.371,-0.321,-3.125,3.08,1.19,0.0,-0.09020576923076895,-0.059180769230769315,0.5303846153846155,-0.02628461538461535,-0.028794230769230766,-0.17607692307692324,0.280440384615384,0.27733461538461546,-0.8005576923076924,0.29576134150976596,0.28503676966817787,0.23895441663470507,0.22561502464723757
H1_lateral_point_steps_20251205_021623,,-9.433,-0.33,-3.125,-9.38,-0.304,-3.166,2.8,1.05,-0.14,-0.12120576923076953,-0.06818076923076966,0.2503846153846152,-0.03828461538461536,-0.011794230769230751,-0.31607692307692314,0.280440384615384,0.23633461538461553,-0.9405576923076924,0.30790154204419795,0.24625550065192756,0.23650000086723258,0.22524210322746382
H1_lateral_point_steps_20251205_021623,32131.0,-9.414,-0.309,-3.264,-9.366,-0.369,-3.317,0.77,1.47,-0.49,-0.1022057692307694,-0.05418076923076853,-1.7796153846153846,-0.017284615384615343,-0.07679423076923075,0.10392307692307678,0.14144038461538422,0.08533461538461529,-1.2905576923076922,0.17535723421973554,0.12694450053750214,0.23504282570184362,0.22227499459974454
H1_lateral_point_steps_20251205_021623,,-9.407,-0.421,-3.309,-9.404,-0.352,-3.345,0.63,1.33,-0.49,-0.09520576923076973,-0.09218076923076879,-1.9196153846153847,-0.12928461538461533,-0.05979423076923074,-0.03607692307692312,0.09644038461538385,0.05733461538461526,-1.2905576923076922,0.18729494935724683,0.12393507320594131,0.23342074184158845,0.21759123834993604
H1_lateral_point_steps_20251205_021623,,-9.313,-0.467,-3.305,-9.323,-0.34,-3.235,0.98,1.47,-0.42,-0.001205769230770315,-0.011180769230769272,-1.5696153846153846,-0.17528461538461537,-0.04779423076923078,0.10392307692307678,0.10044038461538385,0.16733461538461558,-1.2205576923076924,0.20202579323357858,0.17438512436940093,0.2326033074099189,0.2144773559145707
H1_lateral_point_steps_20251205_021623,,-9.328,-0.464,-3.336,-9.347,-0.433,-3.273,1.61,1.82,-0.28,-0.016205769230769107,-0.035180769230768405,-0.9396153846153845,-0.17228461538461537,-0.14079423076923075,0.4539230769230769,0.06944038461538415,0.12933461538461533,-1.0805576923076923,0.18645799170354235,0.1943917299636339,0.22835191193262566,0.21390625802146657
H1_lateral_point_steps_20251205_021623,32207.0,-9.407,-0.471,-3.271,-9.363,-0.357,-3.288,2.8,1.61,0.14,-0.09520576923076973,-0.05118076923076842,0.2503846153846152,-0.17928461538461532,-0.06479423076923074,0.2439230769230769,0.1344403846153841,0.11433461538461565,-0.6605576923076923,0.24347757355445374,0.14103250602317713,0.22730887939754144,0.2116095890187348
H1_lateral_point_steps_20251205_021623,,-9.414,-0.455,-3.266,-9.416,-0.424,-3.192,3.01,1.68,0.28,-0.1022057692307694,-0.10418076923076924,0.46038461538461517,-0.16328461538461536,-0.13179423076923075,0.31392307692307675,0.139440384615384,0.2103346153846153,-0.5205576923076923,0.2378056049529558,0.2691913861373764,0.22587627950767805,0.2109122500233727
H1_lateral_point_steps_20251205_021623,,-9.33,-0.364,-3.211,-9.354,-0.376,-3.197,3.15,1.47,0.14,-0.018205769230769775,-0.04218076923076808,0.6003846153846153,-0.07228461538461534,-0.08379423076923076,0.10392307692307678,0.19444038461538415,0.2053346153846154,-0.6605576923076923,0.20823923459320612,0.22574984978567392,0.22366492833660367,0.2106272137527521
