session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt
H2_walk_slow_20251205_052416,234646.0,-9.397,1.244,-3.118,-9.311,1.285,-3.154,2.94,1.26,0.91,0.0898192307692316,0.1792788461538457,0.3393653846153848,0.027203846153845967,0.07215961538461535,-0.12357692307692303,-0.528026923076923,-0.5677999999999996,0.13057692307692303,0.5363021302918919,0.5997872579262663,0.52032616007483,0.5311897549252408
H2_walk_slow_20251205_052416,,-9.359,1.11,-3.118,-9.34,1.259,-3.111,2.73,1.19,0.91,0.12781923076923185,0.1502788461538458,0.12936538461538483,-0.10679615384615393,0.04615961538461533,-0.1935769230769231,-0.528026923076923,-0.5247999999999999,0.13057692307692303,0.5536746388673156,0.5478407448280812,0.5230055837586663,0.5323440188421887
H2_walk_slow_20251205_052416,,-9.344,1.211,-3.084,-9.354,1.17,-3.111,2.94,1.33,0.77,0.14281923076923242,0.13627884615384644,0.3393653846153848,-0.005796153846153951,-0.04284038461538464,-0.053576923076922967,-0.4940269230769232,-0.5247999999999999,-0.009423076923076978,0.5142893434651118,0.5438954517763664,0.5234427208827432,0.5337008330005096
H2_walk_slow_20251205_052416,,-9.366,1.242,-3.139,-9.375,1.043,-3.075,2.94,1.19,0.77,0.12081923076923218,0.11527884615384565,0.3393653846153848,0.025203846153845966,-0.16984038461538464,-0.1935769230769231,-0.5490269230769229,-0.4887999999999999,-0.009423076923076978,0.5627282493779117,0.5301513072858198,0.5220107849555665,0.5433715667981162
H2_walk_slow_20251205_052416,234721.0,-9.356,1.082,-3.01,-9.347,1.082,-3.063,1.96,1.26,0.77,0.13081923076923196,0.14327884615384612,-0.6406346153846152,-0.13479615384615395,-0.1308403846153845,-0.12357692307692303,-0.4200269230769229,-0.4767999999999999,-0.009423076923076978,0.4601155184736077,0.5147681750084003,0.5322509647658127,0.5464647826489513
H2_walk_slow_20251205_052416,,-9.375,1.115,-3.108,-9.323,1.196,-3.075,2.38,1.26,0.77,0.11181923076923184,0.16727884615384525,-0.22063461538461526,-0.10179615384615404,-0.016840384615384618,-0.12357692307692303,-0.5180269230769232,-0.4887999999999999,-0.009423076923076978,0.5396460787777829,0.5169054564662244,0.5396910897577768,0.5503119585264842
H2_walk_slow_20251205_052416,,-9.39,1.144,-3.063,-9.354,1.225,-3.101,2.45,1.33,0.77,0.09681923076923127,0.13627884615384644,-0.15063461538461498,-0.07279615384615412,0.012159615384615519,-0.053576923076922967,-0.4730269230769233,-0.5147999999999997,-0.009423076923076978,0.48829060344958525,0.5326713997910205,0.5475172896059753,0.5487764548487084
H2_walk_slow_20251205_052416,,-9.387,1.125,-3.041,-9.311,1.189,-3.144,2.38,1.61,0.91,0.09981923076923138,0.1792788461538457,-0.22063461538461526,-0.09179615384615403,-0.023840384615384513,0.22642307692307706,-0.45102692307692305,-0.5577999999999999,0.13057692307692303,0.4709731393960217,0.5863873366784651,0.5515238089470522,0.5473975793139177
H2_walk_slow_20251205_052416,234796.0,-9.349,1.18,-3.118,-9.296,1.156,-3.053,2.73,1.47,1.05,0.13781923076923164,0.19427884615384627,0.12936538461538483,-0.03679615384615409,-0.056840384615384654,0.08642307692307694,-0.528026923076923,-0.46679999999999966,0.27057692307692305,0.5469556918085553,0.5087999011262624,0.5483098219903295,0.549492364029155
H2_walk_slow_20251205_052416,,-9.354,1.137,-3.135,-9.351,1.141,-3.034,2.73,1.61,1.12,0.13281923076923263,0.13927884615384478,0.12936538461538483,-0.07979615384615402,-0.07184038461538456,0.22642307692307706,-0.5450269230769229,-0.44779999999999953,0.3405769230769231,0.5666239679977081,0.47443068813856504,0.5479127597639171,0.5493899692566454
H2_walk_slow_20251205_052416,,-9.273,1.153,-3.075,-9.387,1.163,-3.053,2.8,1.68,1.12,0.21381923076923215,0.1032788461538452,0.19936538461538467,-0.063796153846154,-0.049840384615384536,0.2964230769230769,-0.4850269230769233,-0.46679999999999966,0.3405769230769231,0.5338911207369682,0.48067954398068446,0.5482565420866475,0.5498079557131976
H2_walk_slow_20251205_052416,,-9.371,1.18,-3.104,-9.328,1.158,-3.063,2.87,1.96,1.12,0.1158192307692314,0.16227884615384625,0.26936538461538495,-0.03679615384615409,-0.05484038461538465,0.5764230769230769,-0.5140269230769232,-0.4767999999999999,0.3405769230769231,0.5281966762502159,0.5066360939508622,0.548350872509132,0.5487137757524632
H2_walk_slow_20251205_052416,234872.0,-9.39,1.108,-3.029,-9.32,1.163,-3.12,2.8,1.89,1.26,0.09681923076923127,0.17027884615384536,0.19936538461538467,-0.10879615384615393,-0.049840384615384536,0.5064230769230769,-0.43902692307692304,-0.5337999999999998,0.480576923076923,0.46255292208011417,0.5625134570711124,0.5449601270835168,0.5513794107809253
H2_walk_slow_20251205_052416,,-9.316,1.184,-3.12,-9.313,1.206,-3.104,3.15,2.03,1.26,0.1708192307692311,0.17727884615384504,0.5493653846153848,-0.032796153846154086,-0.006840384615384609,0.6464230769230768,-0.5300269230769232,-0.5177999999999998,0.480576923076923,0.5578380916485384,0.5473494497625122,0.541879985006432,0.5539831740021056
H2_walk_slow_20251205_052416,,-9.328,1.251,-3.094,-9.34,1.204,-3.118,2.8,2.1,1.19,0.15881923076923243,0.1502788461538458,0.19936538461538467,0.03420384615384586,-0.008840384615384611,0.716423076923077,-0.504026923076923,-0.5317999999999996,0.41057692307692295,0.5295626406198204,0.552696231217003,0.5409994452977902,0.5558083313097268
H2_walk_slow_20251205_052416,,-9.385,1.223,-3.08,-9.258,1.316,-3.226,2.24,1.96,1.12,0.10181923076923205,0.23227884615384653,-0.36063461538461494,0.00620384615384606,0.10315961538461549,0.5764230769230769,-0.4900269230769232,-0.6397999999999997,0.3405769230769231,0.5005317460479161,0.6884325737622122,0.5409793780821301,0.5602611876681869
H2_walk_slow_20251205_052416,234948.0,-9.268,1.304,-3.245,-9.347,1.132,-3.159,2.38,1.75,1.05,0.21881923076923115,0.14327884615384612,-0.22063461538461526,0.08720384615384602,-0.08084038461538468,0.36642307692307696,-0.6550269230769232,-0.5727999999999995,0.27057692307692305,0.6960938417297506,0.5959562362623118,0.5461026079069174,0.5611150912464491
H2_walk_slow_20251205_052416,,-9.38,1.316,-3.24,-9.332,1.151,-3.178,2.17,1.68,1.05,0.10681923076923105,0.1582788461538449,-0.4306346153846152,0.09920384615384603,-0.06184038461538455,0.2964230769230769,-0.6500269230769233,-0.5917999999999997,0.27057692307692305,0.6661732146211664,0.6157139484445442,0.5520684115418197,0.5599775469176471
H2_walk_slow_20251205_052416,,-9.284,1.304,-3.242,-9.373,1.129,-3.087,1.89,1.54,1.05,0.20281923076923114,0.11727884615384632,-0.7106346153846153,0.08720384615384602,-0.08384038461538457,0.156423076923077,-0.6520269230769231,-0.5007999999999999,0.27057692307692305,0.6883888868735506,0.5211373886487449,0.5574029973988953,0.5603063683436172
H2_walk_slow_20251205_052416,,-9.313,1.156,-3.19,-9.371,1.173,-3.092,1.61,1.61,0.91,0.17381923076923123,0.11927884615384521,-0.9906346153846151,-0.06079615384615411,-0.03984038461538453,0.22642307692307706,-0.6000269230769231,-0.5057999999999998,0.13057692307692303,0.62764767642751,0.5211989441528966,0.558802962399625,0.5620542562352919
H2_walk_slow_20251205_052416,235024.0,-9.347,1.17,-3.051,-9.34,1.163,-3.156,2.31,1.47,1.05,0.1398192307692323,0.1502788461538458,-0.2906346153846151,-0.0467961538461541,-0.049840384615384536,0.08642307692307694,-0.4610269230769233,-0.5697999999999999,0.27057692307692305,0.48403008285587795,0.5913880583339002,0.5605397583931148,0.5671966678418591
H2_walk_slow_20251205_052416,,-9.332,1.187,-3.106,-9.27,1.225,-3.087,2.52,1.61,1.12,0.1548192307692311,0.22027884615384608,-0.08063461538461514,-0.029796153846153972,0.012159615384615519,0.22642307692307706,-0.516026923076923,-0.5007999999999999,0.3405769230769231,0.539574453009255,0.5472396790339417,0.5636034276917381,0.5647844797214382
H2_walk_slow_20251205_052416,,-9.306,1.165,-3.113,-9.311,1.266,-3.113,2.38,1.61,1.19,0.18081923076923268,0.1792788461538457,-0.22063461538461526,-0.05179615384615399,0.053159615384615444,0.22642307692307706,-0.5230269230769231,-0.5267999999999997,0.41057692307692295,0.555819753186719,0.559003657757348,0.5619148185242478,0.5649124819732196
H2_walk_slow_20251205_052416,,-9.344,1.175,-3.12,-9.318,1.237,-3.08,2.52,1.54,1.33,0.14281923076923242,0.17227884615384603,-0.08063461538461514,-0.04179615384615398,0.02415961538461553,0.156423076923077,-0.5300269230769232,-0.4937999999999998,0.5505769230769231,0.5505204722262719,0.5235476366555701,0.5640134645902172,0.5690160403902994
H2_walk_slow_20251205_052416,235099.0,-9.361,1.173,-3.034,-9.349,1.201,-3.185,1.75,1.61,1.12,0.12581923076923118,0.14127884615384545,-0.8506346153846152,-0.043796153846153985,-0.011840384615384503,0.22642307692307706,-0.44402692307692293,-0.5987999999999998,0.3405769230769231,0.46358223686875305,0.615354651464017,0.5664052641826012,0.5778198548184335
H2_walk_slow_20251205_052416,,-9.387,1.122,-3.034,-9.335,1.237,-3.185,1.96,1.61,1.12,0.09981923076923138,0.1552788461538448,-0.6406346153846152,-0.09479615384615392,0.02415961538461553,0.22642307692307706,-0.44402692307692293,-0.5987999999999998,0.3405769230769231,0.46487643307931237,0.6190772545316148,0.5700519074324165,0.5818274078129951
H2_walk_slow_20251205_052416,,-9.328,1.161,-3.075,-9.359,1.263,-3.218,2.38,1.68,1.19,0.15881923076923243,0.13127884615384566,-0.22063461538461526,-0.055796153846153995,0.05015961538461533,0.2964230769230769,-0.4850269230769233,-0.6317999999999997,0.41057692307692295,0.5134080978672055,0.6472413479244178,0.5759126795303604,0.5821188547152872
H2_walk_slow_20251205_052416,,-9.342,1.187,-3.123,-9.316,1.187,-3.226,2.45,1.75,1.26,0.1448192307692313,0.17427884615384492,-0.15063461538461498,-0.029796153846153972,-0.025840384615384515,0.36642307692307696,-0.5330269230769233,-0.6397999999999997,0.480576923076923,0.5531528912601541,0.6636150101480423,0.578272425280774,0.5818141898467468
H2_walk_slow_20251205_052416,235175.0,-9.308,1.318,-3.204,-9.354,1.003,-3.094,2.03,1.26,0.98,0.178819230769232,0.13627884615384644,-0.5706346153846154,0.10120384615384603,-0.20984038461538468,-0.12357692307692303,-0.6140269230769233,-0.5077999999999996,0.20057692307692299,0.6474933189095815,0.5660969448111833,0.5765809442841093,0.582628854950791
H2_walk_slow_20251205_052416,,-9.232,1.402,-3.235,-9.387,1.031,-3.041,1.82,1.4,0.91,0.2548192307692325,0.1032788461538452,-0.7806346153846151,0.18520384615384589,-0.18184038461538465,0.016423076923076874,-0.645026923076923,-0.45479999999999965,0.13057692307692303,0.7178391438853718,0.5005751547369689,0.57673606757294,0.5816374805155721
H2_walk_slow_20251205_052416,,-9.363,1.292,-3.171,-9.33,1.232,-3.084,0.56,1.33,0.84,0.12381923076923229,0.16027884615384558,-2.040634615384615,0.07520384615384601,0.019159615384615414,-0.053576923076922967,-0.5810269230769229,-0.4977999999999998,0.06057692307692297,0.5988147507575714,0.5233175320836235,0.5688179456257555,0.5836335406861622
H2_walk_slow_20251205_052416,,-9.421,1.12,-3.154,-9.304,1.242,-3.116,0.21,1.12,0.98,0.06581923076923246,0.18627884615384538,-2.390634615384615,-0.09679615384615392,0.029159615384615423,-0.26357692307692293,-0.564026923076923,-0.5297999999999998,0.20057692307692299,0.5760451687967559,0.5623505416497672,0.564334295296778,0.5785563847909017
H2_walk_slow_20251205_052416,235250.0,-9.366,1.141,-3.104,-9.253,1.464,-3.156,0.35,1.26,1.33,0.12081923076923218,0.23727884615384554,-2.250634615384615,-0.07579615384615401,0.2511596153846154,-0.12357692307692303,-0.5140269230769232,-0.5697999999999999,0.5505769230769231,0.5334472992803206,0.6663741015617639,0.5569859128554946,0.5832243121375799
