Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-8.949,1.496,-3.97,-8.964,1.474,-4.032,2.87,1.54,0.63
,-8.928,1.469,-4.011,-8.961,1.448,-4.015,2.66,1.68,0.77
,-8.985,1.488,-3.994,-8.99,1.45,-3.939,2.59,1.75,0.77
,-8.945,1.498,-3.999,-8.949,1.479,-3.929,2.38,1.54,0.7
76.0,-8.94,1.481,-3.896,-9.0,1.522,-3.884,2.17,1.54,0.7
,-8.981,1.457,-3.963,-8.973,1.508,-3.9,2.31,1.33,0.7
,-8.926,1.438,-3.944,-8.99,1.409,-3.936,2.52,1.47,0.91
,-8.973,1.488,-3.896,-8.981,1.45,-3.972,2.59,1.61,0.84
152.0,-9.005,1.488,-3.984,-8.952,1.462,-3.97,3.01,1.61,0.84
,-8.973,1.484,-4.03,-9.009,1.455,-3.963,2.8,1.68,0.91
,-8.945,1.527,-3.975,-8.988,1.493,-3.972,2.52,1.4,0.84
,-8.957,1.455,-4.037,-8.966,1.517,-3.946,2.24,1.47,0.84
227.0,-8.993,1.56,-3.946,-8.981,1.467,-4.011,2.38,1.61,0.84
,-9.021,1.515,-3.967,-8.961,1.527,-4.022,2.24,1.33,0.84
,-9.0,1.445,-3.946,-8.954,1.452,-3.936,2.1,1.4,0.84
,-9.028,1.424,-3.982,-8.969,1.529,-3.869,2.45,1.47,0.91
302.0,-8.985,1.515,-3.881,-8.957,1.519,-3.994,2.52,1.47,1.05
,-8.973,1.46,-3.92,-8.916,1.51,-3.965,2.73,1.54,0.91
,-8.993,1.469,-3.932,-8.983,1.488,-3.936,2.87,1.4,0.98
,-8.947,1.464,-3.941,-9.019,1.45,-3.908,3.08,1.54,1.05
378.0,-9.014,1.496,-3.896,-8.926,1.546,-4.011,2.38,1.68,0.98
,-8.964,1.429,-3.979,-8.966,1.531,-3.955,2.73,1.54,1.12
,-8.945,1.488,-4.022,-8.985,1.505,-3.884,2.94,1.47,1.12
,-8.921,1.5,-4.015,-8.952,1.51,-3.843,2.94,1.47,1.12
454.0,-9.014,1.474,-3.829,-8.918,1.555,-4.118,2.59,1.75,0.98
,-9.028,1.472,-3.867,-8.942,1.57,-4.032,2.87,1.82,0.98
,-8.93,1.484,-3.967,-8.971,1.493,-3.982,3.29,1.82,1.05
,-8.926,1.484,-4.061,-8.961,1.45,-3.927,3.43,1.75,1.12
530.0,-8.976,1.505,-3.922,-8.938,1.529,-3.922,2.24,1.89,0.98
,-8.928,1.46,-3.932,-8.954,1.531,-4.003,2.52,1.75,0.91
,-8.952,1.452,-3.951,-8.964,1.539,-4.013,2.8,1.82,0.91
,-8.918,1.517,-3.917,-8.906,1.51,-4.011,3.01,1.68,1.05
606.0,-8.961,1.455,-3.989,-8.923,1.524,-4.003,2.66,1.68,0.91
,-8.949,1.469,-3.975,-8.981,1.505,-3.97,2.8,1.68,0.84
,-8.995,1.519,-4.006,-8.952,1.553,-3.924,2.73,1.54,0.77
,-8.961,1.522,-3.982,-8.945,1.527,-3.912,2.66,1.61,0.91
681.0,-8.988,1.467,-3.903,-8.892,1.541,-4.02,2.38,1.47,0.7
,-8.952,1.443,-3.91,-8.99,1.529,-3.953,2.52,1.47,0.7
,-8.961,1.467,-3.991,-8.923,1.45,-3.917,2.73,1.4,0.7
,-8.971,1.469,-4.049,-8.957,1.457,-3.896,2.94,1.54,0.7
757.0,-8.961,1.541,-3.912,-8.938,1.493,-4.044,3.01,1.61,0.77
,-8.976,1.541,-3.91,-8.959,1.498,-4.032,2.8,1.54,0.7
,-9.007,1.524,-3.951,-8.949,1.481,-4.03,2.8,1.61,0.77
,-8.995,1.486,-4.018,-9.016,1.479,-3.982,2.87,1.68,0.84
832.0,-8.964,1.484,-4.001,-8.94,1.496,-3.977,2.52,1.61,0.77
,-8.964,1.479,-4.006,-8.938,1.551,-3.972,2.31,1.4,0.7
,-8.981,1.455,-3.963,-8.961,1.474,-3.953,2.38,1.33,0.77
,-8.942,1.433,-3.97,-8.959,1.462,-3.922,2.73,1.54,0.84
908.0,-8.976,1.452,-3.908,-8.928,1.464,-3.898,2.8,1.61,0.77
,-8.938,1.467,-3.955,-8.971,1.476,-3.936,2.94,1.75,0.84
