Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.134,0.105,-3.841,-9.201,0.091,-3.704,2.73,0.91,0.7
,-9.112,0.086,-3.826,-9.167,0.041,-3.656,3.08,0.91,0.77
,-9.222,0.146,-3.692,-9.177,0.12,-3.728,3.15,0.84,0.63
,-9.21,0.156,-3.673,-9.184,0.146,-3.788,2.87,0.98,0.7
76.0,-9.141,0.17,-3.735,-9.179,0.112,-3.819,2.24,1.12,0.63
,-9.174,0.246,-3.829,-9.139,0.136,-3.778,2.38,1.19,0.56
,-9.225,0.168,-3.848,-9.184,0.258,-3.778,2.31,1.05,0.49
,-9.191,0.081,-3.798,-9.179,0.134,-3.781,2.52,1.05,0.56
152.0,-9.167,0.081,-3.747,-9.206,0.101,-3.68,2.87,0.84,0.56
,-9.139,0.057,-3.728,-9.179,0.098,-3.661,2.87,0.98,0.56
,-9.158,0.144,-3.68,-9.217,0.081,-3.664,2.66,0.84,0.49
,-9.182,0.134,-3.618,-9.16,0.06,-3.692,2.24,1.12,0.56
227.0,-9.201,0.139,-3.731,-9.179,0.153,-3.86,2.59,1.61,0.7
,-9.155,0.168,-3.802,-9.196,0.139,-3.783,2.52,1.54,0.56
,-9.162,0.158,-3.874,-9.189,0.184,-3.738,2.45,1.54,0.7
,-9.177,0.165,-3.908,-9.189,0.124,-3.716,2.87,1.47,0.7
302.0,-9.167,0.127,-3.726,-9.179,0.136,-3.766,2.31,1.05,0.49
,-9.141,0.086,-3.819,-9.141,0.158,-3.716,2.1,1.05,0.56
,-9.148,0.077,-3.829,-9.213,0.127,-3.644,2.24,1.05,0.56
,-9.117,0.105,-3.829,-9.232,0.144,-3.644,2.59,1.19,0.56
378.0,-9.189,0.077,-3.628,-9.17,0.11,-3.685,2.8,1.33,0.77
,-9.215,0.065,-3.659,-9.217,0.187,-3.766,2.66,1.4,0.77
,-9.196,0.06,-3.683,-9.177,0.16,-3.719,2.52,1.61,0.77
,-9.179,0.041,-3.685,-9.196,0.103,-3.81,2.59,1.82,0.84
454.0,-9.198,0.177,-3.85,-9.182,0.127,-3.884,1.89,1.82,0.63
,-9.153,0.177,-3.908,-9.155,0.139,-3.812,1.75,1.54,0.63
,-9.139,0.132,-3.905,-9.162,0.098,-3.788,1.75,1.4,0.63
,-9.155,0.129,-3.9,-9.153,0.108,-3.745,1.96,1.4,0.7
530.0,-9.167,0.112,-3.707,-9.268,0.132,-3.69,3.29,1.19,0.84
,-9.165,0.172,-3.707,-9.229,0.172,-3.723,3.08,0.98,0.91
,-9.162,0.103,-3.68,-9.215,0.165,-3.798,2.87,0.84,0.84
,-9.229,0.057,-3.64,-9.153,0.139,-3.86,2.87,0.98,0.91
605.0,-9.129,0.038,-3.865,-9.174,0.189,-3.721,2.03,0.91,0.63
,-9.148,0.144,-3.898,-9.27,0.148,-3.64,2.45,0.77,0.56
,-9.155,0.201,-3.893,-9.217,0.156,-3.671,2.8,0.56,0.63
