session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt
H1_lateral_right_left_fast_20251205_021211,34522.0,-9.222,-1.395,-3.522,-9.182,-1.393,-3.532,2.66,1.82,0.63,0.04313461538461638,0.08149615384615316,0.06353846153846199,-0.15643076923076915,-0.15526923076923094,0.4077500000000003,-0.18095961538461536,-0.19353653846153884,-0.15319230769230763,0.2430587645131458,0.2611638352357754,0.2463518247047773,0.25296946280832755
H1_lateral_right_left_fast_20251205_021211,,-9.165,-1.321,-3.53,-9.217,-1.369,-3.501,2.66,1.96,0.7,0.10013461538461677,0.04649615384615302,0.06353846153846199,-0.08243076923076909,-0.13126923076923092,0.5477500000000002,-0.18895961538461536,-0.1625365384615387,-0.08319230769230768,0.22918880679584508,0.21403651465179951,0.2494728419767071,0.2481392639121602
H1_lateral_right_left_fast_20251205_021211,,-9.208,-1.4,-3.52,-9.196,-1.316,-3.482,2.52,1.82,0.56,0.05713461538461573,0.06749615384615382,-0.07646153846153814,-0.16143076923076904,-0.07826923076923098,0.4077500000000003,-0.17895961538461558,-0.14353653846153902,-0.22319230769230758,0.24769093941481854,0.1768743654200678,0.25089488874349225,0.24773724846160203
H1_lateral_right_left_fast_20251205_021211,,-9.153,-1.436,-3.479,-9.206,-1.34,-3.477,2.59,1.75,0.56,0.11213461538461544,0.05749615384615403,-0.0064615384615382965,-0.19743076923076908,-0.102269230769231,0.3377500000000002,-0.13795961538461565,-0.13853653846153868,-0.22319230769230758,0.2656801386697544,0.18154111313456306,0.2474257469759971,0.2465519111972329
H1_lateral_right_left_fast_20251205_021211,34597.0,-9.203,-1.354,-3.463,-9.179,-1.364,-3.546,2.31,1.82,0.42,0.06213461538461651,0.08449615384615328,-0.2864615384615381,-0.11543076923076923,-0.12626923076923102,0.4077500000000003,-0.12195961538461564,-0.20753653846153863,-0.36319230769230765,0.17905060932307573,0.2572060136358476,0.24700579166714498,0.2497101394588902
H1_lateral_right_left_fast_20251205_021211,,-9.153,-1.424,-3.429,-9.201,-1.417,-3.506,2.31,1.68,0.35,0.11213461538461544,0.062496153846153035,-0.2864615384615381,-0.18543076923076907,-0.17926923076923096,0.26775000000000015,-0.08795961538461539,-0.1675365384615386,-0.43319230769230765,0.23387098170482767,0.2532029187545602,0.24344112323520756,0.2525948998577658
H1_lateral_right_left_fast_20251205_021211,,-9.16,-1.388,-3.486,-9.191,-1.419,-3.518,2.31,1.82,0.35,0.10513461538461577,0.07249615384615282,-0.2864615384615381,-0.14943076923076903,-0.18126923076923096,0.4077500000000003,-0.14495961538461577,-0.1795365384615386,-0.43319230769230765,0.23322978419881576,0.2652312104351698,0.2418243722714152,0.2552512186464258
H1_lateral_right_left_fast_20251205_021211,,-9.194,-1.371,-3.486,-9.203,-1.441,-3.587,2.24,1.75,0.35,0.07113461538461507,0.060496153846154144,-0.35646153846153794,-0.13243076923076913,-0.20326923076923098,0.3377500000000002,-0.14495961538461577,-0.248536538461539,-0.43319230769230765,0.20883326420239204,0.3267240054818998,0.24038637472262595,0.25861835550835355
H1_lateral_right_left_fast_20251205_021211,34672.0,-9.201,-1.424,-3.558,-9.179,-1.419,-3.503,2.66,1.68,0.42,0.0641346153846154,0.08449615384615328,0.06353846153846199,-0.18543076923076907,-0.18126923076923096,0.26775000000000015,-0.2169596153846154,-0.16453653846153893,-0.36319230769230765,0.2925222962030202,0.25897954847316995,0.24309409466158544,0.2583916401012005
H1_lateral_right_left_fast_20251205_021211,,-9.15,-1.414,-3.539,-9.158,-1.443,-3.494,2.87,1.75,0.49,0.11513461538461556,0.10549615384615407,0.27353846153846195,-0.17543076923076906,-0.20526923076923098,0.3377500000000002,-0.1979596153846157,-0.15553653846153903,-0.29319230769230764,0.2884786712668506,0.2783100975055002,0.24326894777805144,0.25831337473631816
H1_lateral_right_left_fast_20251205_021211,,-9.165,-1.369,-3.568,-9.194,-1.457,-3.53,2.87,1.82,0.56,0.10013461538461677,0.06949615384615271,0.27353846153846195,-0.13043076923076913,-0.219269230769231,0.4077500000000003,-0.22695961538461562,-0.19153653846153862,-0.22319230769230758,0.2802673612390282,0.29932416629361364,0.24146594175437314,0.2576295672780196
H1_lateral_right_left_fast_20251205_021211,,-9.203,-1.378,-3.544,-9.174,-1.412,-3.561,2.66,1.68,0.49,0.06213461538461651,0.08949615384615406,0.06353846153846199,-0.13943076923076902,-0.17426923076923084,0.26775000000000015,-0.2029596153846156,-0.22253653846153876,-0.29319230769230764,0.25395719189333715,0.29648244011508984,0.24246365241264634,0.2559135102531526
H1_lateral_right_left_fast_20251205_021211,34748.0,-9.203,-1.426,-3.489,-9.201,-1.402,-3.47,2.59,1.19,0.42,0.06213461538461651,0.062496153846153035,-0.0064615384615382965,-0.18743076923076907,-0.16426923076923083,-0.22224999999999984,-0.14795961538461544,-0.131536538461539,-0.36319230769230765,0.2467449117371934,0.21952678737120165,0.24122515846427245,0.2564176278080075
H1_lateral_right_left_fast_20251205_021211,,-9.15,-1.431,-3.525,-9.177,-1.364,-3.443,2.59,1.12,0.49,0.11513461538461556,0.08649615384615394,-0.0064615384615382965,-0.19243076923076918,-0.12626923076923102,-0.2922499999999997,-0.18395961538461547,-0.10453653846153887,-0.29319230769230764,0.2900460665117949,0.18534667826198464,0.23853628280775357,0.25765508383882013
H1_lateral_right_left_fast_20251205_021211,,-9.139,-1.417,-3.501,-9.182,-1.436,-3.451,2.73,1.19,0.63,0.12613461538461657,0.08149615384615316,0.13353846153846183,-0.17843076923076917,-0.19826923076923086,-0.22224999999999984,-0.15995961538461545,-0.11253653846153888,-0.15319230769230763,0.2708035434784842,0.2421090321537877,0.23607674980999221,0.25802440899720697
H1_lateral_right_left_fast_20251205_021211,,-9.222,-1.385,-3.463,-9.155,-1.402,-3.455,3.01,1.4,0.77,0.04313461538461638,0.10849615384615419,0.41353846153846163,-0.14643076923076914,-0.16426923076923083,-0.012249999999999872,-0.12195961538461564,-0.11653653846153889,-0.013192307692307614,0.1953886204635698,0.2287718522316959,0.2359967077157355,0.25928870827155415
H1_lateral_right_left_fast_20251205_021211,34824.0,-9.194,-1.433,-3.463,-9.203,-1.45,-3.542,3.29,1.68,0.91,0.07113461538461507,0.060496153846154144,0.6935384615384619,-0.19443076923076918,-0.21226923076923088,0.26775000000000015,-0.12195961538461564,-0.20353653846153863,0.1268076923076924,0.24028650672551113,0.30024179164540693,0.23641665043001023,0.26051643354847187
H1_lateral_right_left_fast_20251205_021211,,-9.186,-1.381,-3.424,-9.153,-1.441,-3.532,3.29,1.54,0.77,0.07913461538461597,0.11049615384615308,0.6935384615384619,-0.14243076923076914,-0.20326923076923098,0.12775000000000025,-0.08295961538461549,-0.19353653846153884,-0.013192307692307614,0.18284175989227144,0.30163582663865096,0.23666657573463365,0.2639947291876713
