Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.342,-0.041,-3.345,-9.335,-0.053,-3.451,1.96,1.82,0.84
,-9.344,-0.045,-3.372,-9.344,-0.007,-3.417,2.1,1.89,0.91
,-9.296,-0.048,-3.369,-9.304,-0.012,-3.443,2.24,1.68,0.77
,-9.332,-0.019,-3.388,-9.311,-0.024,-3.412,2.45,1.75,0.77
75.0,-9.289,-0.026,-3.403,-9.351,-0.067,-3.376,2.38,1.54,0.77
,-9.308,-0.038,-3.427,-9.316,-0.065,-3.314,2.45,1.4,0.7
,-9.316,-0.072,-3.429,-9.378,-0.069,-3.321,2.52,1.19,0.63
,-9.335,-0.084,-3.393,-9.332,-0.041,-3.278,2.59,1.33,0.91
150.0,-9.34,-0.053,-3.333,-9.294,-0.034,-3.367,2.31,1.54,0.84
,-9.349,-0.06,-3.331,-9.304,-0.055,-3.415,2.17,1.54,0.84
,-9.337,-0.072,-3.345,-9.323,-0.036,-3.357,2.17,1.33,0.84
,-9.306,-0.031,-3.367,-9.335,-0.036,-3.362,2.38,1.47,0.91
226.0,-9.32,-0.043,-3.348,-9.328,-0.067,-3.386,2.31,1.4,0.77
,-9.344,-0.019,-3.388,-9.306,-0.055,-3.379,2.45,1.54,0.84
,-9.328,-0.026,-3.357,-9.308,-0.067,-3.412,2.38,1.4,0.91
,-9.361,-0.024,-3.41,-9.301,-0.036,-3.412,2.45,1.33,0.91
302.0,-9.33,-0.026,-3.4,-9.383,-0.005,-3.386,2.8,1.12,0.77
,-9.373,-0.014,-3.391,-9.328,-0.022,-3.314,2.8,1.26,0.77
,-9.328,-0.055,-3.338,-9.313,-0.031,-3.319,2.87,1.19,0.77
,-9.33,-0.067,-3.348,-9.347,-0.05,-3.34,2.8,1.12,0.77
378.0,-9.33,-0.074,-3.338,-9.33,-0.043,-3.367,3.01,1.47,0.91
,-9.304,0.0,-3.333,-9.344,-0.002,-3.345,2.94,1.47,0.91
,-9.375,-0.06,-3.317,-9.349,0.0,-3.36,2.59,1.33,0.77
,-9.316,-0.045,-3.324,-9.34,-0.005,-3.379,2.59,1.26,0.77
453.0,-9.282,-0.029,-3.398,-9.351,-0.017,-3.364,2.38,1.47,0.77
,-9.325,-0.055,-3.4,-9.308,-0.017,-3.4,2.52,1.68,0.77
,-9.351,-0.048,-3.403,-9.356,-0.05,-3.321,2.59,1.4,0.7
,-9.356,-0.012,-3.386,-9.359,-0.036,-3.317,2.73,1.33,0.84
529.0,-9.378,-0.041,-3.314,-9.356,-0.01,-3.374,3.01,1.26,0.63
,-9.328,-0.062,-3.343,-9.351,-0.06,-3.369,2.87,1.33,0.63
,-9.311,-0.096,-3.29,-9.316,-0.05,-3.305,2.87,1.47,0.56
,-9.316,-0.053,-3.36,-9.366,-0.002,-3.4,2.94,1.54,0.63
604.0,-9.313,-0.043,-3.355,-9.318,-0.014,-3.372,2.59,1.61,0.7
,-9.325,-0.014,-3.345,-9.325,-0.05,-3.362,2.66,1.54,0.7
,-9.335,-0.048,-3.391,-9.361,-0.017,-3.367,2.8,1.54,0.7
,-9.342,0.007,-3.379,-9.316,-0.062,-3.396,2.87,1.47,0.63
680.0,-9.311,-0.045,-3.405,-9.342,-0.057,-3.424,2.52,1.4,0.56
,-9.313,-0.024,-3.388,-9.349,-0.014,-3.396,2.59,1.33,0.49
,-9.368,-0.065,-3.381,-9.344,-0.029,-3.374,2.66,1.26,0.56
,-9.368,-0.045,-3.393,-9.337,-0.045,-3.321,2.73,1.26,0.7
756.0,-9.316,-0.06,-3.295,-9.342,-0.079,-3.376,2.73,1.33,0.7
,-9.349,-0.029,-3.333,-9.325,-0.014,-3.34,2.87,1.47,0.77
,-9.337,-0.038,-3.324,-9.325,-0.041,-3.35,2.73,1.4,0.7
,-9.351,-0.014,-3.345,-9.308,-0.036,-3.355,2.66,1.47,0.7
832.0,-9.337,-0.026,-3.384,-9.296,-0.103,-3.417,2.52,1.54,0.63
,-9.32,-0.065,-3.405,-9.347,-0.091,-3.422,2.38,1.4,0.63
,-9.349,-0.043,-3.374,-9.296,-0.022,-3.429,2.24,1.33,0.63
,-9.306,-0.045,-3.429,-9.349,-0.019,-3.417,2.24,1.26,0.63
908.0,-9.32,-0.05,-3.396,-9.375,-0.074,-3.288,2.52,1.05,0.63
,-9.299,-0.029,-3.386,-9.363,-0.062,-3.317,2.59,0.91,0.7
,-9.306,-0.079,-3.372,-9.361,-0.093,-3.214,2.66,0.77,0.77
,-9.328,-0.081,-3.352,-9.332,-0.041,-3.293,2.73,0.84,0.84
983.0,-9.354,-0.055,-3.343,-9.332,0.01,-3.403,2.73,1.19,0.91
,-9.306,-0.086,-3.319,-9.28,-0.014,-3.372,2.66,1.19,0.91
,-9.366,-0.079,-3.35,-9.335,-0.007,-3.388,2.94,1.4,0.98
,-9.347,-0.031,-3.348,-9.313,-0.084,-3.326,3.15,1.33,0.98
1059.0,-9.351,-0.065,-3.338,-9.361,-0.065,-3.338,2.66,1.19,0.91
,-9.316,-0.065,-3.319,-9.354,-0.05,-3.355,2.66,1.19,1.05
,-9.328,-0.034,-3.297,-9.356,-0.029,-3.379,2.52,1.26,0.91
,-9.335,-0.06,-3.34,-9.301,-0.014,-3.388,2.52,1.33,0.91
1135.0,-9.289,-0.038,-3.415,-9.38,-0.029,-3.326,2.59,1.26,0.91
,-9.28,-0.012,-3.417,-9.332,-0.017,-3.317,2.52,1.12,0.91
,-9.296,-0.038,-3.379,-9.373,-0.081,-3.34,2.59,1.26,0.84
,-9.342,-0.034,-3.364,-9.323,-0.129,-3.331,2.87,1.12,0.84
1211.0,-9.363,-0.045,-3.384,-9.354,-0.029,-3.305,2.8,1.12,0.84
,-9.347,0.0,-3.336,-9.373,-0.05,-3.338,2.94,1.05,0.84
,-9.301,-0.048,-3.35,-9.304,-0.069,-3.352,2.73,1.12,0.84
,-9.342,0.0,-3.319,-9.33,-0.031,-3.374,2.59,1.33,0.84
1286.0,-9.284,-0.038,-3.329,-9.378,-0.024,-3.348,2.66,1.12,0.91
,-9.313,-0.041,-3.34,-9.354,-0.043,-3.319,2.59,1.33,0.98
,-9.301,-0.048,-3.362,-9.33,-0.031,-3.345,2.52,1.47,0.98
,-9.354,-0.012,-3.317,-9.344,-0.031,-3.376,2.59,1.54,1.05
1362.0,-9.332,-0.053,-3.403,-9.368,-0.062,-3.343,2.59,1.47,0.91
,-9.347,-0.01,-3.422,-9.361,-0.034,-3.352,2.52,1.33,0.77
,-9.356,-0.017,-3.417,-9.294,-0.057,-3.345,2.45,1.12,0.77
,-9.318,0.01,-3.364,-9.328,0.007,-3.333,2.38,1.05,0.77
1437.0,-9.313,-0.043,-3.36,-9.27,-0.007,-3.362,2.73,1.05,0.63
,-9.354,-0.043,-3.372,-9.318,-0.022,-3.331,2.8,0.98,0.56
,-9.351,-0.057,-3.345,-9.318,-0.036,-3.319,2.59,0.91,0.63
,-9.304,-0.055,-3.475,-9.28,-0.007,-3.278,2.8,0.98,0.42
1513.0,-9.344,-0.048,-3.288,-9.371,-0.11,-3.297,2.73,1.12,0.56
,-9.361,-0.077,-3.276,-9.335,-0.096,-3.257,2.8,1.05,0.56
,-9.363,-0.089,-3.23,-9.387,-0.045,-3.29,2.73,0.98,0.63
,-9.371,-0.055,-3.29,-9.385,-0.062,-3.336,2.87,1.19,0.7
1589.0,-9.344,-0.014,-3.309,-9.306,-0.041,-3.372,2.24,1.47,0.91
,-9.325,-0.024,-3.355,-9.299,-0.029,-3.422,2.45,1.47,0.84
,-9.287,-0.012,-3.396,-9.313,-0.034,-3.357,2.59,1.33,0.77
,-9.332,0.007,-3.374,-9.354,-0.005,-3.381,2.59,1.47,0.77
1665.0,-9.325,-0.057,-3.381,-9.366,-0.062,-3.245,2.87,1.19,0.77
,-9.349,-0.036,-3.324,-9.392,-0.038,-3.252,2.94,1.05,0.7
,-9.366,-0.089,-3.326,-9.395,-0.081,-3.223,2.94,0.98,0.77
,-9.328,-0.081,-3.259,-9.299,-0.062,-3.259,3.15,1.12,0.7
1741.0,-9.38,-0.024,-3.281,-9.349,-0.007,-3.338,2.8,1.4,0.63
,-9.32,-0.045,-3.269,-9.351,-0.031,-3.331,2.8,1.4,0.63
,-9.383,-0.034,-3.257,-9.306,-0.038,-3.374,2.52,1.33,0.7
,-9.344,-0.069,-3.317,-9.354,-0.081,-3.379,2.45,1.54,0.63
1816.0,-9.323,-0.031,-3.379,-9.347,-0.053,-3.331,2.8,1.4,0.56
,-9.318,-0.022,-3.386,-9.349,-0.024,-3.314,2.94,1.4,0.63
,-9.332,-0.038,-3.36,-9.354,-0.024,-3.3,2.87,1.4,0.63
,-9.378,-0.043,-3.336,-9.368,-0.053,-3.293,2.8,1.4,0.63
1892.0,-9.392,-0.091,-3.355,-9.347,0.019,-3.285,2.66,1.47,0.7
,-9.378,-0.081,-3.355,-9.294,-0.029,-3.333,3.01,1.54,0.77
,-9.368,-0.034,-3.345,-9.316,-0.062,-3.345,2.87,1.54,0.77
,-9.347,-0.072,-3.379,-9.323,-0.055,-3.295,2.8,1.4,0.7
1968.0,-9.351,-0.067,-3.293,-9.361,-0.026,-3.329,3.08,1.61,0.91
,-9.306,-0.034,-3.343,-9.351,-0.065,-3.381,2.94,1.61,0.91
,-9.316,-0.029,-3.319,-9.335,-0.041,-3.302,2.87,1.47,0.91
,-9.378,-0.081,-3.331,-9.354,-0.081,-3.326,2.87,1.47,0.77
2044.0,-9.375,-0.06,-3.3,-9.363,-0.041,-3.343,2.87,1.54,0.84
,-9.342,-0.072,-3.288,-9.332,-0.086,-3.297,3.01,1.54,0.98
,-9.351,-0.038,-3.317,-9.316,-0.053,-3.345,3.01,1.47,0.98
,-9.363,-0.057,-3.271,-9.347,-0.026,-3.367,2.87,1.68,0.98
2119.0,-9.323,-0.072,-3.348,-9.316,-0.038,-3.326,2.59,1.33,0.84
,-9.323,-0.034,-3.367,-9.342,-0.031,-3.305,2.59,1.4,0.84
,-9.335,-0.045,-3.35,-9.356,-0.014,-3.305,2.59,1.33,0.77
,-9.363,-0.05,-3.374,-9.34,-0.055,-3.295,2.59,1.26,0.77
2195.0,-9.356,-0.081,-3.273,-9.371,-0.026,-3.381,2.59,1.05,0.63
,-9.354,-0.036,-3.314,-9.306,-0.007,-3.408,2.59,1.33,0.63
,-9.354,-0.069,-3.35,-9.332,-0.062,-3.35,2.38,1.33,0.63
,-9.347,-0.024,-3.36,-9.313,-0.026,-3.357,2.45,1.26,0.49
2270.0,-9.318,-0.05,-3.369,-9.351,-0.086,-3.314,2.66,0.84,0.49
,-9.34,-0.026,-3.293,-9.38,-0.057,-3.278,2.66,1.05,0.56
,-9.361,-0.031,-3.305,-9.356,-0.067,-3.283,2.59,1.12,0.56
,-9.306,-0.055,-3.283,-9.378,-0.115,-3.269,2.59,1.05,0.49
2346.0,-9.361,-0.086,-3.259,-9.318,-0.101,-3.293,2.94,1.54,0.91
,-9.361,-0.089,-3.24,-9.356,-0.005,-3.278,2.94,1.54,0.84
,-9.395,-0.081,-3.264,-9.349,0.002,-3.343,2.73,1.61,0.91
,-9.366,-0.101,-3.288,-9.32,-0.065,-3.321,2.59,1.68,0.91
2422.0,-9.318,-0.06,-3.364,-9.313,-0.038,-3.348,2.31,1.47,0.77
,-9.335,-0.055,-3.34,-9.344,-0.055,-3.369,2.66,1.54,0.91
,-9.34,-0.017,-3.348,-9.33,-0.067,-3.393,2.8,1.47,0.91
,-9.296,-0.038,-3.357,-9.344,-0.072,-3.386,2.94,1.4,0.84
2498.0,-9.347,-0.01,-3.381,-9.349,-0.017,-3.3,2.73,1.12,0.7
,-9.301,-0.057,-3.376,-9.337,-0.084,-3.302,2.59,1.05,0.56
,-9.366,-0.067,-3.29,-9.32,-0.12,-3.283,2.66,1.26,0.63
,-9.344,-0.079,-3.3,-9.356,-0.081,-3.324,2.8,1.12,0.77
2573.0,-9.368,-0.074,-3.3,-9.323,-0.086,-3.319,2.59,1.4,0.84
,-9.34,-0.043,-3.245,-9.313,-0.057,-3.309,2.59,1.61,0.91
,-9.344,-0.057,-3.271,-9.361,-0.041,-3.324,2.52,1.54,0.91
,-9.34,-0.081,-3.309,-9.325,-0.036,-3.276,2.66,1.54,0.84
2649.0,-9.287,-0.038,-3.307,-9.344,-0.117,-3.278,2.8,1.47,0.84
,-9.361,-0.048,-3.34,-9.344,-0.093,-3.281,2.87,1.61,0.91
,-9.342,-0.012,-3.364,-9.289,-0.079,-3.314,2.8,1.33,0.84
,-9.34,-0.019,-3.19,-9.344,-0.038,-3.293,2.73,1.19,0.84
