Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.182,-0.318,-3.788,-9.117,-0.366,-3.86,3.08,1.19,0.63
,-9.184,-0.34,-3.798,-9.086,-0.361,-3.855,2.73,1.19,0.63
,-9.158,-0.371,-3.778,-9.162,-0.342,-3.86,2.38,1.26,0.56
,-9.117,-0.361,-3.798,-9.124,-0.34,-3.862,2.45,1.33,0.63
76.0,-9.124,-0.313,-3.869,-9.107,-0.299,-3.824,2.59,1.47,0.77
,-9.115,-0.304,-3.881,-9.158,-0.302,-3.92,2.73,1.47,0.7
,-9.083,-0.29,-3.898,-9.129,-0.323,-3.853,2.8,1.26,0.63
,-9.124,-0.361,-3.888,-9.093,-0.378,-3.824,2.8,1.33,0.77
152.0,-9.131,-0.39,-3.853,-9.146,-0.297,-3.814,2.66,1.4,0.77
,-9.129,-0.323,-3.793,-9.107,-0.313,-3.833,2.59,1.68,0.91
,-9.136,-0.366,-3.807,-9.139,-0.369,-3.845,2.31,1.68,0.84
,-9.186,-0.333,-3.826,-9.134,-0.304,-3.92,2.31,1.61,0.7
227.0,-9.069,-0.345,-3.9,-9.131,-0.287,-3.893,2.31,1.68,0.7
,-9.083,-0.318,-3.924,-9.165,-0.304,-3.9,2.38,1.75,0.7
,-9.119,-0.376,-3.872,-9.098,-0.383,-3.891,2.38,1.68,0.77
,-9.131,-0.378,-3.874,-9.136,-0.316,-3.881,2.45,1.61,0.77
302.0,-9.095,-0.373,-3.888,-9.105,-0.311,-3.848,2.66,1.4,0.84
,-9.129,-0.349,-3.877,-9.162,-0.325,-3.829,2.52,1.33,0.84
,-9.131,-0.316,-3.841,-9.158,-0.328,-3.829,2.45,1.26,0.91
,-9.091,-0.34,-3.867,-9.117,-0.299,-3.802,2.17,1.4,0.77
378.0,-9.16,-0.285,-3.838,-9.146,-0.345,-3.884,2.66,1.61,0.98
,-9.119,-0.337,-3.888,-9.112,-0.349,-3.831,2.73,1.75,0.98
,-9.088,-0.354,-3.857,-9.122,-0.28,-3.848,2.87,1.61,0.98
,-9.105,-0.309,-3.896,-9.148,-0.302,-3.898,3.01,1.47,0.91
453.0,-9.143,-0.292,-3.9,-9.091,-0.299,-3.955,2.24,1.54,0.84
,-9.127,-0.34,-3.984,-9.072,-0.287,-3.896,2.17,1.47,0.77
,-9.129,-0.309,-3.915,-9.127,-0.325,-3.821,2.52,1.26,0.84
,-9.115,-0.287,-3.944,-9.122,-0.304,-3.821,2.59,1.19,0.91
529.0,-9.162,-0.282,-3.793,-9.158,-0.323,-3.798,2.45,1.33,0.63
,-9.198,-0.299,-3.752,-9.117,-0.359,-3.75,2.03,1.33,0.56
,-9.158,-0.337,-3.747,-9.124,-0.359,-3.776,1.89,1.54,0.56
,-9.16,-0.33,-3.731,-9.136,-0.342,-3.833,2.1,1.75,0.63
605.0,-9.122,-0.292,-3.759,-9.021,-0.488,-3.778,2.31,2.1,0.77
,-9.093,-0.287,-3.948,-9.105,-0.414,-3.872,1.26,2.1,0.42
,-9.127,-0.335,-3.884,-9.136,-0.285,-3.939,1.26,2.03,0.56
,-9.162,-0.29,-3.786,-9.112,-0.244,-3.97,1.54,2.17,0.84
681.0,-9.093,-0.28,-3.881,-9.081,-0.266,-3.999,2.52,1.75,0.98
,-9.167,-0.328,-3.884,-9.081,-0.251,-3.917,2.03,1.75,0.91
,-9.074,-0.361,-3.886,-9.124,-0.27,-3.869,2.1,1.82,0.84
,-9.143,-0.371,-3.857,-9.124,-0.323,-3.754,2.38,1.82,0.84
757.0,-9.115,-0.438,-3.776,-9.105,-0.256,-3.984,0.7,1.82,0.7
,-9.086,-0.395,-3.838,-9.11,-0.313,-3.877,1.54,1.68,0.84
,-9.1,-0.366,-3.989,-9.143,-0.349,-3.848,2.66,1.54,0.98
,-9.115,-0.242,-4.015,-9.148,-0.366,-3.855,3.22,1.61,0.91
832.0,-9.131,-0.325,-3.85,-9.127,-0.268,-3.85,2.31,1.47,0.7
,-9.124,-0.354,-3.915,-9.194,-0.203,-4.283,2.24,1.26,0.77
,-9.091,-0.376,-3.869,-9.105,-0.17,-4.056,2.31,1.26,0.84
,-9.031,-0.302,-3.888,-9.091,-0.23,-3.908,2.59,1.33,0.91
908.0,-9.155,-0.292,-3.843,-9.086,-0.316,-3.924,1.4,1.61,0.7
,-9.115,-0.4,-3.814,-9.083,-0.333,-3.944,1.75,1.61,0.77
,-9.127,-0.306,-3.812,-9.119,-0.354,-3.951,2.45,1.4,0.84
,-9.15,-0.213,-3.965,-9.076,-0.34,-3.972,2.1,1.33,0.63
984.0,-9.1,-0.309,-3.984,-9.131,-0.227,-3.944,2.8,1.12,0.7
,-9.069,-0.29,-3.955,-9.131,-0.304,-3.881,3.01,1.05,0.84
,-9.122,-0.275,-3.912,-9.088,-0.34,-3.86,2.94,0.98,0.91
,-9.122,-0.258,-3.934,-9.069,-0.304,-3.869,2.73,0.98,0.77
1060.0,-9.105,-0.311,-3.905,-9.107,-0.309,-3.932,2.94,0.91,0.63
,-9.15,-0.273,-3.798,-9.1,-0.323,-3.936,2.87,0.7,0.7
,-9.067,-0.373,-3.867,-9.107,-0.333,-3.867,2.52,0.77,0.63
,-9.083,-0.337,-3.869,-9.117,-0.285,-3.874,2.66,0.49,0.63
1135.0,-9.15,-0.294,-3.869,-9.134,-0.39,-3.817,3.36,0.56,0.63
,-9.105,-0.285,-3.867,-9.091,-0.275,-3.795,3.15,0.56,0.49
,-9.124,-0.345,-3.881,-9.148,-0.395,-3.898,2.66,0.56,0.42
,-9.088,-0.378,-3.826,-9.076,-0.309,-3.802,3.01,0.63,0.49
1211.0,-9.153,-0.251,-3.843,-9.146,-0.292,-3.814,2.52,0.91,0.49
,-9.107,-0.294,-3.814,-9.198,-0.392,-3.869,2.31,0.98,0.49
,-9.141,-0.383,-3.774,-9.131,-0.309,-3.96,2.73,0.84,0.42
,-9.155,-0.349,-3.831,-9.11,-0.23,-3.896,2.59,0.63,0.42
1286.0,-9.16,-0.29,-3.692,-9.036,-0.337,-3.944,3.01,0.63,0.28
,-9.074,-0.431,-3.769,-9.098,-0.359,-3.951,2.52,0.49,0.14
,-9.143,-0.345,-3.891,-9.129,-0.263,-3.891,2.94,0.49,0.14
,-9.148,-0.309,-3.979,-9.124,-0.39,-3.845,3.64,0.49,0.14
1362.0,-9.064,-0.318,-3.783,-9.146,-0.347,-3.709,3.5,0.21,0.07
,-9.17,-0.366,-3.685,-9.115,-0.402,-3.805,3.15,0.35,-0.07
,-9.141,-0.431,-3.609,-9.093,-0.347,-3.774,2.66,0.35,-0.07
,-9.208,-0.426,-3.79,-9.15,-0.357,-3.879,2.8,0.49,-0.14
1438.0,-9.158,-0.342,-3.85,-9.088,-0.397,-3.719,3.29,0.7,0.14
,-9.076,-0.424,-3.783,-9.095,-0.369,-3.642,3.29,0.63,0.28
,-9.072,-0.469,-3.733,-9.103,-0.376,-3.604,3.57,0.84,0.28
,-9.091,-0.428,-3.659,-9.11,-0.455,-3.563,3.78,0.98,0.21
1514.0,-9.136,-0.443,-3.506,-9.22,-0.44,-3.295,4.06,2.31,0.56
,-9.179,-0.44,-3.408,-9.182,-0.44,-3.491,4.2,2.73,0.63
,-9.184,-0.44,-3.309,-9.067,-0.491,-3.522,3.92,3.43,0.63
,-9.263,-0.447,-3.259,-9.062,-0.562,-3.458,3.71,4.2,0.7
1589.0,-9.081,-0.668,-3.379,-9.409,-0.182,-3.637,3.43,7.28,1.4
,-9.088,-0.672,-3.199,-9.28,-0.172,-3.867,4.27,8.05,1.75
,-9.117,-0.555,-3.123,-9.005,-0.333,-3.934,5.04,8.89,1.96
,-9.287,-0.337,-3.331,-8.906,-0.61,-3.891,4.97,9.52,1.75
1665.0,-8.959,-0.799,-3.685,-9.021,0.019,-4.29,0.21,10.57,3.01
,-9.122,-0.639,-3.589,-9.002,-0.146,-4.42,3.5,11.2,3.5
,-9.304,-0.285,-3.975,-9.038,-0.452,-4.623,4.55,10.78,2.66
,-9.222,0.0,-4.293,-8.882,-0.579,-4.42,2.38,10.15,1.54
1741.0,-8.827,-0.443,-4.247,-9.296,-0.158,-3.532,-5.04,7.56,-0.28
,-8.727,-0.297,-3.922,-9.265,0.043,-3.831,-4.06,7.77,0.28
,-8.837,-0.328,-3.324,-9.15,0.218,-4.623,-3.57,9.03,1.4
,-9.332,-0.254,-3.676,-8.842,-0.136,-4.611,-3.29,9.52,1.47
1817.0,-8.579,-0.424,-4.743,-8.973,-0.225,-4.336,-11.83,7.49,1.19
,-8.536,-0.663,-4.551,-8.918,-0.05,-4.219,-10.22,7.63,1.61
,-8.753,-0.699,-4.149,-9.005,0.002,-4.154,-6.51,8.26,2.1
,-8.983,-0.467,-4.369,-9.014,-0.062,-4.472,-2.87,8.26,2.24
1893.0,-8.957,-0.337,-4.212,-8.727,-0.931,-4.369,-10.64,6.44,2.1
,-9.002,-0.491,-4.302,-8.887,-0.967,-4.058,-10.57,6.51,2.31
,-8.842,-0.617,-4.245,-9.012,-0.754,-3.819,-10.43,6.3,2.03
,-8.746,-0.782,-4.389,-8.959,-0.598,-3.845,-8.89,6.37,2.45
1968.0,-9.076,-0.237,-3.609,-8.789,-0.081,-5.054,11.48,9.66,8.82
,-9.091,0.148,-4.054,-8.538,-0.761,-4.97,11.76,9.17,8.68
,-9.014,0.436,-4.427,-8.603,-1.168,-4.822,9.38,7.98,8.05
,-8.918,0.476,-4.972,-8.646,-1.211,-4.652,4.97,6.79,7.63
2044.0,-8.705,-0.84,-4.202,-9.234,0.833,-4.597,10.78,5.95,8.47
,-8.854,-0.246,-3.857,-9.177,1.204,-5.288,14.84,6.58,8.75
,-8.904,0.175,-4.003,-8.952,1.354,-5.171,15.68,6.51,8.4
,-8.988,0.471,-4.233,-8.703,1.082,-5.365,14.07,5.88,8.05
2119.0,-8.509,0.646,-4.98,-8.818,-0.16,-4.051,-3.36,1.33,1.05
,-8.698,0.263,-4.826,-8.935,-0.663,-3.939,-2.45,1.75,0.35
,-8.847,0.06,-4.391,-8.928,-0.888,-4.037,0.21,2.1,-0.07
,-8.902,0.022,-4.128,-8.823,-1.07,-3.915,3.78,2.59,0.14
2195.0,-8.835,-0.821,-3.86,-8.825,0.732,-4.542,11.83,6.72,5.74
,-8.83,-0.28,-4.089,-8.636,0.61,-4.113,16.1,6.02,5.88
,-8.847,0.191,-4.235,-8.54,0.297,-3.879,16.73,5.18,5.46
,-8.971,0.603,-4.47,-8.677,-0.141,-3.446,15.54,4.83,4.62
2271.0,-9.215,-0.268,-3.149,-8.488,1.029,-3.661,8.05,12.11,1.19
,-9.39,-0.163,-3.302,-8.775,1.299,-3.951,9.87,11.69,0.49
,-9.009,0.215,-3.403,-9.024,1.383,-4.216,10.78,12.46,0.35
,-8.72,0.718,-3.666,-9.124,1.388,-4.594,11.83,14.21,0.56
2347.0,-8.849,1.067,-4.441,-8.782,-1.807,-3.999,4.13,16.1,-5.67
,-8.244,0.409,-4.202,-9.129,-1.981,-4.075,0.56,18.2,-6.86
,-8.064,-0.366,-4.192,-9.167,-1.845,-4.482,-0.84,19.6,-6.65
,-8.325,-1.098,-4.243,-8.801,-1.457,-4.762,0.56,19.6,-5.25
2422.0,-8.351,-0.893,-5.229,-8.624,-0.436,-5.269,16.45,20.02,3.71
,-7.916,-0.39,-5.446,-8.753,-0.371,-5.403,15.54,20.02,3.78
,-7.889,-0.297,-5.52,-8.588,-0.605,-5.434,13.02,21.07,3.5
,-8.191,-0.328,-5.37,-8.44,-0.993,-5.489,10.71,21.63,2.87
2498.0,-8.497,-1.405,-5.463,-8.445,-0.024,-5.688,7.07,18.76,6.93
,-8.495,-1.524,-5.487,-8.167,0.44,-5.872,11.62,18.2,8.47
,-8.437,-1.417,-5.52,-8.021,0.641,-5.884,17.43,17.64,9.59
,-8.394,-0.794,-5.523,-8.129,0.677,-5.762,23.24,16.52,10.43
2574.0,-8.449,0.495,-5.619,-8.425,0.213,-5.568,9.45,11.83,5.53
,-8.524,0.601,-5.712,-8.291,-0.134,-5.659,7.63,10.92,4.06
,-8.631,0.682,-5.858,-8.382,-0.555,-5.607,6.58,10.01,2.66
,-8.559,0.481,-5.745,-8.406,-0.632,-5.614,5.6,9.38,1.89
2650.0,-8.318,-0.615,-5.664,-8.363,-0.175,-5.453,13.86,6.58,1.47
,-8.323,-0.586,-5.494,-8.421,-0.184,-5.439,16.45,5.67,1.19
,-8.066,-0.39,-5.511,-8.497,-0.194,-5.346,18.48,5.39,0.98
,-8.112,-0.244,-5.487,-8.497,-0.376,-5.348,18.9,5.6,1.19
2725.0,-8.361,-0.459,-5.305,-8.055,-0.057,-5.626,12.67,8.47,3.08
,-8.275,-0.641,-5.274,-8.39,0.27,-5.583,11.27,8.68,3.85
,-8.217,-0.584,-5.449,-8.48,0.115,-5.231,12.18,8.47,3.99
,-7.894,-0.426,-5.482,-8.497,0.543,-5.363,13.79,8.61,3.36
2801.0,-8.689,0.567,-5.008,-8.299,0.436,-5.875,13.02,8.96,0.0
,-8.454,0.897,-5.391,-8.169,-0.318,-5.76,11.06,6.79,-1.96
,-8.055,0.852,-5.647,-8.059,-0.337,-5.748,11.06,6.3,-4.62
,-8.227,0.704,-5.808,-7.976,-0.72,-5.882,10.99,7.0,-6.58
2877.0,-8.39,-1.307,-5.908,-8.258,-1.563,-5.865,14.14,3.85,-6.09
,-8.495,-1.397,-5.863,-8.514,-1.45,-5.989,16.38,2.24,-5.32
,-8.291,-1.048,-6.214,-8.291,-1.326,-6.138,17.92,2.24,-4.41
,-8.16,-1.551,-5.822,-8.057,-1.658,-6.111,17.43,2.52,-3.43
2953.0,-7.865,-1.675,-6.023,-8.325,-1.826,-5.762,17.85,-1.82,0.42
,-7.633,-1.783,-6.001,-8.715,-1.249,-5.836,18.27,-2.52,2.52
,-7.559,-1.907,-5.887,-8.614,-0.792,-5.999,18.06,-2.31,5.39
,-7.889,-1.95,-5.908,-8.66,-0.694,-5.784,18.55,-2.38,7.7
3029.0,-8.102,-0.313,-5.566,-8.6,0.591,-5.769,21.98,-4.2,11.97
,-7.751,-0.041,-5.489,-8.612,0.038,-5.497,19.88,-4.2,10.71
,-7.935,0.309,-5.482,-8.392,-0.39,-5.252,17.15,-3.43,8.96
,-8.411,0.579,-5.631,-8.193,-0.639,-5.267,13.86,-4.41,7.0
3104.0,-8.057,-0.775,-5.444,-8.354,-0.345,-5.724,5.11,-1.47,4.34
,-8.11,-0.787,-5.501,-8.232,-0.292,-5.8,6.44,0.0,3.92
,-8.354,-0.701,-5.477,-8.191,-0.127,-5.946,7.56,1.12,3.57
,-8.531,-0.524,-5.552,-8.37,-0.108,-5.987,8.12,1.47,3.36
3180.0,-8.411,-0.514,-5.812,-7.978,-0.782,-5.41,0.91,5.18,0.0
,-8.131,-0.861,-5.506,-8.272,-0.792,-5.523,-0.21,6.16,-0.21
,-8.095,-1.019,-5.382,-8.404,-0.675,-5.712,0.07,6.93,-0.42
,-8.016,-0.759,-5.351,-8.404,-0.713,-5.731,0.07,7.21,-0.49
