session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H1_squat_slow_20251205_013454,1,101,0.971,8.25,0,194,1.865
H1_squat_slow_20251205_013454,2,287,2.76,12.79,194,355,1.548
H1_squat_slow_20251205_013454,3,424,4.077,14.05,355,508,1.471
H1_squat_slow_20251205_013454,4,592,5.692,19.27,508,676,1.615
H1_squat_slow_20251205_013454,5,760,7.308,19.4,676,860,1.769
H1_squat_slow_20251205_013454,6,960,9.231,22.3,860,1038,1.712
H1_squat_slow_20251205_013454,7,1117,10.74,21.08,1038,1214,1.692
H1_squat_slow_20251205_013454,8,1312,12.615,22.97,1214,1393,1.721
H1_squat_slow_20251205_013454,9,1474,14.173,24.49,1393,1571,1.712
H1_squat_slow_20251205_013454,10,1668,16.038,25.4,1571,1749,1.712
H1_squat_slow_20251205_013454,11,1831,17.606,22.0,1749,2035,2.75
H1_squat_slow_20251205_013454,12,2239,21.529,22.0,2035,2417,3.673
H1_squat_slow_20251205_013454,13,2595,24.952,17.4,2417,2677,2.5
H1_squat_slow_20251205_013454,14,2760,26.538,15.22,2677,2858,1.74
H1_squat_slow_20251205_013454,15,2957,28.433,11.21,2858,3078,2.115
H1_squat_slow_20251205_013454,16,3200,30.769,11.95,3078,3276,1.904
H1_squat_slow_20251205_013454,17,3353,32.24,5.43,3276,3458,1.75
H1_squat_slow_20251205_013454,18,3564,34.269,5.87,3458,3639,1.74
