session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H1_walk_20251205_050754,1,169,1.625,6.25,0,210,2.019
H1_walk_20251205_050754,2,252,2.423,6.44,210,292,0.788
H1_walk_20251205_050754,3,332,3.192,6.11,292,373,0.779
H1_walk_20251205_050754,4,414,3.981,6.95,373,515,1.365
H1_walk_20251205_050754,5,616,5.923,6.36,515,659,1.385
H1_walk_20251205_050754,6,703,6.76,6.23,659,748,0.856
H1_walk_20251205_050754,7,794,7.635,6.4,748,950,1.942
H1_walk_20251205_050754,8,1107,10.644,6.19,950,1173,2.144
H1_walk_20251205_050754,9,1239,11.913,4.35,1173,1279,1.019
H1_walk_20251205_050754,10,1320,12.692,3.02,1279,1390,1.067
H1_walk_20251205_050754,11,1461,14.048,1.5,1390,1536,1.404
H1_walk_20251205_050754,12,1612,15.5,2.74,1536,1669,1.279
H1_walk_20251205_050754,13,1727,16.606,4.46,1669,1774,1.01
H1_walk_20251205_050754,14,1821,17.51,4.98,1774,1915,1.356
H1_walk_20251205_050754,15,2010,19.327,2.92,1915,2056,1.356
H1_walk_20251205_050754,16,2103,20.221,1.79,2056,2145,0.856
H1_walk_20251205_050754,17,2187,21.029,2.02,2145,2323,1.712
H1_walk_20251205_050754,18,2460,23.654,1.65,2323,2501,1.712
H1_walk_20251205_050754,19,2542,24.442,1.63,2501,2588,0.837
H1_walk_20251205_050754,20,2634,25.327,2.73,2588,2678,0.865
H1_walk_20251205_050754,21,2722,26.173,3.51,2678,2821,1.375
H1_walk_20251205_050754,22,2921,28.087,5.69,2821,2969,1.423
H1_walk_20251205_050754,23,3018,29.019,6.37,2969,3060,0.875
H1_walk_20251205_050754,24,3103,29.837,6.76,3060,3145,0.817
H1_walk_20251205_050754,25,3188,30.654,6.61,3145,3289,1.385
H1_walk_20251205_050754,26,3391,32.606,7.96,3289,3434,1.394
H1_walk_20251205_050754,27,3477,33.433,7.85,3434,3521,0.837
H1_walk_20251205_050754,28,3565,34.279,8.18,3521,3639,1.135
