session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H2_lateral_point_steps_20251205_023615,1,100,0.962,6.39,0,142,1.365
H2_lateral_point_steps_20251205_023615,2,184,1.769,8.42,142,265,1.183
H2_lateral_point_steps_20251205_023615,3,346,3.327,11.3,265,395,1.25
H2_lateral_point_steps_20251205_023615,4,444,4.269,12.44,395,525,1.25
H2_lateral_point_steps_20251205_023615,5,607,5.837,13.4,525,657,1.269
H2_lateral_point_steps_20251205_023615,6,707,6.798,14.27,657,849,1.846
H2_lateral_point_steps_20251205_023615,7,991,9.529,14.02,849,1085,2.269
H2_lateral_point_steps_20251205_023615,8,1179,11.337,14.1,1085,1319,2.25
H2_lateral_point_steps_20251205_023615,9,1459,14.029,14.12,1319,1501,1.75
H2_lateral_point_steps_20251205_023615,10,1544,14.846,12.63,1501,1631,1.25
H2_lateral_point_steps_20251205_023615,11,1719,16.529,11.33,1631,1780,1.433
H2_lateral_point_steps_20251205_023615,12,1842,17.712,10.24,1780,1923,1.375
H2_lateral_point_steps_20251205_023615,13,2004,19.269,10.05,1923,2066,1.375
H2_lateral_point_steps_20251205_023615,14,2129,20.471,10.73,2066,2222,1.5
H2_lateral_point_steps_20251205_023615,15,2315,22.26,8.85,2222,2435,2.048
H2_lateral_point_steps_20251205_023615,16,2556,24.577,6.41,2435,2602,1.606
H2_lateral_point_steps_20251205_023615,17,2648,25.462,5.77,2602,2733,1.26
H2_lateral_point_steps_20251205_023615,18,2818,27.096,5.39,2733,2949,2.077
H2_lateral_point_steps_20251205_023615,19,3081,29.625,4.47,2949,3126,1.702
H2_lateral_point_steps_20251205_023615,20,3172,30.5,4.83,3126,3259,1.279
H2_lateral_point_steps_20251205_023615,21,3347,32.183,5.68,3259,3402,1.375
H2_lateral_point_steps_20251205_023615,22,3458,33.25,4.82,3402,3541,1.337
H2_lateral_point_steps_20251205_023615,23,3625,34.856,5.69,3541,3639,0.942
