session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H1_lateral_point_steps_20251205_021623,1,117,1.125,2.53,0,174,1.673
H1_lateral_point_steps_20251205_021623,2,231,2.221,1.34,174,268,0.904
H1_lateral_point_steps_20251205_021623,3,306,2.942,3.32,268,386,1.135
H1_lateral_point_steps_20251205_021623,4,467,4.49,5.78,386,509,1.183
H1_lateral_point_steps_20251205_021623,5,552,5.308,8.06,509,652,1.375
H1_lateral_point_steps_20251205_021623,6,753,7.24,10.86,652,827,1.683
H1_lateral_point_steps_20251205_021623,7,902,8.673,14.35,827,947,1.154
H1_lateral_point_steps_20251205_021623,8,992,9.538,15.18,947,1069,1.173
H1_lateral_point_steps_20251205_021623,9,1147,11.029,16.96,1069,1191,1.173
H1_lateral_point_steps_20251205_021623,10,1236,11.885,17.44,1191,1315,1.192
H1_lateral_point_steps_20251205_021623,11,1395,13.413,19.64,1315,1437,1.173
H1_lateral_point_steps_20251205_021623,12,1480,14.231,19.79,1437,1556,1.144
H1_lateral_point_steps_20251205_021623,13,1632,15.692,20.97,1556,1675,1.144
H1_lateral_point_steps_20251205_021623,14,1718,16.519,20.48,1675,1797,1.173
H1_lateral_point_steps_20251205_021623,15,1876,18.038,21.57,1797,1924,1.221
H1_lateral_point_steps_20251205_021623,16,1972,18.962,21.7,1924,2050,1.212
H1_lateral_point_steps_20251205_021623,17,2128,20.462,20.39,2050,2173,1.183
H1_lateral_point_steps_20251205_021623,18,2219,21.337,19.19,2173,2299,1.212
H1_lateral_point_steps_20251205_021623,19,2379,22.875,17.7,2299,2425,1.212
H1_lateral_point_steps_20251205_021623,20,2472,23.769,16.84,2425,2550,1.202
H1_lateral_point_steps_20251205_021623,21,2628,25.269,14.57,2550,2674,1.192
H1_lateral_point_steps_20251205_021623,22,2721,26.163,13.73,2674,2796,1.173
H1_lateral_point_steps_20251205_021623,23,2872,27.615,11.22,2796,2916,1.154
H1_lateral_point_steps_20251205_021623,24,2960,28.462,10.4,2916,3038,1.173
H1_lateral_point_steps_20251205_021623,25,3116,29.962,8.79,3038,3161,1.183
H1_lateral_point_steps_20251205_021623,26,3206,30.827,8.97,3161,3340,1.721
H1_lateral_point_steps_20251205_021623,27,3474,33.404,8.07,3340,3551,2.029
H1_lateral_point_steps_20251205_021623,28,3629,34.894,8.32,3551,3639,0.846
