session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H2_walk_20251205_051801,1,199,1.913,1.38,0,273,2.625
H2_walk_20251205_051801,2,347,3.337,3.11,273,432,1.529
H2_walk_20251205_051801,3,517,4.971,4.25,432,554,1.173
H2_walk_20251205_051801,4,591,5.683,3.94,554,629,0.721
H2_walk_20251205_051801,5,668,6.423,4.67,629,705,0.731
H2_walk_20251205_051801,6,743,7.144,6.6,705,854,1.433
H2_walk_20251205_051801,7,966,9.288,8.25,854,1021,1.606
H2_walk_20251205_051801,8,1076,10.346,10.31,1021,1208,1.798
H2_walk_20251205_051801,9,1340,12.885,11.6,1208,1380,1.654
H2_walk_20251205_051801,10,1420,13.654,12.21,1380,1460,0.769
H2_walk_20251205_051801,11,1500,14.423,12.68,1460,1595,1.298
H2_walk_20251205_051801,12,1691,16.26,11.82,1595,1733,1.327
H2_walk_20251205_051801,13,1775,17.067,12.32,1733,1811,0.75
H2_walk_20251205_051801,14,1848,17.769,13.04,1811,1948,1.317
H2_walk_20251205_051801,15,2048,19.692,14.16,1948,2086,1.327
H2_walk_20251205_051801,16,2125,20.433,13.91,2086,2168,0.788
H2_walk_20251205_051801,17,2212,21.269,15.42,2168,2351,1.76
H2_walk_20251205_051801,18,2490,23.942,15.96,2351,2531,1.731
H2_walk_20251205_051801,19,2572,24.731,16.21,2531,2635,1.0
H2_walk_20251205_051801,20,2698,25.942,17.19,2635,2769,1.288
H2_walk_20251205_051801,21,2841,27.317,16.47,2769,2881,1.077
H2_walk_20251205_051801,22,2921,28.087,16.43,2881,2962,0.779
H2_walk_20251205_051801,23,3004,28.885,16.33,2962,3044,0.788
H2_walk_20251205_051801,24,3085,29.663,17.29,3044,3180,1.308
H2_walk_20251205_051801,25,3276,31.5,17.41,3180,3318,1.327
H2_walk_20251205_051801,26,3360,32.308,16.55,3318,3398,0.769
H2_walk_20251205_051801,27,3436,33.038,16.3,3398,3477,0.76
H2_walk_20251205_051801,28,3518,33.827,16.9,3477,3639,1.558
