session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H1_lateral_right_left_fast_20251205_021211,1,95,0.913,4.62,0,133,1.279
H1_lateral_right_left_fast_20251205_021211,2,172,1.654,6.38,133,247,1.096
H1_lateral_right_left_fast_20251205_021211,3,323,3.106,8.48,247,377,1.25
H1_lateral_right_left_fast_20251205_021211,4,432,4.154,9.63,377,491,1.096
H1_lateral_right_left_fast_20251205_021211,5,551,5.298,12.36,491,605,1.096
H1_lateral_right_left_fast_20251205_021211,6,659,6.337,14.12,605,745,1.346
H1_lateral_right_left_fast_20251205_021211,7,832,8.0,14.47,745,887,1.365
H1_lateral_right_left_fast_20251205_021211,8,942,9.058,14.64,887,987,0.962
H1_lateral_right_left_fast_20251205_021211,9,1032,9.923,15.42,987,1073,0.827
H1_lateral_right_left_fast_20251205_021211,10,1115,10.721,17.1,1073,1169,0.923
H1_lateral_right_left_fast_20251205_021211,11,1224,11.769,17.76,1169,1264,0.913
H1_lateral_right_left_fast_20251205_021211,12,1305,12.548,18.65,1264,1356,0.885
H1_lateral_right_left_fast_20251205_021211,13,1408,13.538,17.9,1356,1613,2.471
H1_lateral_right_left_fast_20251205_021211,14,1819,17.49,15.88,1613,1994,3.663
H1_lateral_right_left_fast_20251205_021211,15,2170,20.865,15.07,1994,2259,2.548
H1_lateral_right_left_fast_20251205_021211,16,2349,22.587,13.35,2259,2388,1.24
H1_lateral_right_left_fast_20251205_021211,17,2428,23.346,11.92,2388,2527,1.337
H1_lateral_right_left_fast_20251205_021211,18,2627,25.26,10.37,2527,2714,1.798
H1_lateral_right_left_fast_20251205_021211,19,2802,26.942,8.45,2714,2871,1.51
H1_lateral_right_left_fast_20251205_021211,20,2940,28.269,8.2,2871,2998,1.221
H1_lateral_right_left_fast_20251205_021211,21,3056,29.385,8.15,2998,3178,1.731
H1_lateral_right_left_fast_20251205_021211,22,3301,31.74,7.41,3178,3394,2.077
H1_lateral_right_left_fast_20251205_021211,23,3487,33.529,7.18,3394,3545,1.452
H1_lateral_right_left_fast_20251205_021211,24,3603,34.644,8.14,3545,3639,0.904
