session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H1_walk_fast_20251205_051120,1,98,0.942,3.06,0,168,1.615
H1_walk_fast_20251205_051120,2,238,2.288,2.74,168,289,1.163
H1_walk_fast_20251205_051120,3,341,3.279,2.32,289,381,0.885
H1_walk_fast_20251205_051120,4,422,4.058,1.43,381,542,1.548
H1_walk_fast_20251205_051120,5,663,6.375,4.56,542,762,2.115
H1_walk_fast_20251205_051120,6,862,8.288,9.09,762,973,2.029
H1_walk_fast_20251205_051120,7,1084,10.423,11.47,973,1157,1.769
H1_walk_fast_20251205_051120,8,1231,11.837,13.08,1157,1311,1.481
H1_walk_fast_20251205_051120,9,1392,13.385,16.04,1311,1567,2.462
H1_walk_fast_20251205_051120,10,1743,16.76,19.11,1567,1807,2.308
H1_walk_fast_20251205_051120,11,1872,18.0,20.55,1807,2005,1.904
H1_walk_fast_20251205_051120,12,2138,20.558,21.46,2005,2297,2.808
H1_walk_fast_20251205_051120,13,2457,23.625,21.41,2297,2589,2.808
H1_walk_fast_20251205_051120,14,2722,26.173,20.27,2589,2789,1.923
H1_walk_fast_20251205_051120,15,2857,27.471,19.86,2789,3039,2.404
H1_walk_fast_20251205_051120,16,3222,30.981,19.05,3039,3366,3.144
H1_walk_fast_20251205_051120,17,3511,33.76,16.18,3366,3639,2.625
