session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
H1_lateral_point_steps_fast_20251205_022006,51342.0,-9.289,-0.103,-3.549,-9.323,-0.089,-3.443,3.15,1.19,0.56,-0.05765576923076843,-0.09502499999999969,0.7043076923076921,-0.07519615384615384,-0.05837692307692307,-0.1927692307692308,0.08471346153846149,0.1944807692307693,-0.2283076923076922,0.127102399051609,0.22418828107981176,0.21105347593621662,0.20616210713012087,0.0,0.43350233128209104,0.0,-0.4902222550743411
H1_lateral_point_steps_fast_20251205_022006,,-9.313,-0.096,-3.501,-9.273,-0.067,-3.441,3.36,1.12,0.7,-0.08165576923076934,-0.04502499999999898,0.914307692307692,-0.06819615384615385,-0.03637692307692308,-0.26276923076923064,0.13271346153846153,0.19648076923076951,-0.08830769230769231,0.17009186612415553,0.20482974353120492,0.20986875202177696,0.20160345616152803,0.08426777264632854,0.4681136686256844,-0.07100583540587233,-0.5322899292709621
H1_lateral_point_steps_fast_20251205_022006,,-9.27,-0.067,-3.486,-9.311,-0.089,-3.489,3.5,1.05,0.56,-0.0386557692307683,-0.08302499999999924,1.0543076923076922,-0.03919615384615385,-0.05837692307692307,-0.3327692307692307,0.1477134615384612,0.14848076923076947,-0.2283076923076922,0.15763842707546988,0.1798542593443088,0.2053391547300917,0.19955951559319998,0.16109711761695236,0.5017701914800746,-0.15023279279496396,-0.5751503967183529
H1_lateral_point_steps_fast_20251205_022006,,-9.28,-0.081,-3.448,-9.335,-0.096,-3.453,3.22,1.05,0.63,-0.04865576923076809,-0.10702500000000015,0.7743076923076924,-0.05319615384615385,-0.06537692307692308,-0.3327692307692307,0.18571346153846147,0.1844807692307695,-0.15830769230769226,0.1992152214567427,0.22307318734438342,0.20264931105881398,0.20015902106036215,0.23481329597743464,0.5350684108348551,-0.23258182284778767,-0.6183657896440922
H1_lateral_point_steps_fast_20251205_022006,51417.0,-9.323,-0.089,-3.458,-9.32,-0.06,-3.625,2.59,1.12,0.56,-0.09165576923076912,-0.09202499999999958,0.14430769230769203,-0.061196153846153845,-0.02937692307692307,-0.26276923076923064,0.17571346153846124,0.01248076923076935,-0.2283076923076922,0.20741497015566265,0.09740315105302855,0.20132203462522708,0.20908086215470936,0.3263510077043067,0.567926276752054,-0.29436747483655046,-0.6619509937175808
H1_lateral_point_steps_fast_20251205_022006,,-9.306,-0.12,-3.446,-9.234,-0.11,-3.46,2.66,1.05,0.56,-0.07465576923076789,-0.006024999999999281,0.2143076923076923,-0.09219615384615384,-0.07937692307692307,-0.3327692307692307,0.18771346153846125,0.1774807692307694,-0.2283076923076922,0.22205845695720014,0.19451586050732564,0.20294273937437307,0.21218901656268502,0.39476495373913023,0.6011212829057357,-0.38017877479022005,-0.7053229853188134
H1_lateral_point_steps_fast_20251205_022006,,-9.308,-0.127,-3.393,-9.294,-0.101,-3.427,2.66,1.19,0.56,-0.07665576923076856,-0.06602499999999978,0.2143076923076923,-0.09919615384615385,-0.07037692307692309,-0.1927692307692308,0.24071346153846163,0.2104807692307693,-0.2283076923076922,0.271401832086777,0.2315477621199382,0.20749319410416098,0.21088299766792912,0.46122278855113985,0.6352224513796981,-0.4681719866274761,-0.747912428455949
H1_lateral_point_steps_fast_20251205_022006,,-9.277,-0.127,-3.501,-9.311,-0.069,-3.443,2.66,1.33,0.56,-0.04565576923076797,-0.08302499999999924,0.2143076923076923,-0.09919615384615385,-0.03837692307692308,-0.05276923076923068,0.13271346153846153,0.1944807692307693,-0.2283076923076922,0.17186386785896468,0.21491558447549514,0.21046278091182513,0.21048669342417997,0.5063191606320935,0.6696473321363794,-0.5693202853643953,-0.7903038388540327
H1_lateral_point_steps_fast_20251205_022006,51493.0,-9.27,-0.093,-3.431,-9.342,-0.103,-3.446,2.8,1.19,0.35,-0.0386557692307683,-0.11402499999999982,0.354307692307692,-0.06519615384615385,-0.07237692307692306,-0.1927692307692308,0.20271346153846137,0.19148076923076918,-0.4383076923076923,0.21641985689871213,0.23431816959913687,0.20864746804681347,0.2096087482736831,0.5610760646098729,0.7042033945428846,-0.6656115905080677,-0.8326458498132387
H1_lateral_point_steps_fast_20251205_022006,,-9.287,-0.115,-3.384,-9.32,-0.136,-3.424,3.08,1.33,0.56,-0.055655769230769536,-0.09202499999999958,0.6343076923076922,-0.08719615384615385,-0.10537692307692309,-0.05276923076923068,0.24971346153846152,0.21348076923076942,-0.2283076923076922,0.2702915958141346,0.25523897698729464,0.2077132034299627,0.20974327246154723,0.6188322930713703,0.7389479073235865,-0.7596772400314191,-0.8748742675580865
