session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,KneeAngle_fused_deg,KneeAngle_fused_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
H1_lateral_right_left_fast_20251205_021211,34522.0,-9.222,-1.395,-3.522,-9.182,-1.393,-3.532,2.66,1.82,0.63,0.04313461538461638,0.08149615384615316,0.06353846153846199,-0.15643076923076915,-0.15526923076923094,0.4077500000000003,-0.18095961538461536,-0.19353653846153884,-0.15319230769230763,0.2430587645131458,0.2611638352357754,0.2463518247047773,0.25296946280832755,0.0,-0.34692793240759323,0.0,-0.552829194173052
H1_lateral_right_left_fast_20251205_021211,,-9.165,-1.321,-3.53,-9.217,-1.369,-3.501,2.66,1.96,0.7,0.10013461538461677,0.04649615384615302,0.06353846153846199,-0.08243076923076909,-0.13126923076923092,0.5477500000000002,-0.18895961538461536,-0.1625365384615387,-0.08319230769230768,0.22918880679584508,0.21403651465179951,0.2494728419767071,0.2481392639121602,-0.08634576755631984,-0.3736200535257735,-0.0695646695752632,-0.6006450469676625
H1_lateral_right_left_fast_20251205_021211,,-9.208,-1.4,-3.52,-9.196,-1.316,-3.482,2.52,1.82,0.56,0.05713461538461573,0.06749615384615382,-0.07646153846153814,-0.16143076923076904,-0.07826923076923098,0.4077500000000003,-0.17895961538461558,-0.14353653846153902,-0.22319230769230758,0.24769093941481854,0.1768743654200678,0.25089488874349225,0.24773724846160203,-0.12384656957437257,-0.40112439120488735,-0.17278891574922933,-0.6480260645525028
H1_lateral_right_left_fast_20251205_021211,,-9.153,-1.436,-3.479,-9.206,-1.34,-3.477,2.59,1.75,0.56,0.11213461538461544,0.05749615384615403,-0.0064615384615382965,-0.19743076923076908,-0.102269230769231,0.3377500000000002,-0.13795961538461565,-0.13853653846153868,-0.22319230769230758,0.2656801386697544,0.18154111313456306,0.2474257469759971,0.2465519111972329,-0.1792539115405342,-0.42722439278948987,-0.2680388074860012,-0.6960255096318052
H1_lateral_right_left_fast_20251205_021211,34597.0,-9.203,-1.354,-3.463,-9.179,-1.364,-3.546,2.31,1.82,0.42,0.06213461538461651,0.08449615384615328,-0.2864615384615381,-0.11543076923076923,-0.12626923076923102,0.4077500000000003,-0.12195961538461564,-0.20753653846153863,-0.36319230769230765,0.17905060932307573,0.2572060136358476,0.24700579166714498,0.2497101394588902,-0.23270209383841545,-0.4525933793335786,-0.3642385475977276,-0.7444300258948175
H1_lateral_right_left_fast_20251205_021211,,-9.153,-1.424,-3.429,-9.201,-1.417,-3.506,2.31,1.68,0.35,0.11213461538461544,0.062496153846153035,-0.2864615384615381,-0.18543076923076907,-0.17926923076923096,0.26775000000000015,-0.08795961538461539,-0.1675365384615386,-0.43319230769230765,0.23387098170482767,0.2532029187545602,0.24344112323520756,0.2525948998577658,-0.29146249157797594,-0.4782261800527298,-0.45790520278521646,-0.7927443555054526
H1_lateral_right_left_fast_20251205_021211,,-9.16,-1.388,-3.486,-9.191,-1.419,-3.518,2.31,1.82,0.35,0.10513461538461577,0.07249615384615282,-0.2864615384615381,-0.14943076923076903,-0.18126923076923096,0.4077500000000003,-0.14495961538461577,-0.1795365384615386,-0.43319230769230765,0.23322978419881576,0.2652312104351698,0.2418243722714152,0.2552512186464258,-0.3566430131086576,-0.5033097508627844,-0.5472918694557254,-0.8413604208604971
H1_lateral_right_left_fast_20251205_021211,,-9.194,-1.371,-3.486,-9.203,-1.441,-3.587,2.24,1.75,0.35,0.07113461538461507,0.060496153846154144,-0.35646153846153794,-0.13243076923076913,-0.20326923076923098,0.3377500000000002,-0.14495961538461577,-0.248536538461539,-0.43319230769230765,0.20883326420239204,0.3267240054818998,0.24038637472262595,0.25861835550835355,-0.41074637078026066,-0.5285979442413739,-0.6437602915621636,-0.889916414141395
H1_lateral_right_left_fast_20251205_021211,34672.0,-9.201,-1.424,-3.558,-9.179,-1.419,-3.503,2.66,1.68,0.42,0.0641346153846154,0.08449615384615328,0.06353846153846199,-0.18543076923076907,-0.18126923076923096,0.26775000000000015,-0.2169596153846154,-0.16453653846153893,-0.36319230769230765,0.2925222962030202,0.25897954847316995,0.24309409466158544,0.2583916401012005,-0.4484570280303282,-0.55381677908246,-0.7470793928763495,-0.9385328898083691
H1_lateral_right_left_fast_20251205_021211,,-9.15,-1.414,-3.539,-9.158,-1.443,-3.494,2.87,1.75,0.49,0.11513461538461556,0.10549615384615407,0.27353846153846195,-0.17543076923076906,-0.20526923076923098,0.3377500000000002,-0.1979596153846157,-0.15553653846153903,-0.29319230769230764,0.2884786712668506,0.2783100975055002,0.24326894777805144,0.25831337473631816,-0.5109213507895553,-0.5791595145278453,-0.8381437571423072,-0.9871275802883823
