session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt
H2_lateral_right_left_20251205_022543,73049.0,-9.746,1.015,-1.685,-9.734,0.895,-1.553,1.82,2.03,0.56,-1.007790384615383,-0.9832153846153862,-0.057480769230768836,-1.0568923076923078,-1.113173076923077,-0.22534615384615408,2.5129288461538457,2.6582134615384616,-0.545596153846154,2.9064538866485554,3.04499024609851,2.8236159889598325,2.808987624060858
H2_lateral_right_left_20251205_022543,,-9.732,1.108,-1.723,-9.72,0.873,-1.634,1.68,2.24,0.63,-0.9937903846153819,-0.9692153846153868,-0.19748076923076896,-0.9638923076923076,-1.135173076923077,-0.015346153846153676,2.474928846153846,2.5772134615384616,-0.47559615384615406,2.835838589007985,2.9782588206334952,2.818780042397577,2.818145666360502
H2_lateral_right_left_20251205_022543,,-9.701,0.993,-1.594,-9.753,0.916,-1.656,0.84,2.24,0.49,-0.9627903846153831,-1.0022153846153863,-1.0374807692307688,-1.0788923076923078,-1.092173076923077,-0.015346153846153676,2.6039288461538455,2.555213461538462,-0.6155961538461541,2.978492802095981,2.9540469768002597,2.824879435979068,2.838040166628681
H2_lateral_right_left_20251205_022543,,-9.749,0.931,-1.594,-9.749,1.003,-1.756,1.26,2.52,0.63,-1.0107903846153832,-0.9982153846153867,-0.6174807692307689,-1.1408923076923077,-1.0051730769230771,0.26465384615384613,2.6039288461538455,2.4552134615384613,-0.47559615384615406,3.0172467408573813,2.834586391411192,2.8294600909651906,2.8448243901366195
H2_lateral_right_left_20251205_022543,73125.0,-9.734,1.039,-1.754,-9.694,1.094,-1.804,3.92,2.94,1.05,-0.9957903846153826,-0.943215384615387,2.042519230769231,-1.0328923076923078,-0.9141730769230769,0.6846538461538461,2.4439288461538458,2.4072134615384613,-0.05559615384615402,2.8339465793210112,2.742269922118926,2.835900423895032,2.8416946711112017
H2_lateral_right_left_20251205_022543,,-9.72,0.993,-1.704,-9.689,1.089,-1.847,3.85,2.8,0.84,-0.9817903846153833,-0.9382153846153862,1.9725192307692312,-1.0788923076923078,-0.919173076923077,0.5446538461538459,2.493928846153846,2.3642134615384616,-0.2655961538461541,2.889221704992386,2.7045577355621213,2.833481439015908,2.844456499358412
H2_lateral_right_left_20251205_022543,,-9.72,1.015,-1.689,-9.667,1.079,-1.857,3.99,2.73,0.84,-0.9817903846153833,-0.916215384615386,2.112519230769231,-1.0568923076923078,-0.929173076923077,0.4746538461538461,2.5089288461538457,2.3542134615384613,-0.2655961538461541,2.89407285057672,2.691678706750403,2.829416701771173,2.8455831882127702
H2_lateral_right_left_20251205_022543,,-9.639,1.024,-1.783,-9.742,1.053,-1.845,4.2,2.8,0.77,-0.900790384615382,-0.991215384615387,2.322519230769231,-1.0478923076923077,-0.9551730769230771,0.5446538461538459,2.414928846153846,2.366213461538462,-0.33559615384615404,2.78233408086128,2.737486016611365,2.831388580816293,2.839270422086858
H2_lateral_right_left_20251205_022543,73201.0,-9.706,0.964,-1.84,-9.66,1.027,-1.866,2.52,2.31,0.63,-0.9677903846153821,-0.9092153846153863,0.6425192307692311,-1.1078923076923077,-0.9811730769230771,0.054653846153846164,2.357928846153846,2.3452134615384614,-0.47559615384615406,2.779185498940685,2.6998887759834136,2.8278319564618837,2.8317749694478955
H2_lateral_right_left_20251205_022543,,-9.672,0.988,-2.005,-9.701,1.122,-1.89,2.87,2.17,0.98,-0.9337903846153832,-0.9502153846153867,0.9925192307692312,-1.0838923076923077,-0.8861730769230769,-0.08534615384615396,2.192928846153846,2.321213461538462,-0.12559615384615408,2.6183437401090677,2.660121037368497,2.824418528838029,2.824281910397621
H2_lateral_right_left_20251205_022543,,-9.665,0.957,-1.895,-9.689,1.027,-1.78,3.22,1.82,1.05,-0.9267903846153818,-0.9382153846153862,1.3425192307692313,-1.1148923076923078,-0.9811730769230771,-0.4353461538461538,2.3029288461538457,2.4312134615384613,-0.05559615384615402,2.721287663076892,2.784555190757318,2.8162086951518086,2.815909073906164
H2_lateral_right_left_20251205_022543,,-9.701,0.995,-1.919,-9.701,1.012,-1.855,3.5,1.68,1.12,-0.9627903846153831,-0.9502153846153867,1.622519230769231,-1.0768923076923076,-0.996173076923077,-0.575346153846154,2.2789288461538457,2.3562134615384616,0.014403846153846045,2.698180693153592,2.7289213899783222,2.814650382783302,2.805081033832277
