session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H1_lateral_point_steps_fast_20251205_022006,1,57,0.548,2.83,0,99,0.952
H1_lateral_point_steps_fast_20251205_022006,2,141,1.356,2.26,99,177,0.75
H1_lateral_point_steps_fast_20251205_022006,3,213,2.048,1.65,177,259,0.788
H1_lateral_point_steps_fast_20251205_022006,4,305,2.933,2.47,259,374,1.106
H1_lateral_point_steps_fast_20251205_022006,5,444,4.269,4.83,374,520,1.404
H1_lateral_point_steps_fast_20251205_022006,6,597,5.74,6.78,520,638,1.135
H1_lateral_point_steps_fast_20251205_022006,7,679,6.529,7.66,638,739,0.971
H1_lateral_point_steps_fast_20251205_022006,8,799,7.683,9.13,739,851,1.077
H1_lateral_point_steps_fast_20251205_022006,9,903,8.683,11.49,851,1026,1.683
H1_lateral_point_steps_fast_20251205_022006,10,1149,11.048,12.69,1026,1192,1.596
H1_lateral_point_steps_fast_20251205_022006,11,1236,11.885,13.16,1192,1320,1.231
H1_lateral_point_steps_fast_20251205_022006,12,1404,13.5,14.86,1320,1521,1.933
H1_lateral_point_steps_fast_20251205_022006,13,1638,15.75,14.17,1521,1721,1.923
H1_lateral_point_steps_fast_20251205_022006,14,1804,17.346,13.12,1721,1883,1.558
H1_lateral_point_steps_fast_20251205_022006,15,1963,18.875,11.73,1883,2027,1.385
H1_lateral_point_steps_fast_20251205_022006,16,2091,20.106,9.6,2027,2164,1.317
H1_lateral_point_steps_fast_20251205_022006,17,2238,21.519,7.06,2164,2296,1.269
H1_lateral_point_steps_fast_20251205_022006,18,2354,22.635,5.49,2296,2418,1.173
H1_lateral_point_steps_fast_20251205_022006,19,2483,23.875,4.01,2418,2581,1.567
H1_lateral_point_steps_fast_20251205_022006,20,2680,25.769,2.41,2581,2752,1.644
H1_lateral_point_steps_fast_20251205_022006,21,2824,27.154,2.41,2752,2967,2.067
H1_lateral_point_steps_fast_20251205_022006,22,3110,29.904,2.84,2967,3163,1.885
H1_lateral_point_steps_fast_20251205_022006,23,3217,30.933,3.82,3163,3309,1.404
H1_lateral_point_steps_fast_20251205_022006,24,3402,32.712,4.31,3309,3465,1.5
H1_lateral_point_steps_fast_20251205_022006,25,3528,33.923,3.21,3465,3639,1.673
