session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H2_squat_fast_20251205_015325,1,99,0.952,6.39,0,141,1.356
H2_squat_fast_20251205_015325,2,183,1.76,12.02,141,266,1.202
H2_squat_fast_20251205_015325,3,350,3.365,13.75,266,406,1.346
H2_squat_fast_20251205_015325,4,462,4.442,16.14,406,507,0.971
H2_squat_fast_20251205_015325,5,552,5.308,17.55,507,632,1.202
H2_squat_fast_20251205_015325,6,713,6.856,19.92,632,804,1.654
H2_squat_fast_20251205_015325,7,896,8.615,21.9,804,959,1.49
H2_squat_fast_20251205_015325,8,1023,9.837,23.1,959,1149,1.827
H2_squat_fast_20251205_015325,9,1275,12.26,23.33,1149,1346,1.894
H2_squat_fast_20251205_015325,10,1417,13.625,23.0,1346,1464,1.135
H2_squat_fast_20251205_015325,11,1511,14.529,22.87,1464,1590,1.212
H2_squat_fast_20251205_015325,12,1670,16.058,22.31,1590,1721,1.26
H2_squat_fast_20251205_015325,13,1772,17.038,22.21,1721,1822,0.971
H2_squat_fast_20251205_015325,14,1872,18.0,22.18,1822,1921,0.952
H2_squat_fast_20251205_015325,15,1971,18.952,21.01,1921,2019,0.942
H2_squat_fast_20251205_015325,16,2068,19.885,20.77,2019,2118,0.952
H2_squat_fast_20251205_015325,17,2168,20.846,19.93,2118,2232,1.096
H2_squat_fast_20251205_015325,18,2296,22.077,19.0,2232,2347,1.106
H2_squat_fast_20251205_015325,19,2399,23.067,18.26,2347,2449,0.981
H2_squat_fast_20251205_015325,20,2500,24.038,17.39,2449,2547,0.942
H2_squat_fast_20251205_015325,21,2595,24.952,16.59,2547,2694,1.413
H2_squat_fast_20251205_015325,22,2794,26.865,15.33,2694,2847,1.471
H2_squat_fast_20251205_015325,23,2900,27.885,14.75,2847,2949,0.981
H2_squat_fast_20251205_015325,24,2999,28.837,13.66,2949,3052,0.99
H2_squat_fast_20251205_015325,25,3105,29.856,12.42,3052,3213,1.548
H2_squat_fast_20251205_015325,26,3322,31.942,10.69,3213,3430,2.087
H2_squat_fast_20251205_015325,27,3539,34.029,10.45,3430,3584,1.481
H2_squat_fast_20251205_015325,28,3629,34.894,9.89,3584,3639,0.529
