session_id,Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt
H2_lateral_right_left_fast_20251205_023317,71842.0,-8.581,2.204,-4.424,-8.636,2.146,-4.374,2.66,1.54,0.84,0.00021346153846124594,-0.0505692307692307,0.039576923076923176,-0.08868846153846155,-0.14351923076923123,0.02611538461538454,-0.03544615384615479,0.0015057692307696158,0.014673076923076844,0.09550978273649695,0.15217517551217047,0.1474460813498969,0.11405004924616992
H2_lateral_right_left_fast_20251205_023317,,-8.598,2.245,-4.417,-8.65,2.123,-4.422,2.45,1.61,0.98,-0.01678653846153999,-0.06456923076923182,-0.1704230769230768,-0.047688461538461624,-0.16651923076923092,0.0961153846153846,-0.028446153846154232,-0.04649423076923043,0.15467307692307686,0.058010006947639386,0.18455230497864053,0.1410799068006434,0.11590804009089462
H2_lateral_right_left_fast_20251205_023317,,-8.61,2.175,-4.401,-8.593,2.233,-4.444,2.73,1.75,0.84,-0.02878653846153867,-0.007569230769231439,0.10957692307692302,-0.11768846153846191,-0.056519230769231044,0.2361153846153845,-0.012446153846154218,-0.06849423076923067,0.014673076923076844,0.12179550698383669,0.08912449915624827,0.13440031281518525,0.11865400202775574
H2_lateral_right_left_fast_20251205_023317,,-8.576,2.245,-4.338,-8.562,2.29,-4.499,3.01,1.68,0.91,0.005213461538460251,0.023430769230769144,0.3895769230769228,-0.047688461538461624,0.000480769230768896,0.16611538461538444,0.050553846153845505,-0.12349423076923038,0.0846730769230769,0.06969261729957499,0.1256982781070717,0.12934157972996266,0.12147501157639927
H2_lateral_right_left_fast_20251205_023317,71917.0,-8.543,2.228,-4.508,-8.586,2.192,-4.36,3.43,1.54,0.91,0.0382134615384615,-0.0005692307692317655,0.8095769230769232,-0.06468846153846153,-0.09751923076923097,0.02611538461538454,-0.11944615384615442,0.015505769230768962,0.0846730769230769,0.14111076984980161,0.09874590256273434,0.13170812200914236,0.12471149349768146
H2_lateral_right_left_fast_20251205_023317,,-8.564,2.233,-4.515,-8.595,2.242,-4.372,3.15,1.47,0.84,0.017213461538460706,-0.009569230769232107,0.529576923076923,-0.059688461538461635,-0.04751923076923115,-0.04388461538461552,-0.1264461538461541,0.0035057692307693955,0.014673076923076844,0.1408816720565516,0.04859977251298273,0.13119060890999773,0.1328587461186213
H2_lateral_right_left_fast_20251205_023317,,-8.545,2.194,-4.477,-8.612,2.206,-4.401,2.87,1.54,0.91,0.036213461538460834,-0.026569230769231567,0.24957692307692314,-0.09868846153846178,-0.08351923076923118,0.02611538461538454,-0.08844615384615473,-0.02549423076923052,0.0846730769230769,0.13738103714706662,0.09127618382945002,0.1333157113913129,0.13959112723861344
H2_lateral_right_left_fast_20251205_023317,,-8.612,2.173,-4.422,-8.634,2.173,-4.444,2.87,1.61,0.91,-0.030786538461539337,-0.04856923076923181,0.24957692307692314,-0.11968846153846169,-0.1165192307692311,0.0961153846153846,-0.033446153846154125,-0.06849423076923067,0.0846730769230769,0.12803040257293685,0.14362158948165435,0.13185555224859852,0.14508334163606693
H2_lateral_right_left_fast_20251205_023317,71993.0,-8.636,2.106,-4.53,-8.545,2.276,-4.539,2.45,1.54,0.7,-0.05478653846153847,0.040430769230768604,-0.1704230769230768,-0.18668846153846186,-0.013519230769231338,0.02611538461538454,-0.14144615384615467,-0.16349423076923042,-0.12532692307692317,0.24054346988863665,0.16896088362696784,0.13363378158350145,0.14409570898772656
H2_lateral_right_left_fast_20251205_023317,,-8.571,2.168,-4.551,-8.603,2.257,-4.453,3.01,1.47,0.77,0.010213461538461033,-0.017569230769231226,0.3895769230769228,-0.12468846153846158,-0.03251923076923102,-0.04388461538461552,-0.16244615384615457,-0.07749423076923101,-0.05532692307692311,0.2050372652393573,0.08585763822840593,0.13373770881605773,0.14284889534716988
H2_lateral_right_left_fast_20251205_023317,,-8.516,2.29,-4.611,-8.607,2.216,-4.403,3.08,1.26,0.84,0.06521346153846075,-0.021569230769230785,0.4595769230769231,-0.002688461538461695,-0.07351923076923095,-0.2538846153846155,-0.22244615384615418,-0.0274942307692303,0.014673076923076844,0.23182388736327192,0.08140173053730158,0.13473792240725474,0.14046047136545453
H2_lateral_right_left_fast_20251205_023317,,-8.512,2.285,-4.621,-8.598,2.163,-4.357,2.45,1.26,0.77,0.06921346153846031,-0.01256923076923222,-0.1704230769230768,-0.007688461538461588,-0.12651923076923133,-0.2538846153846155,-0.23244615384615486,0.018505769230769076,-0.05532692307692311,0.24265372475367983,0.12848176840077624,0.13545597984355348,0.13929211995066706
H2_lateral_right_left_fast_20251205_023317,72069.0,-8.598,2.192,-4.367,-8.545,2.216,-4.369,2.31,1.05,0.28,-0.01678653846153999,0.040430769230768604,-0.3104230769230769,-0.10068846153846156,-0.07351923076923095,-0.46388461538461545,0.02155384615384559,0.006505769230769509,-0.5453269230769231,0.10432891470980928,0.08415491326580479,0.13832966659685422,0.14635958382186812
H2_lateral_right_left_fast_20251205_023317,,-8.579,2.259,-4.341,-8.641,2.161,-4.379,2.73,1.12,0.35,0.0022134615384601375,-0.05556923076923148,0.10957692307692302,-0.033688461538461834,-0.1285192307692311,-0.3938846153846154,0.04755384615384539,-0.0034942307692302776,-0.47532692307692315,0.058319637660347826,0.1400619210723158,0.13881377579091156,0.14826123629860818
H2_lateral_right_left_fast_20251205_023317,,-8.569,2.309,-4.424,-8.576,2.151,-4.302,2.45,1.12,0.21,0.012213461538459924,0.009430769230768021,-0.1704230769230768,0.016311538461538433,-0.13851923076923134,-0.3938846153846154,-0.03544615384615479,0.07350576923076968,-0.6153269230769232,0.04088599701877113,0.15709746914381129,0.1439713261117212,0.14577037271842255
H2_lateral_right_left_fast_20251205_023317,,-8.531,2.304,-4.403,-8.588,2.161,-4.274,2.1,1.26,0.07,0.05021346153846018,-0.002569230769230657,-0.5204230769230769,0.011311538461538095,-0.1285192307692311,-0.2538846153846155,-0.014446153846153997,0.10150576923076926,-0.7553269230769231,0.05346058345162374,0.16379015480605244,0.15184009038233215,0.14235721275080462
H2_lateral_right_left_fast_20251205_023317,72144.0,-8.641,2.166,-4.293,-8.581,2.331,-4.547,2.94,1.54,0.14,-0.05978653846153925,0.004430769230769016,0.319576923076923,-0.1266884615384618,0.04148076923076882,0.02611538461538454,0.09555384615384543,-0.17149423076923043,-0.6853269230769231,0.16957279847601794,0.17649520423819648,0.15263033551240682,0.14657704156435894
H2_lateral_right_left_fast_20251205_023317,,-8.631,2.194,-4.336,-8.514,2.302,-4.637,3.01,1.75,0.0,-0.049786538461539465,0.07143076923076919,0.3895769230769228,-0.09868846153846178,0.012480769230768907,0.2361153846153845,0.052553846153845285,-0.2614942307692303,-0.8253269230769231,0.12239288622453855,0.2713620406745987,0.15788351955846128,0.15128150205701935
H2_lateral_right_left_fast_20251205_023317,,-8.643,2.151,-4.463,-8.524,2.245,-4.625,2.94,1.82,0.14,-0.06178653846153992,0.0614307692307694,0.319576923076923,-0.14168846153846193,-0.04451923076923103,0.30611538461538457,-0.0744461538461545,-0.24949423076923072,-0.6853269230769231,0.17156755605498628,0.26077398739847163,0.16193119576307394,0.15823683583999812
H2_lateral_right_left_fast_20251205_023317,,-8.593,2.223,-4.465,-8.497,2.187,-4.585,3.22,1.61,0.0,-0.011786538461539209,0.08843076923076865,0.5995769230769232,-0.06968846153846187,-0.1025192307692313,0.0961153846153846,-0.07644615384615427,-0.20949423076923068,-0.8253269230769231,0.10411252853702531,0.24943541518768347,0.1663766950571211,0.16447322497813963
H2_lateral_right_left_fast_20251205_023317,72220.0,-8.595,2.151,-4.48,-8.607,2.221,-4.477,1.96,1.05,-0.14,-0.013786538461539877,-0.021569230769230785,-0.660423076923077,-0.14168846153846193,-0.06851923076923105,-0.46388461538461545,-0.09144615384615484,-0.10149423076923103,-0.9653269230769231,0.1691983682815598,0.12434305602091898,0.16522867564325244,0.1729175615317158
H2_lateral_right_left_fast_20251205_023317,,-8.605,2.185,-4.468,-8.574,2.314,-4.489,2.31,0.84,-0.21,-0.023786538461539664,0.01143076923076869,-0.3104230769230769,-0.10768846153846168,0.024480769230768917,-0.6738846153846155,-0.07944615384615439,-0.1134942307692306,-1.035326923076923,0.13592018069973966,0.11666580889547983,0.16300276987951692,0.17680762456008528
