Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_corr,GyroX_corr,MagnX_corr,AccY_corr,GyroY_corr,MagnY_corr,AccZ_corr,GyroZ_corr,MagnZ_corr,AccNorm,GyroNorm,AccNorm_filt,GyroNorm_filt,Yaw_deg,Pitch_deg,Roll_deg,KneeAngle_fused_deg,KneeAngle_filt_deg,KneeValgus_fused_deg,KneeValgus_filt_deg
0.0,-9.421,-1.548,-2.625,-9.44,-1.541,-2.644,2.73,1.33,0.7,0.11025961538461537,0.08980769230769248,0.09571153846153857,-1.9245057692307692,-1.9147788461538462,-0.07834615384615384,0.07685769230769246,0.05669807692307627,-0.044019230769230755,1.9291932882565557,1.9177221183483968,1.965912368258365,1.9441422079968844,0.0005334579139704993,-0.012109465945384415,0.11086724433093405,-0.7542609843296773,-0.6709562078901405,-5.712068456120931,-5.046242827062796
,-9.411,-1.56,-2.673,-9.438,-1.57,-2.635,2.59,1.4,0.77,0.12025961538461516,0.09180769230769137,-0.044288461538461554,-1.9365057692307692,-1.943778846153846,-0.008346153846154003,0.028857692307692417,0.06569807692307661,0.025980769230769307,1.9404509104230991,1.9470544657079913,1.9674042011137334,1.9451467276037238,0.001107421946436697,-0.023999426153163653,0.221723835172457,-0.742371024121898,-0.6640209939062903,-5.601211865279407,-4.9907711177184595
,-9.452,-1.56,-2.675,-9.383,-1.603,-2.611,2.66,1.33,0.63,0.07925961538461479,0.14680769230769286,0.02571153846153873,-1.9365057692307692,-1.976778846153846,-0.07834615384615384,0.026857692307692638,0.08969807692307619,-0.1140192307692307,1.9383131884530593,1.9842512064065223,1.9642372890099054,1.9464920285820209,0.0018533782084368012,-0.03854199799493108,0.3332285332789859,-0.7278284522801306,-0.657046604975747,-5.489707167172879,-4.935291784877246
,-9.514,-1.57,-2.623,-9.45,-1.598,-2.615,2.73,1.47,0.7,0.0172596153846154,0.07980769230769269,0.09571153846153857,-1.9465057692307695,-1.9717788461538461,0.06165384615384606,0.07885769230769224,0.08569807692307618,-0.044019230769230755,1.9481789290534863,1.9752532106744152,1.9634346573003238,1.9482617569207832,0.0024811700535261657,-0.056547093268353894,0.44417535136763947,-0.7098233570067077,-0.6500963812931065,-5.378760349084225,-4.879803573537476
75.0,-9.409,-1.584,-2.63,-9.428,-1.598,-2.611,2.66,1.4,0.63,0.12225961538461405,0.10180769230769116,0.02571153846153873,-1.9605057692307692,-1.9717788461538461,-0.008346153846154003,0.07185769230769257,0.08969807692307619,-0.1140192307692307,1.9656280962290171,1.9764418456803905,1.9639361613837782,1.9490207411765927,0.00312861348461887,-0.0687669104762458,0.5551309833514713,-0.6976035397988158,-0.6430422793202313,-5.267804717100393,-4.824301263958596
,-9.435,-1.62,-2.639,-9.469,-1.567,-2.618,2.52,1.47,0.63,0.09625961538461425,0.06080769230769256,-0.1142884615384614,-1.9965057692307693,-1.940778846153846,0.06165384615384606,0.06285769230769267,0.08269807692307651,-0.1140192307692307,1.9998130636656988,1.9434914656485671,1.9604500707859727,1.9463724083141218,0.0036482510088798226,-0.0822388903390468,0.6657765003347926,-0.6841315599360149,-0.6360029118092029,-5.157159200117072,-4.7687895854398565
,-9.44,-1.608,-2.635,-9.459,-1.551,-2.589,2.59,1.47,0.63,0.09125961538461524,0.07080769230769235,-0.044288461538461554,-1.9845057692307693,-1.924778846153846,0.06165384615384606,0.06685769230769267,0.11169807692307643,-0.1140192307692307,1.987727701807032,1.9293169247895965,1.959568302362637,1.945861950701033,0.004393466658032424,-0.09582229380580658,0.7765296785691728,-0.6705481564692551,-0.6288934139189355,-5.046406021882692,-4.713271791382349
,-9.426,-1.579,-2.699,-9.457,-1.531,-2.632,2.59,1.54,0.63,0.10525961538461459,0.07280769230769124,-0.044288461538461554,-1.9555057692307694,-1.904778846153846,0.13165384615384612,0.0028576923076926164,0.06869807692307628,-0.1140192307692307,1.9583387261990877,1.9074073604207564,1.9606545686350993,1.9477155492120566,0.004687728108809775,-0.10838787814697812,0.8872628246766481,-0.6579825721280835,-0.6217612522352549,-4.935672875775216,-4.657746883772964
150.0,-9.466,-1.572,-2.663,-9.426,-1.572,-2.67,2.52,1.47,0.56,0.06525961538461544,0.10380769230769182,-0.1142884615384614,-1.9485057692307692,-1.9457788461538463,0.06165384615384606,0.03885769230769265,0.030698076923076467,-0.18401923076923066,1.9499855051710562,1.9487877583381976,1.961561638625432,1.9468081915430262,0.004525483787480958,-0.12353437511562448,0.9983876577754172,-0.6428360751594372,-0.6147267269101954,-4.824548042676447,-4.602226036974558
,-9.414,-1.606,-2.603,-9.407,-1.555,-2.601,2.31,1.47,0.63,0.11725961538461505,0.12280769230769195,-0.32428846153846136,-1.9825057692307695,-1.928778846153846,0.06165384615384606,0.09885769230769226,0.09969807692307642,-0.1140192307692307,1.98842947719094,1.9352543174483972,1.9609044108188796,1.9485857855135515,0.005021154446680177,-0.13582374175941903,1.1095728641340132,-0.6305467085156427,-0.6077270039793246,-4.7133628363178515,-4.546704359330589
