session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H1_walk_slow_20251205_051431,1,139,1.337,5.68,0,183,1.76
H1_walk_slow_20251205_051431,2,228,2.192,6.94,183,275,0.885
H1_walk_slow_20251205_051431,3,322,3.096,8.41,275,366,0.875
H1_walk_slow_20251205_051431,4,411,3.952,11.82,366,529,1.567
H1_walk_slow_20251205_051431,5,648,6.231,13.22,529,695,1.596
H1_walk_slow_20251205_051431,6,742,7.135,12.59,695,786,0.875
H1_walk_slow_20251205_051431,7,831,7.99,11.22,786,878,0.885
H1_walk_slow_20251205_051431,8,926,8.904,10.36,878,1044,1.596
H1_walk_slow_20251205_051431,9,1163,11.183,9.28,1044,1241,1.894
H1_walk_slow_20251205_051431,10,1319,12.683,4.85,1241,1386,1.394
H1_walk_slow_20251205_051431,11,1453,13.971,1.38,1386,1563,1.702
H1_walk_slow_20251205_051431,12,1673,16.087,2.77,1563,1719,1.5
H1_walk_slow_20251205_051431,13,1766,16.981,4.86,1719,1862,1.375
H1_walk_slow_20251205_051431,14,1958,18.827,6.26,1862,2068,1.981
H1_walk_slow_20251205_051431,15,2178,20.942,6.81,2068,2225,1.51
H1_walk_slow_20251205_051431,16,2272,21.846,6.75,2225,2371,1.404
H1_walk_slow_20251205_051431,17,2470,23.75,6.34,2371,2531,1.538
H1_walk_slow_20251205_051431,18,2592,24.923,5.1,2531,2648,1.125
H1_walk_slow_20251205_051431,19,2704,26.0,4.47,2648,2751,0.99
H1_walk_slow_20251205_051431,20,2799,26.913,5.22,2751,2852,0.971
H1_walk_slow_20251205_051431,21,2906,27.942,5.46,2852,2957,1.01
H1_walk_slow_20251205_051431,22,3009,28.933,6.14,2957,3274,3.048
H1_walk_slow_20251205_051431,23,3539,34.029,5.6,3274,3639,3.51
