Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.447,-0.101,-2.996,-9.469,-0.086,-2.989,3.99,1.12,0.7
,-9.457,-0.115,-2.967,-9.416,-0.057,-3.025,3.57,0.84,0.63
,-9.462,-0.182,-2.974,-9.435,-0.091,-3.029,3.43,1.05,0.63
,-9.45,-0.136,-2.946,-9.416,-0.081,-3.022,3.5,1.26,0.77
75.0,-9.45,-0.122,-3.065,-9.447,-0.122,-3.041,2.8,1.33,0.63
,-9.464,-0.081,-3.037,-9.433,-0.141,-3.008,2.87,1.33,0.56
,-9.409,-0.096,-3.135,-9.445,-0.091,-3.197,2.8,1.4,0.63
,-9.402,-0.098,-3.113,-9.387,-0.101,-3.037,2.66,1.26,0.56
150.0,-9.435,-0.172,-3.015,-9.45,-0.096,-3.017,2.8,1.05,0.56
,-9.387,-0.091,-3.12,-9.471,-0.124,-2.974,3.15,1.12,0.84
,-9.416,-0.098,-2.989,-9.423,-0.124,-2.972,2.8,1.33,0.84
,-9.454,-0.093,-2.979,-9.478,-0.17,-3.003,2.66,1.26,0.77
226.0,-9.502,-0.12,-2.991,-9.478,-0.048,-3.113,2.17,1.61,0.77
,-9.481,-0.112,-3.02,-9.421,-0.069,-3.13,2.1,1.61,0.7
,-9.421,-0.081,-3.037,-9.416,-0.045,-3.12,2.17,1.82,0.7
,-9.512,-0.06,-3.056,-9.404,-0.093,-3.049,2.1,1.82,0.7
302.0,-9.464,-0.05,-3.041,-9.474,-0.053,-3.094,2.45,1.33,0.84
,-9.488,-0.06,-3.025,-9.426,-0.115,-3.075,2.24,1.33,0.7
,-9.471,-0.117,-2.994,-9.383,-0.086,-3.058,2.03,1.33,0.63
,-9.435,-0.151,-3.046,-9.462,-0.127,-3.046,2.24,1.33,0.56
378.0,-9.447,-0.151,-3.068,-9.418,-0.141,-3.017,2.59,1.54,0.84
,-9.452,-0.105,-3.017,-9.428,-0.112,-3.029,2.73,1.33,0.84
,-9.481,-0.101,-3.025,-9.43,-0.105,-3.039,2.8,1.54,0.84
,-9.402,-0.093,-2.994,-9.507,-0.084,-3.027,2.66,1.47,0.84
453.0,-9.457,-0.103,-3.025,-9.45,-0.093,-3.025,2.52,1.47,0.77
,-9.421,-0.115,-3.056,-9.426,-0.086,-3.089,2.59,1.54,0.84
,-9.44,-0.105,-3.082,-9.445,-0.11,-3.053,2.66,1.68,0.91
,-9.399,-0.086,-3.084,-9.445,-0.12,-3.056,2.66,1.54,0.91
529.0,-9.454,-0.124,-3.07,-9.459,-0.098,-3.015,2.66,1.4,0.84
,-9.447,-0.098,-3.065,-9.457,-0.144,-2.984,2.66,1.26,0.91
,-9.43,-0.115,-3.01,-9.421,-0.122,-2.962,2.66,1.47,1.05
,-9.433,-0.053,-2.991,-9.469,-0.074,-3.022,2.59,1.54,1.05
604.0,-9.445,-0.117,-3.08,-9.478,-0.007,-3.125,2.17,1.89,1.19
,-9.462,-0.026,-3.032,-9.428,-0.057,-3.139,2.17,1.89,1.05
,-9.418,-0.098,-3.075,-9.45,-0.074,-3.12,1.82,1.75,0.98
,-9.409,-0.077,-3.075,-9.452,-0.072,-3.156,1.89,1.75,0.98
680.0,-9.414,-0.081,-3.171,-9.416,-0.124,-3.053,2.38,1.19,0.91
,-9.409,-0.072,-3.128,-9.447,-0.105,-3.077,2.59,1.05,0.98
,-9.469,-0.067,-3.056,-9.399,-0.168,-3.094,2.73,1.12,0.91
,-9.478,-0.098,-3.077,-9.418,-0.053,-3.063,2.59,1.05,0.91
756.0,-9.433,-0.103,-3.051,-9.43,-0.098,-2.979,2.94,0.84,0.98
,-9.435,-0.129,-2.974,-9.457,-0.144,-2.979,3.01,0.84,0.98
,-9.416,-0.108,-2.95,-9.442,-0.127,-3.025,3.01,0.98,0.98
,-9.521,-0.06,-2.974,-9.447,-0.098,-2.998,3.08,0.84,0.98
832.0,-9.469,-0.115,-2.982,-9.454,-0.022,-3.01,2.52,1.54,1.12
,-9.466,-0.048,-2.996,-9.442,-0.05,-2.977,2.45,1.61,1.05
,-9.442,-0.014,-2.967,-9.459,-0.139,-2.996,2.24,1.68,0.98
,-9.462,-0.024,-2.965,-9.435,-0.156,-2.994,2.03,1.68,0.98
908.0,-9.409,-0.151,-3.003,-9.44,-0.148,-3.185,3.01,1.96,1.33
,-9.421,-0.139,-3.037,-9.416,-0.117,-3.214,2.87,2.1,1.47
,-9.44,-0.199,-3.077,-9.452,-0.005,-3.238,2.45,2.1,1.47
,-9.433,-0.144,-3.12,-9.407,-0.031,-3.183,1.96,2.03,1.33
983.0,-9.416,0.014,-3.142,-9.454,-0.129,-3.044,1.26,1.19,1.12
,-9.445,-0.043,-3.106,-9.442,-0.122,-3.046,1.54,0.98,1.12
,-9.481,-0.036,-3.07,-9.457,-0.11,-3.005,1.82,1.05,1.12
,-9.407,-0.043,-3.08,-9.464,-0.081,-3.032,1.96,0.98,1.26
1059.0,-9.476,-0.084,-2.924,-9.474,-0.067,-3.041,2.52,1.19,1.19
,-9.466,-0.043,-2.929,-9.423,-0.079,-3.015,2.38,1.12,1.19
,-9.485,-0.101,-2.953,-9.416,0.007,-3.037,2.17,1.12,1.26
,-9.481,-0.141,-2.912,-9.457,-0.005,-3.053,2.45,1.54,1.33
1135.0,-9.476,-0.029,-3.051,-9.426,-0.022,-3.072,2.1,1.54,1.19
,-9.459,-0.06,-3.099,-9.438,-0.045,-3.077,1.96,1.61,1.26
,-9.445,-0.05,-3.034,-9.485,-0.057,-3.008,1.75,1.54,1.12
,-9.452,-0.053,-3.072,-9.481,-0.034,-2.996,1.89,1.54,1.05
1211.0,-9.469,0.034,-2.989,-9.409,-0.053,-3.072,1.96,1.47,1.05
,-9.493,-0.043,-2.996,-9.44,-0.019,-3.041,1.75,1.54,1.12
,-9.428,-0.026,-3.029,-9.416,0.017,-3.017,1.82,1.47,0.91
,-9.466,-0.026,-3.058,-9.447,-0.038,-3.01,1.82,1.54,0.84
1286.0,-9.44,-0.091,-2.984,-9.433,-0.005,-3.118,2.45,1.68,0.98
,-9.428,-0.072,-3.008,-9.452,0.014,-3.116,2.38,1.47,0.91
,-9.49,-0.036,-3.034,-9.485,0.01,-3.07,2.38,1.4,0.77
,-9.452,-0.074,-3.084,-9.495,-0.031,-3.039,2.31,1.61,0.98
1362.0,-9.44,-0.072,-3.027,-9.452,-0.002,-3.032,2.31,1.47,0.98
,-9.445,-0.007,-3.046,-9.45,0.005,-2.95,2.38,1.54,0.91
,-9.457,-0.055,-3.025,-9.45,-0.108,-2.979,2.52,1.4,0.91
,-9.435,-0.019,-3.022,-9.469,-0.101,-2.929,2.59,1.4,0.84
1437.0,-9.45,-0.112,-2.915,-9.45,-0.022,-3.065,2.73,1.89,1.12
,-9.442,-0.089,-3.025,-9.452,0.022,-3.063,2.66,1.96,0.98
,-9.462,-0.093,-3.022,-9.44,0.002,-3.07,2.45,1.75,0.98
,-9.428,-0.041,-2.998,-9.392,-0.014,-3.061,2.1,1.82,1.05
1513.0,-9.416,0.024,-3.113,-9.459,0.022,-3.139,1.82,1.75,0.77
,-9.485,-0.007,-3.19,-9.395,-0.014,-3.075,2.03,1.75,0.77
,-9.426,-0.029,-3.137,-9.44,-0.072,-3.063,2.24,1.68,0.77
,-9.476,-0.002,-3.147,-9.469,-0.074,-3.063,2.24,1.26,0.7
1589.0,-9.43,-0.086,-3.029,-9.421,-0.069,-2.998,2.8,1.26,0.77
,-9.43,-0.043,-2.998,-9.416,-0.029,-2.974,3.01,1.26,0.7
,-9.45,0.01,-3.039,-9.43,-0.05,-3.003,3.01,1.12,0.63
,-9.426,-0.038,-3.037,-9.442,-0.079,-2.991,2.73,1.26,0.56
1665.0,-9.445,-0.012,-2.984,-9.438,-0.069,-2.984,2.66,1.47,0.7
,-9.44,-0.036,-2.972,-9.447,-0.031,-3.013,2.73,1.68,0.77
,-9.454,-0.038,-3.001,-9.478,-0.069,-3.013,2.66,1.68,0.63
,-9.442,0.002,-2.991,-9.43,-0.084,-2.994,2.52,1.61,0.56
1741.0,-9.442,-0.026,-3.039,-9.366,-0.045,-3.139,2.73,1.82,0.84
,-9.445,0.026,-3.013,-9.404,-0.036,-3.159,2.38,1.89,0.77
,-9.452,-0.014,-3.106,-9.39,0.0,-3.065,2.03,1.89,0.7
,-9.38,-0.036,-3.106,-9.481,-0.005,-3.087,1.96,1.82,0.77
1816.0,-9.399,-0.041,-3.058,-9.438,-0.048,-3.044,1.82,1.61,0.77
,-9.45,-0.084,-3.084,-9.457,-0.065,-3.049,1.96,1.54,0.7
,-9.433,-0.062,-3.068,-9.414,-0.031,-3.039,2.45,1.68,0.7
,-9.416,-0.045,-3.07,-9.454,-0.041,-3.008,2.66,1.54,0.7
1892.0,-9.462,-0.034,-3.082,-9.447,-0.043,-3.058,2.66,1.47,0.84
,-9.462,-0.074,-3.075,-9.464,-0.06,-3.063,2.66,1.47,0.63
,-9.442,-0.043,-3.082,-9.457,-0.091,-3.032,2.8,1.4,0.63
,-9.397,-0.029,-3.101,-9.44,-0.091,-3.017,2.87,1.47,0.7
1968.0,-9.454,-0.065,-2.989,-9.423,-0.041,-3.101,3.01,1.47,0.77
,-9.474,-0.043,-2.979,-9.411,-0.007,-3.063,2.8,1.54,0.7
