Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.289,-0.103,-3.549,-9.323,-0.089,-3.443,3.15,1.19,0.56
,-9.313,-0.096,-3.501,-9.273,-0.067,-3.441,3.36,1.12,0.7
,-9.27,-0.067,-3.486,-9.311,-0.089,-3.489,3.5,1.05,0.56
,-9.28,-0.081,-3.448,-9.335,-0.096,-3.453,3.22,1.05,0.63
75.0,-9.323,-0.089,-3.458,-9.32,-0.06,-3.625,2.59,1.12,0.56
,-9.306,-0.12,-3.446,-9.234,-0.11,-3.46,2.66,1.05,0.56
,-9.308,-0.127,-3.393,-9.294,-0.101,-3.427,2.66,1.19,0.56
,-9.277,-0.127,-3.501,-9.311,-0.069,-3.443,2.66,1.33,0.56
151.0,-9.27,-0.093,-3.431,-9.342,-0.103,-3.446,2.8,1.19,0.35
,-9.287,-0.115,-3.384,-9.32,-0.136,-3.424,3.08,1.33,0.56
,-9.304,-0.098,-3.357,-9.373,-0.12,-3.439,3.29,1.47,0.7
,-9.299,-0.122,-3.453,-9.361,-0.057,-3.465,3.08,1.33,0.56
227.0,-9.284,-0.098,-3.431,-9.284,-0.031,-3.51,2.73,1.54,0.49
,-9.294,-0.072,-3.455,-9.282,-0.086,-3.518,2.59,1.54,0.49
,-9.263,-0.081,-3.506,-9.313,-0.081,-3.498,2.59,1.47,0.42
,-9.282,-0.101,-3.498,-9.289,-0.108,-3.453,2.73,1.4,0.49
302.0,-9.299,-0.129,-3.501,-9.328,-0.218,-3.357,2.45,1.19,0.28
,-9.304,-0.11,-3.431,-9.34,-0.182,-3.451,2.66,1.33,0.42
,-9.356,-0.136,-3.396,-9.287,-0.065,-3.463,2.66,1.4,0.42
,-9.316,-0.12,-3.398,-9.275,-0.05,-3.441,2.31,1.4,0.35
378.0,-9.301,-0.108,-3.498,-9.304,-0.108,-3.479,2.31,1.4,0.35
,-9.308,-0.112,-3.484,-9.332,-0.148,-3.494,2.59,1.61,0.42
,-9.311,-0.115,-3.477,-9.287,-0.134,-3.46,2.73,1.54,0.35
,-9.268,-0.086,-3.518,-9.306,-0.108,-3.472,2.73,1.47,0.35
453.0,-9.268,-0.101,-3.448,-9.268,-0.203,-3.484,3.15,1.54,0.49
,-9.296,-0.079,-3.446,-9.335,-0.117,-3.465,3.08,1.4,0.42
,-9.239,-0.153,-3.451,-9.318,-0.124,-3.436,3.08,1.33,0.49
,-9.294,-0.156,-3.441,-9.304,-0.117,-3.422,3.08,1.33,0.42
529.0,-9.301,-0.132,-3.429,-9.332,-0.165,-3.443,2.59,1.33,0.28
,-9.318,-0.153,-3.439,-9.296,-0.12,-3.498,2.45,1.61,0.35
,-9.335,-0.16,-3.446,-9.287,-0.124,-3.439,2.52,1.54,0.42
,-9.308,-0.115,-3.479,-9.296,-0.086,-3.522,2.52,1.54,0.42
605.0,-9.287,-0.115,-3.484,-9.323,-0.098,-3.436,2.59,1.61,0.42
,-9.301,-0.122,-3.491,-9.261,-0.141,-3.443,2.73,1.47,0.42
,-9.277,-0.098,-3.453,-9.263,-0.163,-3.403,2.8,1.47,0.42
,-9.275,-0.112,-3.424,-9.256,-0.146,-3.412,3.01,1.54,0.42
681.0,-9.294,-0.144,-3.448,-9.323,-0.136,-3.439,2.45,1.47,0.35
,-9.28,-0.191,-3.467,-9.313,-0.117,-3.47,2.52,1.68,0.49
,-9.292,-0.108,-3.455,-9.378,-0.156,-3.453,2.45,1.47,0.35
,-9.323,-0.124,-3.443,-9.284,-0.132,-3.384,2.38,1.61,0.42
757.0,-9.277,-0.158,-3.479,-9.292,-0.165,-3.568,2.31,1.68,0.56
,-9.261,-0.163,-3.441,-9.234,-0.117,-3.527,2.59,1.68,0.63
,-9.277,-0.141,-3.463,-9.308,-0.134,-3.518,2.66,1.68,0.56
,-9.222,-0.179,-3.53,-9.287,-0.105,-3.496,2.87,1.61,0.49
832.0,-9.318,-0.091,-3.503,-9.562,-0.136,-3.34,2.38,1.47,0.7
,-9.318,-0.194,-3.439,-9.454,-0.321,-2.97,2.17,1.26,0.63
,-9.296,-0.146,-3.4,-9.395,-0.311,-2.982,2.31,1.19,0.7
,-9.474,-0.115,-3.367,-9.332,-0.263,-3.02,2.38,1.26,0.77
908.0,-9.363,0.093,-3.013,-9.809,-0.816,-2.934,4.69,3.29,2.24
,-9.526,0.156,-3.12,-9.763,-0.809,-2.934,2.66,3.57,1.89
,-9.744,-0.28,-3.065,-9.825,-0.692,-2.893,0.63,3.99,1.82
,-9.844,-0.821,-3.005,-10.055,-0.83,-2.955,1.54,4.76,2.66
984.0,-10.223,-1.218,-2.986,-10.615,-2.912,-3.238,8.89,8.96,7.98
,-10.378,-1.833,-3.111,-10.431,-2.68,-2.625,8.26,9.87,8.54
,-10.543,-2.268,-3.355,-9.009,-1.333,-2.01,8.54,10.43,9.1
,-11.029,-2.965,-3.386,-8.291,-0.651,-2.194,8.19,10.85,7.98
1060.0,-8.258,-1.184,-2.97,-7.373,-3.412,-6.743,-30.17,10.85,-9.03
