session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H1_lateral_right_left_20251205_020801,1,140,1.346,6.13,0,185,1.779
H1_lateral_right_left_20251205_020801,2,230,2.212,6.93,185,290,1.01
H1_lateral_right_left_20251205_020801,3,351,3.375,6.93,290,441,1.452
H1_lateral_right_left_20251205_020801,4,531,5.106,8.41,441,589,1.423
H1_lateral_right_left_20251205_020801,5,647,6.221,8.21,589,691,0.981
H1_lateral_right_left_20251205_020801,6,735,7.067,7.89,691,823,1.269
H1_lateral_right_left_20251205_020801,7,912,8.769,6.91,823,957,1.288
H1_lateral_right_left_20251205_020801,8,1002,9.635,6.27,957,1047,0.865
H1_lateral_right_left_20251205_020801,9,1092,10.5,7.22,1047,1181,1.288
H1_lateral_right_left_20251205_020801,10,1271,12.221,8.06,1181,1364,1.76
H1_lateral_right_left_20251205_020801,11,1457,14.01,8.61,1364,1550,1.788
H1_lateral_right_left_20251205_020801,12,1644,15.808,7.63,1550,1684,1.288
H1_lateral_right_left_20251205_020801,13,1724,16.577,6.06,1684,1769,0.817
H1_lateral_right_left_20251205_020801,14,1815,17.452,5.08,1769,1861,0.885
H1_lateral_right_left_20251205_020801,15,1908,18.346,4.75,1861,1952,0.875
H1_lateral_right_left_20251205_020801,16,1996,19.192,4.32,1952,2044,0.885
H1_lateral_right_left_20251205_020801,17,2093,20.125,4.22,2044,2138,0.904
H1_lateral_right_left_20251205_020801,18,2183,20.99,3.6,2138,2271,1.279
H1_lateral_right_left_20251205_020801,19,2359,22.683,2.29,2271,2405,1.288
H1_lateral_right_left_20251205_020801,20,2452,23.577,1.31,2405,2494,0.856
H1_lateral_right_left_20251205_020801,21,2536,24.385,0.37,2494,2582,0.846
H1_lateral_right_left_20251205_020801,22,2628,25.269,1.03,2582,2673,0.875
H1_lateral_right_left_20251205_020801,23,2718,26.135,1.49,2673,2762,0.856
H1_lateral_right_left_20251205_020801,24,2807,26.99,1.88,2762,2853,0.875
H1_lateral_right_left_20251205_020801,25,2899,27.875,2.33,2853,2943,0.865
H1_lateral_right_left_20251205_020801,26,2988,28.731,3.63,2943,3077,1.288
H1_lateral_right_left_20251205_020801,27,3167,30.452,4.31,3077,3211,1.288
H1_lateral_right_left_20251205_020801,28,3255,31.298,5.02,3211,3340,1.24
H1_lateral_right_left_20251205_020801,29,3425,32.933,5.5,3340,3470,1.25
H1_lateral_right_left_20251205_020801,30,3516,33.808,5.44,3470,3639,1.625
