session_id,rep_id,peak_index,t_peak_sec,max_angle_deg,rep_start_idx,rep_end_idx,duration_sec
H2_squat_normal_20251205_014834,1,116,1.115,9.36,0,174,1.673
H2_squat_normal_20251205_014834,2,232,2.231,15.94,174,337,1.567
H2_squat_normal_20251205_014834,3,442,4.25,17.06,337,512,1.683
H2_squat_normal_20251205_014834,4,582,5.596,18.67,512,621,1.048
H2_squat_normal_20251205_014834,5,660,6.346,18.69,621,733,1.077
H2_squat_normal_20251205_014834,6,806,7.75,21.29,733,906,1.663
H2_squat_normal_20251205_014834,7,1006,9.673,24.3,906,1053,1.413
H2_squat_normal_20251205_014834,8,1101,10.587,26.47,1053,1162,1.048
H2_squat_normal_20251205_014834,9,1223,11.76,27.95,1162,1260,0.942
H2_squat_normal_20251205_014834,10,1298,12.481,28.36,1260,1359,0.952
H2_squat_normal_20251205_014834,11,1421,13.663,28.74,1359,1477,1.135
H2_squat_normal_20251205_014834,12,1533,14.74,27.96,1477,1592,1.106
H2_squat_normal_20251205_014834,13,1652,15.885,26.52,1592,1694,0.981
H2_squat_normal_20251205_014834,14,1736,16.692,25.49,1694,1791,0.933
H2_squat_normal_20251205_014834,15,1847,17.76,24.4,1791,1886,0.913
H2_squat_normal_20251205_014834,16,1926,18.519,23.36,1886,1989,0.99
H2_squat_normal_20251205_014834,17,2052,19.731,22.27,1989,2097,1.038
H2_squat_normal_20251205_014834,18,2143,20.606,20.43,2097,2225,1.231
H2_squat_normal_20251205_014834,19,2308,22.192,18.73,2225,2347,1.173
H2_squat_normal_20251205_014834,20,2387,22.952,16.72,2347,2432,0.817
H2_squat_normal_20251205_014834,21,2478,23.827,15.81,2432,2610,1.712
H2_squat_normal_20251205_014834,22,2743,26.375,13.48,2610,2803,1.856
H2_squat_normal_20251205_014834,23,2863,27.529,12.93,2803,2927,1.192
H2_squat_normal_20251205_014834,24,2991,28.76,12.53,2927,3053,1.212
H2_squat_normal_20251205_014834,25,3116,29.962,12.42,3053,3156,0.99
H2_squat_normal_20251205_014834,26,3197,30.74,12.99,3156,3242,0.827
H2_squat_normal_20251205_014834,27,3287,31.606,12.99,3242,3352,1.058
H2_squat_normal_20251205_014834,28,3417,32.856,13.06,3352,3462,1.058
H2_squat_normal_20251205_014834,29,3507,33.721,13.32,3462,3639,1.702
