Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,0.45,10.048,0.56,0.498,9.938,0.433,0.49,3.22,0.56
,0.474,9.895,0.637,0.282,10.108,0.625,-1.68,3.78,-0.7
,0.517,9.608,0.378,0.287,10.017,0.593,0.21,4.41,-1.26
,0.426,9.689,0.457,0.273,9.854,0.491,3.85,5.67,0.56
75.0,0.335,9.883,0.517,0.414,9.911,0.701,-1.96,0.14,1.47
,0.371,9.797,0.522,0.392,9.943,0.608,-3.5,-0.7,0.49
,0.459,9.78,0.512,0.443,9.844,0.55,-1.33,-0.07,-0.56
,0.517,9.871,0.517,0.407,9.749,0.488,2.03,1.82,-0.91
151.0,0.395,9.811,0.421,0.347,10.201,0.629,1.75,2.24,4.76
,0.275,9.732,0.562,0.455,9.907,0.591,4.62,2.73,3.01
,0.364,9.856,0.436,0.481,9.854,0.464,7.7,2.59,0.98
,0.318,10.026,0.641,0.572,9.763,0.493,6.72,2.31,-0.7
227.0,0.459,9.876,0.498,0.426,9.809,0.476,2.87,1.05,2.94
,0.388,9.84,0.562,0.503,9.749,0.402,2.94,1.05,2.73
,0.4,9.813,0.412,0.57,9.557,0.436,2.87,1.19,2.31
,0.45,9.675,0.514,0.603,9.761,0.328,3.15,0.63,2.31
302.0,0.323,9.82,0.605,0.498,9.876,0.488,4.41,4.97,1.54
,0.352,9.974,0.617,0.385,9.83,0.562,3.85,3.85,1.12
,0.342,9.94,0.5,0.371,9.89,0.469,3.99,2.66,0.07
,0.376,9.856,0.483,0.397,9.837,0.507,4.34,0.63,0.49
378.0,0.39,9.835,0.548,0.546,9.727,0.481,-0.98,-6.09,4.76
,0.519,9.83,0.517,0.529,9.794,0.404,-0.28,-6.86,4.69
,0.622,9.782,0.404,0.498,9.883,0.591,1.12,-6.09,4.9
,0.653,9.785,0.402,0.443,9.871,0.665,0.56,-3.08,3.15
453.0,0.531,10.069,0.613,0.529,10.045,0.613,2.59,-1.19,1.12
,0.598,9.904,0.503,0.452,9.993,0.584,2.73,0.28,-0.07
,0.584,10.029,0.543,0.354,9.842,0.555,1.75,3.71,-0.63
,0.493,10.103,0.67,0.318,9.876,0.562,-0.35,6.23,-0.42
529.0,0.316,9.629,0.531,0.67,9.744,0.373,2.31,2.1,0.21
,0.464,9.55,0.474,0.514,9.739,0.486,5.81,-0.49,0.63
,0.526,9.526,0.392,0.436,9.89,0.644,7.35,-0.7,0.28
,0.55,9.567,0.27,0.445,9.878,0.646,6.51,-0.63,-0.42
605.0,0.426,9.986,0.5,0.514,9.926,0.601,5.81,-2.59,0.28
,0.45,10.043,0.56,0.445,10.055,0.608,3.92,-3.22,-0.28
,0.536,9.995,0.625,0.522,10.053,0.567,2.73,-2.8,-0.77
,0.586,9.904,0.424,0.476,9.871,0.488,5.32,-1.12,-0.91
681.0,0.395,9.749,0.536,0.469,9.526,0.316,0.0,1.68,0.0
