Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,0.79,9.734,1.744,0.852,9.742,1.634,3.85,1.26,6.58
,0.964,9.866,1.551,0.926,9.742,1.632,5.04,-2.59,6.51
,0.888,9.876,1.606,0.893,9.703,1.644,3.64,-3.71,6.3
,0.914,9.859,1.62,1.046,9.66,1.663,2.45,-5.53,5.32
76.0,1.122,9.753,1.625,1.235,9.883,1.747,1.75,-6.02,-1.26
,1.125,9.765,1.673,1.125,9.82,1.778,1.54,-3.57,-2.8
,1.163,9.67,1.653,1.065,9.842,1.685,2.59,-0.98,-2.73
,1.254,9.782,1.642,0.986,9.816,1.78,3.92,1.4,-1.47
152.0,1.022,9.71,1.78,0.943,9.742,1.505,-0.84,0.21,4.41
,1.012,9.617,1.555,0.866,9.608,1.531,3.15,0.21,5.74
,0.945,9.574,1.452,1.017,9.622,1.527,6.16,1.4,7.14
,0.864,9.658,1.491,1.065,9.809,1.531,6.09,0.77,7.07
227.0,1.027,9.792,1.665,1.196,9.828,1.742,4.2,-3.29,0.21
,1.106,9.811,1.656,1.141,9.902,1.785,3.15,-3.43,0.56
,1.196,9.835,1.625,1.041,9.866,1.819,1.12,-1.26,1.19
,1.218,9.811,1.78,0.964,9.753,1.761,-0.91,2.17,1.68
302.0,0.998,9.698,1.627,1.0,9.617,1.505,3.08,1.33,1.89
,1.077,9.612,1.493,1.036,9.682,1.534,4.27,-0.42,1.4
,1.058,9.588,1.527,1.11,9.677,1.596,5.74,-1.47,0.28
,0.993,9.6,1.469,1.129,9.73,1.555,6.16,-3.22,-0.77
378.0,1.141,9.679,1.51,1.132,9.619,1.531,0.35,-3.5,-2.24
,1.163,9.667,1.62,1.065,9.631,1.524,-0.7,-2.87,-2.31
,1.218,9.67,1.582,1.012,9.634,1.543,1.26,0.84,-3.01
,1.11,9.722,1.586,1.007,9.651,1.479,0.7,4.41,-3.64
454.0,0.967,9.564,1.412,0.644,9.677,1.5,-0.49,10.78,-10.92
,0.902,9.617,1.515,0.833,9.557,1.232,-0.35,10.99,-14.49
,0.766,9.703,1.61,1.027,9.572,1.149,2.17,8.54,-18.13
,0.591,9.624,1.718,1.05,9.658,1.555,10.99,2.73,-24.43
530.0,1.165,9.823,1.864,0.218,9.859,1.625,10.29,7.98,-42.7
,1.132,9.794,1.601,0.357,9.768,1.938,10.85,16.1,-47.88
,0.811,9.964,2.065,-0.239,9.495,1.508,2.17,21.07,-51.66
,0.601,9.921,1.785,-0.134,9.392,1.292,3.71,24.57,-51.59
605.0,2.809,6.545,5.188,-0.701,9.256,1.412,25.2,3.43,-90.16
,-0.129,8.885,1.23,-1.062,9.189,1.725,25.97,-9.17,-100.17
,-0.555,9.897,1.003,-1.874,9.433,1.862,11.27,-5.46,-114.59
,-0.593,9.409,1.756,-2.268,9.926,1.508,3.78,2.87,-129.08
681.0,-2.029,10.062,1.328,-3.388,9.299,1.675,-8.75,5.32,-149.17
,-2.173,9.488,1.187,-3.228,9.091,1.926,-16.1,12.81,-143.99
,-2.316,9.328,1.414,-3.475,8.945,1.996,-20.72,20.37,-142.73
,-3.752,9.095,1.969,-3.707,8.686,1.704,-18.41,20.3,-145.18
757.0,-3.563,8.847,1.311,-4.374,8.567,1.366,20.16,9.45,-143.85
,-3.793,8.636,1.113,-4.764,8.279,1.285,14.07,18.62,-146.09
,-3.64,8.76,1.637,-5.492,8.339,1.05,16.17,28.28,-150.22
,-3.824,8.741,1.457,-5.815,7.885,0.849,22.75,42.0,-155.68
832.0,-6.111,8.059,0.531,-6.451,7.566,1.529,0.42,55.44,-145.67
,-6.076,7.99,0.572,-6.782,7.636,1.883,-9.94,55.09,-131.32
,-5.997,7.777,0.952,-6.645,7.442,1.785,-22.75,48.58,-124.18
,-6.693,7.605,1.35,-6.767,7.054,1.73,-25.62,36.26,-125.72
908.0,-6.868,6.892,1.919,-7.452,6.198,0.711,1.89,-13.16,-146.79
,-7.514,6.765,1.675,-7.241,5.717,0.835,9.45,-12.39,-154.35
,-7.825,6.726,1.46,-7.37,5.394,1.29,10.64,-13.09,-152.88
,-7.559,6.516,1.041,-7.753,5.006,0.78,7.77,-14.98,-145.74
984.0,-8.476,5.269,0.771,-9.268,4.671,1.287,42.0,33.81,-128.73
,-8.124,5.025,1.199,-9.49,5.027,1.455,33.67,33.18,-129.64
,-7.851,4.901,1.421,-9.198,4.843,1.256,29.19,27.65,-140.42
,-8.373,4.501,1.424,-9.426,4.468,1.084,28.07,20.72,-156.31
1060.0,-9.27,4.262,0.404,-9.509,3.092,0.668,-3.85,-23.31,-133.98
,-9.05,3.874,0.488,-9.399,2.929,1.18,-11.34,-17.29,-124.11
,-9.179,3.343,0.656,-9.016,2.812,1.488,-15.33,-11.13,-116.27
,-9.122,3.451,0.797,-9.641,2.501,1.665,-13.37,-8.54,-107.59
1135.0,-9.655,2.515,1.938,-9.433,1.79,1.682,3.5,-33.67,-105.91
,-9.636,2.398,2.075,-8.949,1.335,1.519,10.43,-41.3,-112.42
,-9.785,2.158,2.003,-8.906,1.027,1.608,12.95,-45.78,-118.23
,-9.588,1.979,1.984,-9.253,0.531,1.206,12.04,-53.2,-124.95
1211.0,-9.593,0.792,0.826,-9.959,0.323,1.84,21.07,-19.95,-147.49
,-9.287,0.893,0.852,-10.366,0.261,2.065,16.1,-9.31,-137.06
,-9.416,0.775,0.916,-10.481,0.091,2.221,8.82,8.75,-126.7
,-9.555,0.481,1.5,-10.565,-0.124,2.4,2.87,16.31,-113.26
1287.0,-10.541,-0.299,2.465,-9.325,0.067,1.409,3.85,-11.41,-33.32
,-10.56,-0.424,2.486,-9.428,-0.041,1.764,3.5,-26.39,-22.68
,-10.246,-0.074,2.015,-9.758,-0.007,1.876,7.63,-36.75,-11.34
,-9.617,0.211,1.594,-9.952,-0.187,2.194,10.43,-32.76,-1.68
1363.0,-9.765,-0.084,2.06,-9.619,-0.718,1.256,0.14,31.64,-10.08
,-9.691,-0.359,1.878,-9.167,-0.955,1.213,-3.78,35.56,-17.92
,-10.187,-0.29,1.905,-9.378,-0.924,1.287,-7.0,36.05,-26.04
,-10.098,-0.11,1.421,-10.041,-1.165,1.699,-13.3,31.78,-26.6
1438.0,-9.954,-0.9,1.718,-10.464,-1.23,1.701,-19.39,13.72,-36.75
,-10.156,-0.988,1.397,-10.404,-1.122,1.874,-8.61,7.98,-28.28
,-10.227,-1.271,1.632,-9.84,-1.015,1.866,-0.21,3.57,-18.62
,-10.395,-1.24,1.661,-9.629,-0.866,1.419,9.45,-2.03,-7.63
1514.0,-9.701,-0.61,1.414,-9.34,-0.567,1.546,23.03,-24.71,29.89
,-9.744,-0.5,1.486,-9.354,-0.565,1.433,16.8,-17.5,31.08
,-9.351,-0.414,1.522,-9.6,-0.67,1.56,13.51,-9.1,29.68
