Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-0.036,9.78,1.515,-0.079,9.902,1.441,-0.21,-1.4,-4.13
,-0.026,9.928,1.457,-0.105,9.864,1.457,1.54,0.0,-5.25
,-0.139,9.954,1.491,0.002,9.806,1.297,-0.21,1.96,-5.6
,-0.115,9.878,1.462,-0.081,9.957,1.285,-0.77,2.31,-5.74
76.0,-0.022,9.988,1.374,-0.045,9.634,1.273,1.75,-1.47,3.15
,-0.026,9.957,1.345,-0.22,9.658,1.117,-0.49,-1.82,4.34
,-0.01,9.775,1.393,-0.182,9.78,1.328,-1.68,-1.26,3.78
,-0.019,9.703,1.249,-0.306,9.663,1.316,-1.61,-0.77,2.73
152.0,-0.22,9.686,1.218,0.34,9.782,1.764,-9.66,-13.3,0.21
,-0.053,9.603,1.421,-0.268,9.28,2.35,-15.19,-13.93,-3.15
,-1.469,7.468,3.329,0.239,10.172,1.493,14.07,-12.04,17.36
,0.235,10.325,-0.938,0.191,9.945,1.673,28.35,-12.39,13.23
227.0,-1.01,9.957,-0.017,0.182,9.598,1.608,13.02,10.85,-5.95
,1.56,9.186,2.412,-0.361,9.474,1.46,-34.58,-24.5,17.36
,0.591,9.986,2.17,-0.218,9.667,1.302,-7.63,-5.6,4.76
,-0.101,10.167,1.024,0.146,9.978,1.316,3.08,0.21,-0.07
302.0,0.189,10.012,1.275,0.352,9.899,1.228,10.5,-5.67,3.85
,0.146,9.878,1.436,0.278,9.926,1.211,6.65,0.49,2.31
,0.101,9.828,1.426,-0.177,9.832,1.251,5.46,5.53,1.89
,0.285,9.883,1.321,-0.347,9.584,1.122,7.49,5.74,2.87
378.0,-0.103,9.536,0.811,0.462,9.892,1.716,-4.97,-3.22,12.53
,-0.043,9.658,1.168,-0.017,9.416,1.735,-11.27,-5.25,15.47
,0.342,10.036,1.503,-0.098,9.835,2.01,-12.67,-9.17,17.5
,0.617,10.163,1.603,0.144,10.447,2.13,-12.53,-6.3,15.47
454.0,0.5,10.672,2.151,-0.203,10.017,0.476,-5.53,-3.29,42.98
