Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,0.043,9.837,1.146,0.043,9.72,1.182,9.66,2.59,0.07
,0.144,9.899,1.146,0.151,9.847,1.074,6.23,2.31,0.49
,0.081,9.902,1.316,0.084,10.091,1.06,4.27,4.2,-0.14
,0.014,9.605,1.369,0.096,9.907,1.149,7.28,3.57,-1.26
75.0,0.187,9.854,1.153,0.254,9.634,1.345,-8.47,-0.28,0.42
,0.031,9.77,1.256,0.034,9.835,1.237,-11.83,1.19,-0.21
,0.093,9.663,1.467,0.01,9.887,1.249,-9.87,1.33,0.21
,0.201,9.596,1.457,0.091,9.919,1.149,-2.31,0.84,0.63
151.0,0.079,9.861,1.287,0.108,9.648,1.12,-2.87,2.17,0.42
,0.148,9.864,1.251,0.495,9.423,1.259,-5.04,0.21,2.38
,0.349,9.837,1.445,0.22,9.854,1.23,-4.9,0.56,3.5
,0.184,9.923,1.352,-0.074,10.036,0.873,-3.29,3.08,3.5
227.0,-0.089,9.792,1.347,0.873,9.083,1.053,-32.76,-19.18,29.54
,0.297,10.558,1.23,1.823,9.241,1.905,-44.8,-31.99,50.12
,0.244,9.608,1.153,2.115,9.806,2.879,-52.08,-40.04,76.16
,-0.797,10.129,2.795,1.424,11.206,0.816,-40.67,-60.2,103.88
302.0,1.414,10.309,1.642,1.297,10.17,1.326,9.8,-24.43,50.96
,1.51,8.698,2.601,0.73,10.553,1.529,6.3,-13.37,34.44
,2.041,9.076,2.036,0.357,10.701,1.553,40.32,1.05,13.16
,1.986,9.828,1.85,0.464,9.775,1.771,59.99,18.2,-7.35
378.0,1.228,8.875,1.61,1.46,9.385,1.18,16.52,-11.69,23.03
,1.498,9.143,0.778,1.668,10.031,1.141,24.15,-15.89,24.08
,1.043,9.521,0.818,1.46,10.153,1.115,15.68,-11.34,25.83
,1.115,9.505,1.031,1.771,9.263,1.393,4.97,-10.01,35.98
453.0,1.749,9.146,1.484,2.879,9.287,1.034,22.82,-5.95,150.15
,2.819,9.074,0.694,3.077,9.086,1.266,42.07,-8.12,159.67
,3.082,9.072,0.749,4.233,8.983,0.323,42.84,2.24,155.47
,2.845,9.093,1.292,4.513,9.208,0.548,46.27,10.85,153.44
529.0,4.219,9.615,0.507,4.834,8.67,0.151,44.24,9.94,105.35
,4.226,9.284,0.771,4.616,8.591,-0.196,30.24,-2.1,97.65
,4.52,8.698,0.526,4.494,8.122,-0.055,26.11,-15.82,91.28
,4.374,8.428,0.493,4.578,8.167,-0.316,32.34,-23.94,88.2
605.0,4.614,7.968,-0.022,6.104,6.164,0.263,14.21,-7.77,159.53
,4.91,8.531,0.321,6.846,6.224,-0.39,4.2,-7.63,198.03
,5.02,8.086,0.443,7.578,6.265,0.27,-5.18,-4.41,254.59
,5.705,6.858,0.287,8.246,5.827,-0.077,-7.91,5.11,305.2
681.0,8.756,4.898,0.447,9.521,4.506,0.718,-28.7,50.26,325.01
,9.069,4.654,0.179,9.66,4.733,1.204,-19.6,50.26,274.82
,9.631,4.661,0.321,9.445,4.774,1.05,-7.7,49.35,221.9
,9.667,4.637,0.426,8.871,4.25,0.876,3.99,49.49,177.17
757.0,8.856,3.872,0.665,8.217,3.62,1.536,-3.36,7.91,92.68
,8.674,3.503,0.715,8.155,2.867,1.163,-6.86,6.16,89.6
,8.815,3.331,0.876,8.327,2.35,1.228,-0.56,6.86,94.01
,8.751,3.539,1.108,8.959,1.938,1.046,5.11,8.89,109.55
832.0,9.174,1.414,1.074,10.256,-0.505,1.146,24.92,36.33,311.15
,9.361,0.558,0.902,10.955,-1.637,1.019,37.03,52.78,316.75
,9.569,0.572,0.907,11.161,-1.85,0.809,47.46,66.99,311.64
,10.208,-0.122,0.112,11.094,-2.101,1.055,37.87,69.02,299.25
908.0,11.553,-2.596,0.452,9.098,-1.539,1.441,1.33,18.27,112.77
,10.864,-2.544,0.754,8.885,-1.448,1.223,-18.41,4.2,47.53
,10.148,-2.285,1.397,8.93,-1.393,1.302,-27.44,-1.82,5.95
,9.658,-1.749,1.579,8.871,-1.005,1.515,-25.06,-5.88,-14.28
984.0,9.373,-1.139,1.555,10.189,-1.898,1.699,-11.62,1.82,-18.76
,9.823,-1.551,1.646,10.108,-1.833,1.503,-14.28,-2.1,-12.18
,10.194,-1.618,1.749,9.71,-1.706,1.601,-12.53,-3.99,-10.85
,10.352,-1.687,1.728,9.478,-1.608,1.299,-13.86,-8.19,-9.66
1060.0,9.497,-1.823,1.149,9.203,-1.584,0.972,-20.37,-21.0,4.62
,9.488,-1.893,0.945,9.524,-1.795,0.94,-17.43,-18.34,7.84
,9.019,-1.838,0.986,9.698,-1.721,1.299,-9.52,-6.79,10.15
,9.072,-1.646,0.94,10.1,-1.79,1.584,1.05,3.08,12.04
1135.0,10.342,-1.407,1.699,9.698,-1.685,1.378,14.91,21.56,3.71
,10.304,-1.491,1.761,9.392,-1.589,1.228,10.64,12.53,-0.28
,10.053,-1.539,1.744,9.225,-1.575,1.242,7.35,4.9,-2.73
,9.935,-1.682,1.598,9.165,-1.481,1.225,4.13,0.56,-2.17
1211.0,9.191,-1.472,1.22,10.081,-1.74,1.472,-4.48,-9.24,-6.37
,9.373,-1.531,1.206,10.206,-1.826,1.098,-5.67,-9.1,-4.55
,9.509,-1.589,1.292,10.081,-1.811,1.261,-5.53,-5.74,-2.17
,9.876,-1.706,1.371,9.964,-1.67,1.445,-2.59,-0.28,0.21
1286.0,9.636,-1.414,1.479,9.844,-1.675,1.39,4.69,14.56,-18.2
,9.603,-1.314,1.443,9.641,-1.515,1.424,2.52,8.54,-15.12
