Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-0.091,-9.935,0.045,-0.146,-9.981,0.034,2.45,1.4,0.84
,-0.124,-9.935,0.065,-0.127,-9.943,0.091,2.52,1.33,0.77
,-0.117,-9.947,0.072,-0.089,-9.957,0.072,2.38,1.33,0.84
,-0.105,-9.938,0.055,-0.077,-9.945,0.089,2.52,1.26,0.91
76.0,-0.12,-9.94,0.077,-0.055,-9.943,0.048,2.59,1.33,0.91
,-0.117,-9.952,0.079,-0.086,-9.923,0.077,2.59,1.33,0.84
,-0.108,-9.923,0.091,-0.091,-9.943,0.057,2.59,1.54,1.05
,-0.117,-9.983,0.045,-0.115,-9.909,0.103,2.59,1.61,0.98
152.0,-0.074,-9.919,0.072,-0.084,-9.969,0.093,2.52,1.47,0.84
,-0.098,-9.95,0.065,-0.122,-9.952,0.079,2.45,1.33,0.84
,-0.101,-9.933,0.081,-0.136,-9.931,0.105,2.59,1.61,0.98
,-0.096,-9.931,0.065,-0.117,-9.962,0.057,2.66,1.4,0.84
227.0,-0.108,-9.947,0.048,-0.134,-9.954,0.057,2.45,1.47,0.98
,-0.103,-9.943,0.06,-0.074,-9.921,0.043,2.45,1.33,0.84
,-0.144,-9.954,0.055,-0.084,-9.928,0.069,2.45,1.33,0.84
,-0.096,-9.909,0.067,-0.132,-9.933,0.081,2.52,1.54,0.91
302.0,-0.129,-9.923,0.077,-0.096,-9.945,0.031,2.45,1.33,0.91
,-0.115,-9.914,0.057,-0.065,-9.964,0.062,2.52,1.33,0.84
,-0.098,-9.94,0.067,-0.101,-9.943,0.067,2.52,1.26,0.98
,-0.108,-9.94,0.086,-0.124,-9.976,0.06,2.45,1.26,0.91
378.0,-0.12,-9.931,0.103,-0.11,-9.926,0.112,2.45,1.26,0.84
,-0.11,-9.923,0.069,-0.112,-9.952,0.086,2.45,1.47,0.91
,-0.074,-9.964,0.077,-0.105,-9.943,0.093,2.45,1.47,0.91
,-0.122,-9.923,0.084,-0.112,-9.945,0.077,2.59,1.4,0.91
454.0,-0.132,-9.943,0.069,-0.103,-9.959,0.065,2.52,1.4,1.05
,-0.11,-9.923,0.065,-0.074,-9.931,0.081,2.52,1.33,0.91
,-0.127,-9.916,0.077,-0.122,-9.938,0.067,2.52,1.33,0.84
,-0.06,-9.954,0.065,-0.079,-9.928,0.091,2.45,1.61,0.98
530.0,-0.084,-9.909,0.079,-0.105,-9.895,0.055,2.52,1.33,0.84
,-0.151,-9.935,0.065,-0.108,-9.954,0.067,2.52,1.54,0.91
,-0.105,-9.892,0.084,-0.103,-9.983,0.108,2.52,1.4,0.91
,-0.098,-9.926,0.074,-0.091,-9.954,0.062,2.52,1.33,0.84
606.0,-0.141,-9.923,0.055,-0.091,-9.926,0.081,2.52,1.26,0.91
,-0.101,-9.957,0.096,-0.081,-9.931,0.045,2.38,1.47,0.91
,-0.115,-9.969,0.081,-0.093,-9.911,0.065,2.52,1.47,0.91
,-0.084,-9.931,0.06,-0.096,-9.933,0.053,2.52,1.47,0.98
681.0,-0.067,-9.909,0.093,-0.112,-9.935,0.067,2.52,1.33,0.84
,-0.105,-9.909,0.084,-0.096,-9.952,0.034,2.52,1.4,0.91
,-0.105,-9.931,0.053,-0.065,-9.945,0.089,2.52,1.4,0.91
,-0.163,-9.954,0.091,-0.108,-9.971,0.036,2.52,1.26,0.91
757.0,-0.081,-9.954,0.091,-0.127,-9.921,0.05,2.45,1.4,0.91
,-0.11,-9.947,0.053,-0.091,-9.916,0.041,2.52,1.33,0.98
,-0.117,-9.943,0.034,-0.101,-9.966,0.065,2.66,1.33,0.84
,-0.093,-9.923,0.081,-0.067,-9.916,0.084,2.73,1.4,0.84
832.0,-0.11,-9.921,0.101,-0.105,-9.914,0.034,2.52,1.33,0.91
,-0.077,-9.943,0.069,-0.134,-9.94,0.069,2.45,1.54,0.91
,-0.122,-9.931,0.069,-0.117,-9.964,0.115,2.59,1.61,0.98
,-0.098,-9.95,0.014,-0.141,-9.954,0.084,2.52,1.4,0.91
908.0,-0.105,-9.887,0.05,-0.144,-9.966,0.06,2.59,1.47,0.91
,-0.12,-9.928,0.022,-0.12,-9.952,0.045,2.52,1.33,0.98
,-0.093,-9.921,0.026,-0.127,-9.931,0.048,2.52,1.19,0.98
,-0.115,-9.933,0.022,-0.122,-9.938,0.067,2.59,1.47,0.91
984.0,-0.091,-9.935,0.031,-0.101,-9.959,0.038,2.59,1.54,0.91
,-0.091,-9.957,0.103,-0.098,-9.959,0.074,2.59,1.33,0.91
,-0.074,-9.938,0.067,-0.115,-9.926,0.031,2.45,1.26,0.91
,-0.101,-9.962,0.043,-0.108,-9.945,0.077,2.45,1.05,0.84
1060.0,-0.148,-9.916,0.067,-0.139,-9.926,0.031,2.38,1.4,0.91
,-0.11,-9.95,0.065,-0.115,-9.954,0.065,2.52,1.26,0.84
,-0.062,-9.902,0.089,-0.122,-9.943,0.081,2.45,1.26,0.91
,-0.103,-9.907,0.038,-0.084,-9.916,0.031,2.59,1.33,0.7
1135.0,-0.096,-9.923,0.084,-0.105,-9.947,0.098,2.59,1.33,0.84
,-0.081,-9.974,0.065,-0.079,-9.964,0.074,2.52,1.47,0.91
,-0.101,-9.954,0.055,-0.101,-9.921,0.072,2.52,1.61,0.98
,-0.168,-9.962,0.053,-0.122,-9.907,0.065,2.59,1.47,0.91
1211.0,-0.105,-9.957,0.06,-0.136,-9.95,0.079,2.45,1.26,0.91
,-0.11,-9.947,0.048,-0.132,-9.926,0.084,2.45,1.4,0.91
,-0.101,-9.914,0.065,-0.108,-9.964,0.038,2.59,1.33,0.77
,-0.103,-9.94,0.077,-0.129,-9.945,0.067,2.59,1.33,0.91
1287.0,-0.12,-9.921,0.045,-0.103,-9.971,0.05,2.66,1.33,0.91
,-0.072,-9.94,0.05,-0.081,-9.957,0.053,2.45,1.26,0.91
,-0.067,-9.909,0.012,-0.124,-9.952,0.074,2.52,1.19,0.84
,-0.112,-9.954,0.069,-0.084,-9.938,0.031,2.52,1.26,0.84
1363.0,-0.108,-9.952,0.057,-0.101,-9.938,0.06,2.52,1.33,0.84
,-0.079,-9.914,0.069,-0.084,-9.916,0.055,2.52,1.4,0.77
,-0.105,-9.921,0.026,-0.086,-9.911,0.072,2.52,1.4,0.91
,-0.081,-9.923,0.034,-0.117,-9.945,0.038,2.52,1.33,0.84
1439.0,-0.129,-9.959,0.081,-0.129,-9.909,0.041,2.59,1.47,0.91
,-0.101,-9.943,0.041,-0.12,-9.954,0.038,2.59,1.47,0.84
,-0.103,-9.945,0.053,-0.112,-9.938,0.043,2.52,1.47,0.84
,-0.146,-9.923,0.081,-0.11,-9.911,0.043,2.52,1.33,0.98
1514.0,-0.112,-9.931,0.057,-0.098,-9.945,0.05,2.59,1.19,0.98
,-0.129,-9.916,0.062,-0.069,-9.921,0.048,2.52,1.33,0.84
,-0.098,-9.911,0.029,-0.11,-9.95,0.091,2.59,1.33,0.84
,-0.084,-9.95,0.05,-0.098,-9.921,0.022,2.59,1.54,0.91
1590.0,-0.148,-9.945,0.067,-0.096,-9.919,0.034,2.59,1.33,0.91
,-0.129,-9.943,0.055,-0.074,-9.969,0.055,2.59,1.4,1.05
,-0.115,-9.947,0.06,-0.101,-9.914,0.057,2.66,1.4,0.91
,-0.144,-9.945,0.055,-0.117,-9.947,0.038,2.59,1.4,0.91
1665.0,-0.11,-9.95,0.012,-0.093,-9.94,0.043,2.45,1.26,0.84
,-0.089,-9.962,0.05,-0.117,-9.897,0.048,2.52,1.4,0.91
,-0.101,-9.938,0.074,-0.079,-9.887,0.029,2.52,1.26,0.98
,-0.134,-9.947,0.036,-0.096,-9.981,0.048,2.52,1.26,0.91
1741.0,-0.098,-9.928,0.081,-0.136,-9.95,0.055,2.52,1.19,0.91
,-0.105,-9.943,0.065,-0.115,-9.95,0.031,2.59,1.26,0.84
,-0.12,-9.945,0.089,-0.12,-9.931,0.077,2.52,1.26,0.91
,-0.112,-9.916,0.057,-0.072,-9.931,0.017,2.59,1.26,0.84
1817.0,-0.12,-9.945,0.057,-0.156,-9.947,0.089,2.52,1.33,0.91
,-0.117,-9.945,0.05,-0.112,-9.947,0.007,2.59,1.19,0.84
,-0.151,-9.962,0.041,-0.134,-9.935,0.053,2.66,1.12,0.77
,-0.139,-9.943,0.045,-0.112,-9.959,0.067,2.52,1.33,0.77
1893.0,-0.108,-9.962,0.041,-0.093,-9.952,0.055,2.52,1.54,0.98
,-0.146,-9.931,0.041,-0.086,-9.933,0.034,2.59,1.68,0.98
,-0.081,-9.919,0.041,-0.098,-9.957,0.031,2.52,1.4,0.91
,-0.124,-9.931,0.036,-0.117,-9.952,0.043,2.66,1.33,0.91
1968.0,-0.115,-9.935,0.05,-0.122,-9.914,0.041,2.66,1.47,0.91
,-0.108,-9.978,0.024,-0.105,-9.945,0.055,2.59,1.47,0.91
,-0.11,-9.923,0.05,-0.122,-9.931,0.069,2.59,1.54,0.91
,-0.127,-9.931,0.043,-0.089,-9.964,0.057,2.59,1.4,0.84
2044.0,-0.093,-9.926,0.057,-0.108,-9.916,0.096,2.59,1.33,0.91
,-0.101,-9.919,0.026,-0.108,-9.954,0.022,2.52,1.19,0.91
,-0.093,-9.938,0.012,-0.105,-9.943,-0.002,2.66,1.54,0.98
,-0.074,-9.947,0.072,-0.103,-9.954,0.069,2.59,1.4,0.84
2120.0,-0.096,-9.94,0.06,-0.12,-9.969,0.093,2.59,1.19,0.91
,-0.112,-9.911,0.029,-0.11,-9.974,0.029,2.52,1.4,0.98
,-0.122,-9.952,0.057,-0.084,-9.974,-0.007,2.52,1.26,0.84
,-0.122,-9.907,0.067,-0.101,-9.94,0.036,2.52,1.26,0.84
2196.0,-0.122,-9.926,-0.002,-0.12,-9.909,0.017,2.52,1.26,0.84
,-0.079,-9.923,0.026,-0.139,-9.945,0.029,2.52,1.33,0.84
,-0.11,-9.892,0.024,-0.112,-9.95,0.026,2.52,1.47,0.84
