Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-0.074,-0.055,-9.945,-0.031,-0.036,-9.897,2.8,1.33,0.77
,-0.043,-0.05,-9.919,-0.034,-0.084,-9.957,2.8,1.4,0.91
,-0.072,-0.053,-9.943,-0.026,-0.069,-9.914,2.87,1.47,0.84
,-0.06,-0.065,-9.95,-0.041,-0.057,-9.986,2.8,1.33,0.77
75.0,-0.026,-0.069,-9.945,0.002,-0.074,-9.914,2.8,1.26,0.77
,-0.045,-0.057,-9.933,-0.055,-0.074,-9.931,2.8,1.33,0.7
,-0.067,-0.038,-9.943,-0.065,-0.065,-9.923,2.73,1.33,0.77
,-0.067,-0.084,-9.914,-0.05,-0.074,-9.945,2.73,1.33,0.7
151.0,-0.06,-0.041,-9.919,-0.084,-0.069,-9.911,2.73,1.19,0.7
,-0.041,-0.041,-9.952,-0.043,-0.055,-9.916,2.87,1.4,0.84
,-0.062,-0.069,-9.94,-0.041,-0.055,-9.931,2.73,1.33,0.77
,-0.036,-0.057,-9.923,-0.057,-0.079,-9.928,2.87,1.4,0.84
227.0,-0.057,-0.067,-9.938,-0.034,-0.105,-9.916,2.73,1.33,0.7
,-0.069,-0.065,-9.931,-0.057,-0.031,-9.907,2.73,1.19,0.7
,-0.043,-0.057,-9.94,-0.096,-0.072,-9.945,2.8,1.26,0.84
,-0.026,-0.067,-9.943,-0.065,-0.069,-9.916,2.73,1.26,0.77
302.0,-0.041,-0.077,-9.897,-0.017,-0.043,-9.935,2.73,1.4,0.77
,-0.067,-0.079,-9.904,-0.067,-0.072,-9.938,2.8,1.54,0.84
,-0.036,-0.05,-9.938,-0.043,-0.069,-9.895,2.66,1.33,0.77
,-0.024,-0.038,-9.938,-0.067,-0.065,-9.952,2.8,1.26,0.77
378.0,-0.069,-0.084,-9.931,-0.045,-0.072,-9.938,2.73,1.47,0.84
,-0.06,-0.079,-9.923,-0.077,-0.057,-9.921,2.94,1.47,0.91
,-0.034,-0.057,-9.947,-0.081,-0.074,-9.897,2.8,1.19,0.77
,-0.036,-0.057,-9.911,-0.05,-0.055,-9.954,2.66,1.12,0.84
453.0,-0.05,-0.057,-9.931,-0.026,-0.067,-9.914,2.73,1.33,0.84
,-0.014,-0.086,-9.916,-0.012,-0.065,-9.945,2.8,1.33,0.77
,-0.012,-0.038,-9.947,-0.014,-0.034,-9.899,2.66,1.12,0.7
,-0.043,-0.096,-9.926,-0.053,-0.055,-9.957,2.73,1.26,0.77
529.0,-0.086,-0.098,-9.966,-0.05,-0.069,-9.931,2.73,1.33,0.77
,-0.067,-0.055,-9.899,-0.017,-0.057,-9.914,2.8,1.19,0.77
,-0.019,-0.065,-9.89,-0.062,-0.077,-9.923,2.73,1.05,0.7
,-0.05,-0.077,-9.909,-0.036,-0.057,-9.935,2.73,1.26,0.77
605.0,-0.036,-0.055,-9.945,-0.057,-0.053,-9.95,2.73,1.26,0.77
,-0.06,-0.096,-9.94,-0.045,-0.067,-9.916,2.8,1.33,0.84
,-0.05,-0.045,-9.952,-0.048,-0.041,-9.899,2.66,1.33,0.7
,-0.067,-0.036,-9.926,-0.048,-0.055,-9.933,2.66,1.33,0.77
681.0,-0.024,-0.072,-9.938,-0.007,-0.026,-9.895,2.8,1.47,0.77
,-0.05,-0.055,-9.914,-0.043,-0.057,-9.904,2.8,1.4,0.84
,-0.062,-0.069,-9.892,-0.048,-0.072,-9.952,2.73,1.33,0.77
,-0.045,-0.072,-9.926,-0.055,-0.06,-9.909,2.73,1.47,0.77
757.0,-0.079,-0.062,-9.943,-0.06,-0.041,-9.907,2.73,1.4,0.77
,-0.065,-0.06,-9.916,-0.081,-0.065,-9.902,2.73,1.54,0.84
,-0.077,-0.072,-9.94,-0.043,-0.06,-9.933,2.8,1.47,0.77
,-0.057,-0.06,-9.94,-0.019,-0.045,-9.943,2.8,1.4,0.77
832.0,-0.053,-0.065,-9.933,-0.053,-0.098,-9.933,2.8,1.4,0.77
,-0.077,-0.017,-9.95,-0.026,-0.036,-9.919,2.73,1.26,0.84
,-0.084,-0.079,-9.914,-0.017,-0.041,-9.935,2.73,1.19,0.77
,-0.043,-0.077,-9.966,-0.074,-0.079,-9.919,2.73,1.12,0.77
908.0,-0.062,-0.074,-9.938,-0.019,-0.024,-9.933,2.73,1.19,0.77
