Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_butter,AccX_kalman,AccY_butter,AccY_kalman,AccZ_butter,AccZ_kalman,GyroX_butter,GyroX_kalman,GyroY_butter,GyroY_kalman,GyroZ_butter,GyroZ_kalman,MagnX_butter,MagnX_kalman,MagnY_butter,MagnY_kalman,MagnZ_butter,MagnZ_kalman
9466.0,-0.103,-9.904,-0.067,-0.06,-9.916,-0.072,2.66,1.19,0.77,-0.10246608989567904,-0.103,-9.904056751455462,-9.904,-0.06716112008930565,-0.067,-0.05969711492066743,-0.06,-9.916032393459828,-9.916,-0.07238563579918413,-0.072,2.6592089271656274,2.66,1.186394041854811,1.19,0.769710271362805,0.77
,-0.139,-9.95,-0.084,-0.117,-9.921,-0.06,2.66,1.4,0.91,-0.10557616635870228,-0.12057988777665178,-9.908328869539346,-9.926463189936833,-0.06541718630849698,-0.0753016136723078,-0.0706651488198732,-0.087834822313032,-9.92136618927418,-9.91844165108009,-0.06959057224785212,-0.06614003740778274,2.647849296308755,2.66,1.2161280833686032,1.292549345363802,0.7943772547599287,0.8383662302425348
,-0.117,-9.957,-0.06,-0.101,-9.94,-0.062,2.59,1.33,0.84,-0.10856057022085698,-0.11940207689421785,-9.912467555608782,-9.936510037617866,-0.06371623166937607,-0.0702672639310709,-0.08118604480524692,-0.09216626802203408,-9.926443390414784,-9.925534515311975,-0.06692148306710459,-0.0647779329461924,2.636894982139469,2.6369694563309785,1.2456658468501445,1.304870901607122,0.8185027692375512,0.8389037531817409
,-0.144,-9.919,-0.019,-0.101,-9.909,-0.05,2.66,1.47,0.98,-0.11126386416556588,-0.1255193241383086,-9.916364599751596,-9.932155473661341,-0.062156309456175805,-0.057517629433648756,-0.09090786383912426,-0.09436312514549366,-9.931096000167212,-9.921422553591078,-0.06442077375591834,-0.0611028149616499,2.6266707388625723,2.642696912636268,1.2744229345131526,1.3459367882561284,0.8414464227465167,0.8739929199902043
9541.0,-0.103,-9.904,-0.06,-0.11,-9.986,-0.093,2.66,1.47,0.91,-0.1135628814793571,-0.1210055262643051,-9.91993229726721,-9.926511959834125,-0.06082480816539192,-0.05801519849549391,-0.09954738635572186,-0.09749739738389801,-9.935187056069003,-9.934366527331981,-0.062120688811240055,-0.06749632149535065,2.617458046309353,2.6461651623260196,1.3018907580380696,1.3708041536340663,0.862658507256874,0.8812102183513397
,-0.134,-9.938,-0.091,-0.129,-9.95,-0.045,2.59,1.26,0.84,-0.11537690318974467,-0.12319325541609778,-9.923108078651754,-9.928446068200422,-0.05979227286008239,-0.06356846777636364,-0.10690885596701243,-0.10280112599210403,-9.938617895963796,-9.936998554191648,-0.06004577522873131,-0.06370887620556669,2.6094766448578,2.636709283970725,1.3276549725851718,1.3521493406746865,0.8817132656929934,0.8742721308325422
,-0.122,-9.909,-0.043,-0.148,-9.928,-0.069,2.52,1.19,0.91,-0.1166717910412191,-0.12301956408314205,-9.925855546514457,-9.925615481000973,-0.05910866021677407,-0.06057450308386153,-0.11289304354619784,-0.10938031479662937,-9.941331906146928,-9.935688716539847,-0.05821503440899232,-0.06447905695001648,2.6028709817029596,2.619720975493168,1.3513890691512633,1.3285467366221675,0.8983233272701157,0.879472711643361
,-0.117,-9.904,-0.048,-0.117,-9.914,-0.108,2.52,1.19,0.84,-0.11745817717590765,-0.12224552908716789,-9.928162953478667,-9.922836020807763,-0.058801994813170444,-0.0589575910767028,-0.11749618193142375,-0.11036010385182567,-9.943314660786381,-9.932899839241136,-0.05664304799895281,-0.07007526499983627,2.597703644638339,2.6068981989933615,1.3728309973108903,1.3107314893314375,0.9123372377873727,0.8743970517158385
9617.0,-0.105,-9.928,-0.05,-0.103,-9.947,-0.017,2.59,1.33,0.84,-0.1177846099506556,-0.12025361242047998,-9.930040379456022,-9.923432477789015,-0.05887904043878771,-0.057922959151589196,-0.12079959431688016,-0.1095099870791304,-9.944591147258484,-9.934528455277015,-0.05533964275898575,-0.06394489321433292,2.5939577422288966,2.604946400121796,1.3917555053312891,1.3129570671811495,0.9237248699767957,0.8704240764448921
,-0.117,-9.94,-0.091,-0.108,-9.921,-0.055,2.66,1.47,1.05,-0.11772710585763241,-0.11991150122496938,-9.93151657694181,-9.925174521430899,-0.05932750661967503,-0.06140094746924304,-0.12295211019477627,-0.1093512147921809,-9.945221220978961,-9.933105963778305,-0.05430822362114307,-0.0630043546019254,2.59154869487268,2.610735182077797,1.4079538550685853,1.3294698346991756,0.9325560674506049,0.8893061453433428
,-0.132,-9.938,-0.055,-0.093,-9.978,-0.017,2.66,1.54,0.98,-0.11737684991910151,-0.12108140774500799,-9.93263585889514,-9.926415751734169,-0.06011920767922419,-0.06078147351155361,-0.12414834472925317,-0.10776876910128695,-9.945294211182944,-9.937450740302177,-0.05354360319793259,-0.058552123154449895,2.5903432163061595,2.6155029562049488,1.421226787158319,1.3498446237969737,0.938976586625775,0.8980833586156325
,-0.098,-9.974,-0.069,-0.103,-9.945,-0.074,2.66,1.47,0.91,-0.11682781509800948,-0.11900642503879338,-9.93345478867165,-9.930693501745374,-0.06121345411586226,-0.061520306277842794,-0.12460619305530155,-0.10734006416593737,-9.944922914727108,-9.938129407023496,-0.053030619891642164,-0.05994086328920974,2.590180982104583,2.6195031713292787,1.4313900125716277,1.360646405492196,0.9431836258926724,0.8991546461671499
