Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_butter,AccX_kalman,AccY_butter,AccY_kalman,AccZ_butter,AccZ_kalman,GyroX_butter,GyroX_kalman,GyroY_butter,GyroY_kalman,GyroZ_butter,GyroZ_kalman,MagnX_butter,MagnX_kalman,MagnY_butter,MagnY_kalman,MagnZ_butter,MagnZ_kalman
9464.0,-0.017,-0.053,-9.926,-0.062,-0.055,-9.935,2.73,1.47,0.77,-0.016914888042060955,-0.017,-0.0531267571134942,-0.053,-9.925306271193637,-9.926,-0.06233968477622271,-0.062,-0.05380828365060232,-0.055,-9.934309451313393,-9.935,2.729398855982109,2.73,1.4688428932862312,1.47,0.7685517074590962,0.77
,-0.077,-0.062,-9.885,-0.05,-0.045,-9.921,2.73,1.61,0.84,-0.02354033942510122,-0.046299812961086304,-0.05353980547538134,-0.057394971944162945,-9.922382806281515,-9.905978461143258,-0.06093950617522128,-0.05614003740778274,-0.055762979221433015,-0.05011669783981895,-9.930460025105939,-9.928163376975746,2.7351992747331226,2.73,1.4591252062187363,1.5383662302425347,0.7740680512742201,0.8041831151212674
,-0.053,-0.036,-9.876,-0.067,-0.045,-9.933,2.8,1.33,0.7,-0.02995979553090073,-0.048504226535233654,-0.054102758721953095,-0.050355860006198135,-9.919593709010707,-9.896115314593402,-0.05954830010416988,-0.05971304944669704,-0.05757900442653869,-0.048433264510659824,-9.926818922916437,-9.929754663515327,2.740288589530435,2.7530305436690217,1.4499599553792066,1.469812122174676,0.7793188722359068,0.7699060610873381
,-0.007,-0.084,-9.904,-0.06,-0.05,-9.914,2.8,1.33,0.7,-0.035946148133354935,-0.03818255773828163,-0.054890059799633295,-0.05872280715746024,-9.917038254059154,-9.898076153720616,-0.058179024033928904,-0.05978441106018912,-0.05916704790506317,-0.048822895306445686,-9.923509490305017,-9.925836642812675,2.7442573008979934,2.7647113581858203,1.4416565852609915,1.4350423037885671,0.784259640035263,0.7525211518942836
9540.0,-0.079,-0.045,-9.923,-0.084,-0.062,-9.911,2.73,1.26,0.63,-0.041309543261922016,-0.04636405035198684,-0.055948104024406656,-0.05597219273438651,-9.914793867727274,-9.903071916633255,-0.05684602218903054,-0.06463821009975794,-0.060457910598778475,-0.05146412853289519,-9.920637198950855,-9.922862769956904,2.7468202327375884,2.7577537757192845,1.4344020899254701,1.3999566336392828,0.788849596422202,0.727962878673282
,-0.062,-0.036,-9.892,-0.045,-0.069,-9.928,2.73,1.33,0.84,-0.045911599730827465,-0.04899649423210767,-0.05728857827090973,-0.05260970579117035,-9.912909383574597,-9.901207866170154,-0.05556625142545791,-0.06133195194739788,-0.061403757449122,-0.05441644026101791,-9.918283685061068,-9.923727665923709,2.7478433117767773,2.753081193708779,1.4282315654990263,1.388178844874084,0.7930425896227713,0.7468252721333652
,-0.048,-0.06,-9.911,-0.062,-0.079,-9.935,2.8,1.47,0.91,-0.049672994963396506,-0.04885144363428721,-0.05888469944349164,-0.053685443671551765,-9.911403457154535,-9.902633217988752,-0.0543593095804745,-0.061429193623546645,-0.06197882669003478,-0.057994845355397825,-9.916502084267368,-9.925368477023177,2.7473550392587645,2.7599107374053538,1.4230263011309652,1.4000888058984164,0.796788542202263,0.7705771324689588
,-0.065,-0.045,-9.947,-0.007,-0.069,-9.899,2.8,1.54,0.84,-0.05257406675169924,-0.05092793083317397,-0.06067120448265363,-0.052568612408608516,-9.910267336789845,-9.90833818955499,-0.0532463444480177,-0.05443033123328401,-0.0621791332950824,-0.05940996025630661,-9.915313767531575,-9.92197784545508,2.7455417434940412,2.7650656774944466,1.4185392250085116,1.4180795040731307,0.8000432655062273,0.7795039797036933
9615.0,-0.06,-0.053,-9.916,-0.081,-0.043,-9.919,2.8,1.47,0.84,-0.054648957451617894,-0.05197578536308761,-0.06254869328220616,-0.052618439127681715,-9.90947045128442,-9.909223154454894,-0.05224832591555022,-0.05749921742270102,-0.06202073048742187,-0.05751455460252789,-9.914706532710836,-9.921633894280093,2.742727009822372,2.7691007093503286,1.4144406784286763,1.424076496143173,0.8027810592554288,0.7864914737079317
,-0.022,-0.055,-9.914,-0.055,-0.086,-9.911,2.66,1.47,0.77,-0.05597466988142949,-0.04882388819722228,-0.06439238269779064,-0.05286885575139558,-9.908967076198323,-9.909725430733998,-0.05138423498541167,-0.0572364294351278,-0.06153645785332721,-0.06050974533828968,-9.91463445729492,-9.920515760398443,2.7393370360070866,2.7576289760018957,1.4103734480143388,1.4289052657617058,0.8050043002057174,0.7847574264223857
,-0.06,-0.072,-9.895,-0.055,-0.026,-9.899,2.66,1.47,0.84,-0.056657039855463234,-0.049905495294189285,-0.06606463308648934,-0.054720338785705154,-9.908702671154145,-9.90830032595079,-0.05066942800380574,-0.057019991196893736,-0.06077156077829093,-0.057169944687481856,-9.915019808072348,-9.9184334978411,2.7358555795176804,2.7481805922368885,1.4060062133760607,1.432882351619872,0.8067466382243109,0.7901037186473273
,-0.06,-0.074,-9.923,-0.055,-0.072,-9.914,2.8,1.26,0.77,-0.05681588291650447,-0.050812975588448606,-0.06742990841153676,-0.056453550383684506,-9.90861917944585,-9.909621803816268,-0.050114107558241354,-0.05683839712574499,-0.05977885394128151,-0.05850314362602305,-9.915757428853256,-9.918034933271297,2.732774071408366,2.7528390765088453,1.4010780302348862,1.4173404967302572,0.8080694206270974,0.7882964255660451
9691.0,-0.036,-0.091,-9.89,-0.034,-0.06,-9.931,2.66,1.33,0.77,-0.05657139602699838,-0.04956625758729839,-0.06837026071106596,-0.0593611147926933,-9.908659254432704,-9.907970356010477,-0.049721810339965415,-0.05491622823779467,-0.058614126055317926,-0.05862912491691431,-9.916721831928202,-9.91912612403039,2.7305431261155717,2.745025376472507,1.3954307826929586,1.40998957868865,0.8090529397703782,0.7867565267811121
,-0.029,-0.089,-9.916,-0.053,-0.055,-9.866,2.73,1.47,0.84,-0.05603342189433985,-0.04793476419647944,-0.06879916319294421,-0.0617123274584739,-9.908769727183504,-9.908607336805058,-0.04948807445022304,-0.05476421644410823,-0.05733230620273041,-0.05834123134700888,-9.917776874335905,-9.914911700484078,2.729530712691574,2.7438334336844035,1.3890294619364996,1.414750124224664,0.8097847378826979,0.7909802594797879
,-0.06,-0.067,-9.892,-0.043,-0.077,-9.935,2.73,1.47,0.91,-0.05529459907751384,-0.04884221199946724,-0.06867170605762685,-0.06211002269699768,-9.908904665175903,-9.907358269522607,-0.04939967994429874,-0.05387940884151136,-0.05598468193184575,-0.05974459046044401,-9.918787493100984,-9.916422577151417,2.729990563663163,2.74279299657989,1.3819705306714505,1.4189055654612992,0.8103469032651414,0.7999319454481408
,-0.067,-0.081,-9.897,-0.062,-0.007,-9.928,2.66,1.33,0.7,-0.054427745970385584,-0.05014371563830732,-0.06798982263396584,-0.06346400778575094,-9.909028221988908,-9.906615815349479,-0.049434870460992875,-0.05446147197287931,-0.05461733856687264,-0.055963993594163625,-9.919632508353056,-9.917252417105788,2.732042883270413,2.736858607087291,1.3744772524998363,1.412533042720224,0.8108036874973931,0.7927690800906806
9767.0,-0.05,-0.062,-9.926,-0.019,-0.038,-9.954,2.73,1.4,0.77,-0.05348704377439838,-0.050133853645281064,-0.06680213967788133,-0.06336354527002534,-9.90911719419858,-9.90794598857276,-0.04956480239849538,-0.052028050019524735,-0.053271002452233936,-0.05473127611375585,-9.92021695128682,-9.919774094012372,2.7356681413477095,2.73638795868701,1.3668798636267196,1.4116730056264157,0.8111905940373644,0.7912066300211311
,-0.065,-0.055,-9.935,-0.057,-0.067,-9.926,2.8,1.54,0.84,-0.05251190344995864,-0.05111447149668314,-0.06519894551961469,-0.06281185947351138,-9.909162809189123,-9.909730556403895,-0.0497562655964015,-0.05235601550505116,-0.05198239578137307,-0.055540559795599534,-9.92048191677354,-9.920184774386891,2.740713378989092,2.740584009350526,1.3595792574375898,1.4201378584871953,0.8115064543088747,0.7944251944351802
