Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_butter,AccX_kalman,AccY_butter,AccY_kalman,AccZ_butter,AccZ_kalman,GyroX_butter,GyroX_kalman,GyroY_butter,GyroY_kalman,GyroZ_butter,GyroZ_kalman,MagnX_butter,MagnX_kalman,MagnY_butter,MagnY_kalman,MagnZ_butter,MagnZ_kalman
9465.0,0.785,9.873,-0.378,0.639,9.847,-0.328,2.38,1.4,0.35,0.7814542221433659,0.785,9.869021932138569,9.873,-0.37617690168499507,-0.378,0.6356571185318849,0.639,9.842489143353053,9.847,-0.32891063859620917,-0.328,2.386658838708478,2.38,1.351038167057244,1.4,0.35390345559769026,0.35
,0.713,9.806,-0.328,0.701,9.883,-0.433,2.52,1.4,0.84,0.7653283110968011,0.7498402244466964,9.863433379348033,9.840281875526786,-0.3664515995961625,-0.35358348919909477,0.6498926856962023,0.6692764733931225,9.84210320688057,9.864579887776651,-0.33641293560731855,-0.379274672681901,2.2938765080784367,2.448366230242535,1.4246234080211158,1.4,0.4871015567446366,0.5892818058488715
,0.651,9.849,-0.373,0.847,10.026,-0.481,3.36,0.91,1.4,0.7497727346132884,0.7173210229413316,9.85801470628839,9.843150206189534,-0.35691553933362163,-0.359971672054813,0.6633539970582352,0.7277488939721541,9.841476044749985,9.917688358399769,-0.3434771624091466,-0.4127430954396866,2.202019176739904,2.7483008208790216,1.498135939064601,1.2387861943168488,0.6152304959886334,0.8560143883298413
,0.73,9.856,-0.359,0.759,9.959,-0.414,3.85,0.91,1.54,0.7355101074637634,0.7204741524611079,9.853094724751694,9.846345816056115,-0.3479249136678258,-0.359730027336521,0.67542556533374,0.7355207185039045,9.840524057461,9.92796213332951,-0.3497055528470187,-0.4130556745108788,2.11206320479495,3.022281930516309,1.5707951150639767,1.1570204926992576,0.733928388441356,1.0261144849922084
9541.0,0.699,9.861,-0.325,0.519,9.655,-0.333,0.49,2.17,0.84,0.7231441805596308,0.7161698499372109,9.848961488935988,9.849283116657363,-0.33981911260109404,-0.35276870280507144,0.6856242634764272,0.6921210697019204,9.839232915907024,9.87324930582461,-0.3547884158738457,-0.39700922785956017,2.025296626658599,2.5147085804397147,1.6418516444549693,1.3600632091849147,0.8392923404191716,0.9888094947749404
,0.639,9.787,-0.273,0.601,9.756,-0.364,0.56,2.03,0.28,0.7130927481863928,0.7031776554258358,9.845820189355246,9.83879722913723,-0.33289481285688044,-0.3393389695140672,0.6936243365384548,0.6767800697827141,9.83764818015738,9.85350939718365,-0.3585318369301293,-0.39145184619598755,1.943398435562995,2.1856169195023147,1.7104541615940576,1.4728527131644862,0.9280136667133239,0.8694754435215246
,0.61,9.749,-0.294,0.72,9.765,-0.371,1.47,1.89,0.14,0.705547732915917,0.6896146319907279,9.843764122602794,9.825726263596941,-0.3273853803432361,-0.3327393882815003,0.699268984549687,0.6830712017469365,9.835859781095216,9.840625889622284,-0.3608670077896357,-0.3884748570457488,1.868439193551099,2.0814510762493157,1.7755576317920618,1.5335730478990834,0.9974603893212461,0.7632923410319681
,0.459,9.682,-0.337,0.797,9.852,-0.357,2.87,1.61,0.07,0.7004671252990943,0.6599606913931969,9.84276297863979,9.80724499878639,-0.3234475795278621,-0.33328724565602547,0.7025710494899305,0.6977209132009793,9.833986283250862,9.842088447269122,-0.36184315433527314,-0.3844276136722757,1.802827831671537,2.1828478642210776,1.8358759512882916,1.5434005262255326,1.0457414835356798,0.6741442686819371
9617.0,0.792,9.919,-0.364,0.727,9.895,-0.347,3.99,0.77,1.4,0.6975994704388521,0.6752116760479699,9.842670712345022,9.820153077650074,-0.32115631393261546,-0.33683467217732455,0.7037038258949544,0.7011027462943906,9.832162799362662,9.848199909736422,-0.36160811454481,-0.38010459829296583,1.7492140245838188,2.391580019686065,1.8898815426553397,1.4540701617915335,1.071787972700953,0.7579830492444437
,0.859,9.959,-0.306,0.811,9.887,-0.321,2.03,1.47,1.68,0.6965362011903958,0.6945366708851985,9.843251646130849,9.834752569064326,-0.3205064566818706,-0.3335924646865486,0.7029807531309195,0.7126582347760246,9.830532366948942,9.85227966588145,-0.3603813200870371,-0.3738898615115033,1.7103270646398752,2.3535605641329362,1.9358603234387708,1.4557451541660047,1.0754605712505245,0.8549313886712673
,0.854,9.904,-0.357,0.713,9.897,-0.34,0.35,2.66,2.31,0.6967810490880417,0.7099692892698577,9.844219000569666,9.84145423007743,-0.32141964292367564,-0.3358578103420244,0.7008225365127412,0.7126913102944403,9.829237640085287,9.85660763178005,-0.35842394748492534,-0.3706100522743623,1.6887294065017207,2.1596590209476947,1.972026906031761,1.5722911059958011,1.0576566023003648,0.9957507151382698
,0.737,9.828,-0.302,0.677,9.852,-0.354,1.19,3.5,1.61,0.6978219077784057,0.7123993081803752,9.84527713301252,9.84024471569059,-0.32375376653104787,-0.3328140457802554,0.6977126438350127,0.7094827169347429,9.82840955292368,9.856193412839602,-0.35601048696819404,-0.36911683437364406,1.686499427162152,2.0724881810396907,1.9966859881638725,1.745589141447729,1.0203636559133904,1.0509707717948418
9692.0,0.653,9.868,-0.33,0.543,9.746,-0.311,0.98,2.24,-0.07,0.6991915489770653,0.7074000299244865,9.846159129192262,9.84258070904783,-0.3273135977046041,-0.3325772046736623,0.6941457701796319,0.6954708798906857,9.828151843347095,9.84691910393556,-0.3534048923537299,-0.3642254941327279,1.7049064812249672,1.9805400998987104,2.008403056915739,1.7872006943488163,0.9666108345704771,0.9566254843395858
,0.775,9.931,-0.357,0.675,9.825,-0.361,0.98,1.68,1.05,0.7005089649226666,0.7127626440962487,9.846654324159193,9.849594891778793,-0.33186176333025613,-0.3345146319859047,0.6905768754974306,0.6938469526835049,9.828523527252589,9.845180291074167,-0.350843023966377,-0.3639696200468699,1.744163712327305,1.9011686073797105,2.0061422699273983,1.7786966082952937,0.9002984804679703,0.9640327583428527
,0.737,9.873,-0.333,0.648,9.725,-0.383,1.19,1.05,1.4,0.7014995176160729,0.7145855786599208,9.84662371702385,9.851355231516855,-0.3371299097492903,-0.3344007138254703,0.6873791981092741,0.6903987219846741,9.829523897548153,9.836141318038441,-0.3485216234287731,-0.3654009287058728,1.8033268772487938,1.847680353952264,1.9893512994876237,1.7238900428032813,0.8259240770485309,0.996822628516877
,0.522,9.667,-0.261,0.577,9.694,-0.369,2.52,0.84,0.35,0.7019967428317718,0.7007815386850816,9.846003963540308,9.838141121700652,-0.34283020136883874,-0.3291395390538238,0.6848176935940178,0.6822705926498378,9.831085161888057,9.825952993191212,-0.3465928531305768,-0.36565890089860986,1.8803648180057435,1.89587050055873,1.958006533845357,1.6605350731886326,0.7482451415326314,0.9504600426846093
9768.0,0.715,9.844,-0.392,0.727,9.923,-0.321,2.8,2.17,0.07,0.7019311027843487,0.7017572318523903,9.844802722669803,9.838543167139898,-0.3486674737059578,-0.3334531227026188,0.6830405178605664,0.6853399948982744,9.833076063003718,9.83261251135945,-0.34516278908604503,-0.3625943369137173,1.9723796389402777,1.9579132881310708,1.9126497540765435,1.6954953573616953,0.671926073933394,0.8900414904440586
,0.754,9.871,-0.383,0.797,9.971,-0.349,2.45,2.66,0.28,0.7013116291845395,0.7052033294374543,9.843089205425251,9.84068412209508,-0.3543521936044817,-0.3367213908334258,0.682086944814256,0.6927054406350333,9.835316248319547,9.841740986119053,-0.3442923891448297,-0.36169761162005476,2.075917845484073,1.9903728780330125,1.8544348021646104,1.7591171223950441,0.601214610216779,0.8498012317145001
,0.658,9.871,-0.364,0.72,9.887,-0.335,2.03,2.8,0.21,0.7002053905189891,0.7021993990235127,9.840982999655738,9.842613367102778,-0.3596137804595053,-0.3384573498156005,0.6819066932948858,0.6944424146576009,9.837597245242119,9.844621183976328,-0.3440001400950985,-0.3599986262204899,2.187299448153812,1.9928946729638413,1.7851702907303533,1.825356935786421,0.5396887646599503,0.8090854940381752
,0.704,9.895,-0.345,0.744,9.832,-0.347,2.03,2.59,0.56,0.6987177073369231,0.7023103072527194,9.838642084824048,9.845840127925749,-0.36421326326018233,-0.3388603451242481,0.6823840910794325,0.6974949199632506,9.839703894909212,9.843843780662887,-0.34426620673670594,-0.35919797430756756,2.302902983192065,1.9951801799525937,1.7073182998823486,1.8724552153800258,0.4901023316850884,0.7937430436976536
9843.0,0.692,9.811,-0.359,0.593,9.785,-0.359,3.01,1.05,1.05,0.6969743650962258,0.7016938271720534,9.836249276307957,9.84375694608183,-0.3679542780229323,-0.3400645474586755,0.6833615302213167,0.6912468969791503,9.84143137676316,9.840325358004806,-0.3450380830956661,-0.3591861369089229,2.4193687851147287,2.0558588958423867,1.6239109475028792,1.8232784794114756,0.4543356357186314,0.8090653134632626
,0.668,9.811,-0.378,0.648,9.823,-0.333,3.43,0.56,0.14,0.6951063417217882,0.6997329647636661,9.833996403832126,9.84185060686256,-0.3706919215551708,-0.3422722575669277,0.6846596205092165,0.6887300794584577,9.842596392579487,9.839317083015741,-0.34623761950113907,-0.3576621957067736,2.533704135132338,2.1358290821083576,1.5383777073560772,1.7497601085551877,0.4334367296283979,0.7701280619831408
,0.768,9.856,-0.383,0.739,9.919,-0.323,3.15,0.49,0.35,0.6932372710785568,0.7036090724600504,9.832066831445706,9.84265398980499,-0.3723393253728521,-0.3445847223657091,0.6860943587501961,0.6915843359122957,9.843044038514675,9.843841368664354,-0.34776917951963265,-0.35569412424904173,2.643287310642707,2.1934123019842477,1.454316092619606,1.6782326746265814,0.42772604525117286,0.7462737725902837
,0.766,9.876,-0.402,0.708,9.832,-0.369,2.52,1.19,0.63,0.6914735875081354,0.7070727354438888,9.830618193563325,9.844505209937873,-0.3728717517723057,-0.34777215970139164,0.6874928594510281,0.6924956595661924,9.842652900513563,9.843183989267414,-0.34952864642468046,-0.3564328064761434,2.745782481086263,2.2115429784334775,1.3752598238064146,1.6511281979136538,0.43693661703817405,0.7398187770005109
9919.0,0.517,9.663,-0.309,0.634,9.725,-0.361,1.12,2.45,0.77,0.6898973539126071,0.6967351783873267,9.829767806089095,9.834633618100074,-0.3723278902669441,-0.34566344372914426,0.6887088161265142,0.6893142342191296,9.841340621908834,9.836756272375926,-0.35141289017634864,-0.35668120414102134,2.839002251334157,2.1521768216151735,1.3044877306437779,1.6945767378405399,0.46036673685066626,0.7414602544805157
,0.62,9.816,-0.347,0.546,9.706,-0.328,2.66,1.4,-0.28,0.6885624981297586,0.6926392422279386,9.829583236283243,9.833639001136117,-0.3708081529591497,-0.3457347858342114,0.6896381352352863,0.6816644708846367,9.839071810494605,9.829776822332974,-0.35332903927607384,-0.35515027160649293,2.92078210050859,2.1792831809491258,1.2448829937449573,1.6788529519890831,0.4970260922362762,0.6869372041712265
,0.756,9.866,-0.433,0.727,9.887,-0.335,2.59,1.12,0.49,0.6874958815463917,0.6959638949043272,9.830079927860448,9.835337040826085,-0.3684699077801288,-0.3503137482398638,0.6902346537169608,0.6840433074628088,9.83586950734727,9.83277942516589,-0.35520263256908186,-0.3540929506908011,2.9889415011362517,2.200834229574643,1.198821404106224,1.64952893460245,0.5457588140653293,0.6766035556172778
,0.739,9.885,-0.416,0.775,9.959,-0.426,1.96,1.54,1.12,0.6867039353357505,0.6981870495632528,9.83122615091537,9.837902524826509,-0.3655193304168941,-0.35370696182885547,0.6905247004829027,0.6887419388636987,9.83182936532152,9.839299714545492,-0.3569835690868942,-0.3578075175951703,3.041387582414564,2.188393239891274,1.168058727368849,1.64387090024485,0.605327271718368,0.6995084832097991
9995.0,0.632,9.892,-0.357,0.821,9.933,-0.373,2.73,1.26,1.96,0.6861834072860802,0.6948164509455667,9.83295326111252,9.840657457645593,-0.362199100411029,-0.3538746609479564,0.6906170189451651,0.6954772268238887,9.827132309725195,9.844071434311122,-0.3586486468824364,-0.35858120006826505,3.0763752253750543,2.2159747533292973,1.153599919382129,1.6243221405664368,0.674437254195969,0.7636994539832881
,0.759,9.765,-0.371,0.751,9.899,-0.412,2.66,1.54,2.24,0.6859327802958995,0.6980426404896357,9.83516783282751,9.83685453146929,-0.3587713664430921,-0.35473546703615644,0.6907026588254104,0.6982680820027847,9.822049095034156,9.846832421618725,-0.36019950063258127,-0.3612662989189117,3.0928880398556613,2.238293706226352,1.1555526217584307,1.6200836836372594,0.751682440204465,0.8379057803025652
,0.73,9.828,-0.325,0.749,9.775,-0.34,5.25,0.91,0.07,0.6859605855093107,0.6996299336407573,9.837762681436805,9.836414734897454,-0.35549667348340974,-0.3532585332751995,0.6910400606390692,0.7007878904980431,9.816931184896335,9.843264570187605,-0.3616553887627136,-0.3602100210805394,3.091057594024822,2.3878824346613943,1.1729844728761716,1.5848144691267452,0.8353971961151209,0.799764594533269
,0.73,9.883,-0.354,0.57,9.715,-0.323,5.67,0.35,-0.21,0.6862878914689079,0.701122032129258,9.840625348338472,9.838703495245348,-0.3526112177745512,-0.3532949619535653,0.6919242600764485,0.6943622076754261,9.812186628866073,9.836962859514955,-0.36304175711322123,-0.3583818717589474,3.0725005609539333,2.549134721712553,1.2038177935575425,1.5241473378413344,0.9234413546350659,0.7501542905114577
10071.0,0.579,9.823,-0.297,0.634,9.758,-0.273,4.34,0.7,-0.21,0.6869439490549649,0.6951816013286105,9.843643771192754,9.837939623852064,-0.3503058910224985,-0.350556583627562,0.6936442203647215,0.6914259846907753,9.808244529790159,9.8331218375913,-0.36437723176099385,-0.3542286072581,3.0404415010426984,2.6362484969540994,1.2448053543342785,1.484058009612645,1.012987546610068,0.7034491217447671
,0.682,9.876,-0.316,0.694,9.818,-0.39,3.22,0.91,0.14,0.6879559426605598,0.6945462181882733,9.84670905714041,9.839774220477802,-0.34871067382813664,-0.3488908777639696,0.6964361558784453,0.6915500580783464,9.805514486474976,9.83239293065375,-0.3656625961047479,-0.35595286968175943,2.9995237833627293,2.6643866460253194,1.291630768408706,1.4563871089541873,1.100411606136942,0.6762895935911315
,0.749,9.883,-0.325,0.684,9.861,-0.385,1.89,1.19,0.21,0.6893354050744953,0.6971492439758895,9.84971515272622,9.841840519916381,-0.3478871246110297,-0.347748834569919,0.700441649827569,0.6911891465819899,9.804347026042814,9.833760419499132,-0.3668746539568793,-0.3573413945327248,2.9552948385457882,2.627369044269781,1.3391605646413824,1.4436531446448997,1.1813760473780137,0.6539997948621591
,0.68,9.806,-0.313,0.704,9.878,-0.404,1.19,1.68,0.91,0.6910642696831351,0.6963356862944334,9.852555453232718,9.840140250777617,-0.347830161832923,-0.3461003548278529,0.7056776372084207,0.6917968916358759,9.804998748539361,9.835859138870754,-0.36796596982135216,-0.35955487210277376,2.9134542741904883,2.559180462388453,1.3818448807200492,1.454865405659581,1.2511467394893763,0.6661444079796252
