Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_butter,AccX_kalman,AccY_butter,AccY_kalman,AccZ_butter,AccZ_kalman,GyroX_butter,GyroX_kalman,GyroY_butter,GyroY_kalman,GyroZ_butter,GyroZ_kalman,MagnX_butter,MagnX_kalman,MagnY_butter,MagnY_kalman,MagnZ_butter,MagnZ_kalman
9465.0,-9.864,-0.074,-0.129,-9.899,-0.072,-0.112,2.8,1.26,0.77,-9.86465709427494,-9.864,-0.07330352745545189,-0.074,-0.1290575274512638,-0.129,-9.89974820307785,-9.899,-0.07255327960841597,-0.072,-0.1126180678618498,-0.112,2.800513830914874,2.8,1.257867380097752,1.26,0.7725386772999198,0.77
,-9.909,-0.105,-0.057,-9.923,-0.096,-0.06,2.8,1.33,0.98,-9.872070861934652,-9.885974859720815,-0.07377814572233496,-0.08913823669656125,-0.11852635921950896,-0.09384022444669643,-9.901045017404442,-9.910719925184434,-0.0716940548153132,-0.08371992518443452,-0.10692161169384112,-0.08660682876705854,2.7643378795555176,2.8,1.2547639929265366,1.2941831151212675,0.7758143982353191,0.872549345363802
,-9.921,-0.101,-0.06,-9.902,-0.091,-0.086,2.59,1.12,0.84,-9.879152266728468,-9.897498402902434,-0.07418094219969242,-0.09304084895015331,-0.10848488175798086,-0.08270652777685165,-9.902325048772193,-9.90785100207371,-0.07086956508353869,-0.08611512634091488,-0.10152239270632818,-0.0864071773896391,2.729841102598696,2.730908368992935,1.2517176468965348,1.2368755174183166,0.7790307773192987,0.8618403579381004
,-9.902,-0.069,-0.093,-9.868,-0.062,-0.062,2.59,1.33,0.77,-9.885603158162308,-9.898617903208239,-0.07448893592440392,-0.08706214024562216,-0.09933705758667934,-0.08526640709342605,-9.90354247888044,-9.897940472978984,-0.07012461301100457,-0.08011794562303608,-0.09669256613631214,-0.08033736661818792,2.6985989602030935,2.695865925442539,1.2488415066060738,1.2600346061747276,0.7820977277753095,0.8390006176040439
9540.0,-9.88,-0.036,-0.096,-9.89,-0.06,-0.072,2.66,1.33,0.84,-9.891170723720347,-9.894886110397602,-0.07469258931165547,-0.07682718920236808,-0.0914121904056997,-0.08741786015411952,-9.904646652713936,-9.896348875920786,-0.06949786203463285,-0.07608548267588659,-0.09263951999421419,-0.07866621576637595,2.6719327200615184,2.6886769202567082,1.2462614244852852,1.274058545968067,0.7849514689502654,0.8392009349007121
,-9.866,-0.096,-0.081,-9.94,-0.067,-0.069,2.59,1.26,0.7,-9.895665918811988,-9.890022890302344,-0.07479419206426605,-0.08005509346051169,-0.08494212626780905,-0.08633735931684994,-9.905586361855182,-9.90369791048725,-0.06902010356887604,-0.07455586510826283,-0.08948771317175681,-0.07703882688940056,2.6508175816811783,2.6720638292269636,1.2441047854126193,1.2716916712895123,0.787569572794378,0.8157652845286197
,-9.907,-0.065,-0.062,-9.931,-0.057,-0.048,2.59,1.19,0.84,-9.898975714829486,-9.892494093678705,-0.07480540254853926,-0.07786366049850521,-0.0800485820701153,-0.08279479137763186,-9.906314831309873,-9.907672027223676,-0.06871261631812249,-0.0720004175731348,-0.08727186499165471,-0.07281190909640603,2.6358262304047457,2.660118544341942,1.2424873466073392,1.2598005580490137,0.7899755156012919,0.8192929115372551
,-9.923,-0.069,-0.065,-9.892,-0.081,-0.127,2.59,1.05,0.77,-9.90106912771343,-9.8964167430185,-0.07474472287384795,-0.07672391294809859,-0.07674070462824174,-0.08050662049314537,-9.906794635457022,-9.905656815264564,-0.06858614885274862,-0.07315764285578545,-0.08594166038003032,-0.07977976891899262,2.62711090682386,2.651102242424096,1.2414999523124852,1.2328230274733976,0.7922346550319266,0.8129545059556705
9616.0,-9.911,-0.074,-0.084,-9.887,-0.062,-0.089,2.66,1.26,0.77,-9.901997090370557,-9.898101158294438,-0.07463535337315179,-0.07640929183253295,-0.07492218781709294,-0.08091011758665859,-9.907001662248351,-9.903501890293288,-0.06864085192500852,-0.07186889754370757,-0.08537637486154176,-0.08084473664878168,2.6244226152909054,2.652129963378438,1.2411985084803279,1.2359620592915712,0.7944443610277819,0.8079931159113308
,-9.933,-0.079,-0.065,-9.907,-0.067,-0.091,2.59,1.33,0.84,-9.901886029373637,-9.901770705528358,-0.07450349766097604,-0.07668169989896775,-0.07440672186922068,-0.07923719879829133,-9.906927653923338,-9.903869709916258,-0.06886717642330749,-0.071356942170962,-0.08540645674815997,-0.08191254339304588,2.627162523099952,2.645597115177271,1.2416003244035196,1.2458499709913826,0.7967208370627983,0.8113585792686807
