Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,0.811,9.768,-0.333,0.943,9.787,-0.38,3.85,0.77,-0.21
,0.792,9.794,-0.316,0.9,9.785,-0.407,3.29,1.26,-0.42
,0.79,9.801,-0.309,0.859,9.813,-0.357,3.15,1.12,0.56
,0.866,9.825,-0.347,0.842,9.794,-0.357,2.73,1.05,1.61
76.0,1.019,9.88,-0.383,0.895,9.852,-0.45,3.71,0.49,1.19
,1.084,9.911,-0.359,0.945,9.897,-0.426,4.06,0.77,0.98
,0.945,9.954,-0.395,0.943,9.904,-0.445,3.85,1.4,0.49
,0.857,9.928,-0.428,0.938,9.789,-0.376,2.73,2.03,0.91
152.0,0.878,9.811,-0.395,0.95,9.897,-0.385,1.82,1.82,0.56
,0.828,9.679,-0.316,0.993,9.878,-0.404,2.24,1.75,0.49
,0.763,9.73,-0.369,0.988,9.842,-0.431,3.85,1.19,0.28
,0.895,9.792,-0.402,0.955,9.811,-0.428,3.64,1.05,1.19
227.0,0.859,9.773,-0.373,0.823,9.785,-0.392,1.68,1.68,-0.84
,0.926,9.794,-0.395,0.809,9.856,-0.479,2.38,1.96,-0.63
,0.931,9.801,-0.433,0.833,9.83,-0.428,1.89,2.45,-0.28
,0.969,9.943,-0.57,0.79,9.775,-0.481,3.78,2.31,-0.28
302.0,0.871,9.746,-0.447,0.909,9.907,-0.347,2.66,1.12,0.98
,0.881,9.758,-0.447,0.828,9.823,-0.359,2.87,0.98,1.89
,0.818,9.799,-0.407,0.818,9.844,-0.33,3.15,0.91,1.89
,0.842,9.844,-0.39,0.945,9.823,-0.342,3.15,0.84,1.54
378.0,0.919,9.828,-0.323,0.806,9.78,-0.371,1.89,1.4,0.56
,0.89,9.813,-0.349,0.797,9.765,-0.385,0.91,2.03,1.19
,0.749,9.749,-0.369,0.857,9.825,-0.342,0.28,2.94,1.33
,0.763,9.72,-0.376,0.864,9.832,-0.383,0.98,2.59,0.42
454.0,0.873,9.818,-0.431,0.895,9.938,-0.333,-0.14,2.45,1.96
,0.876,9.909,-0.416,0.926,9.864,-0.397,0.7,1.89,3.08
,0.902,9.928,-0.364,0.794,9.813,-0.347,1.05,1.82,3.5
,0.957,9.866,-0.333,1.041,9.856,-0.412,2.1,1.61,2.17
530.0,0.962,9.887,-0.352,0.84,9.804,-0.323,4.62,0.49,0.14
,0.89,9.777,-0.325,0.895,9.828,-0.275,4.27,1.12,0.7
,0.826,9.727,-0.328,0.94,9.873,-0.27,4.76,0.91,0.07
,0.816,9.82,-0.318,0.895,9.832,-0.297,5.18,0.35,0.14
605.0,0.916,9.763,-0.309,0.828,9.823,-0.407,4.27,0.56,-0.98
,0.804,9.768,-0.318,0.854,9.873,-0.409,4.48,0.63,-1.68
,0.768,9.718,-0.299,0.895,9.861,-0.426,4.13,0.84,-1.89
,0.799,9.789,-0.357,0.943,9.83,-0.421,3.57,1.26,-1.12
681.0,1.007,9.907,-0.345,0.864,9.761,-0.414,1.12,2.03,2.8
,1.005,9.876,-0.369,0.869,9.816,-0.486,1.4,2.24,1.96
,0.871,9.787,-0.385,0.945,9.876,-0.404,1.54,2.24,0.84
,0.859,9.825,-0.436,0.94,9.873,-0.471,1.4,2.24,0.63
757.0,0.897,9.82,-0.414,0.739,9.77,-0.335,2.94,0.56,-1.12
,0.759,9.768,-0.371,0.672,9.665,-0.299,1.82,1.19,-0.56
,0.792,9.816,-0.38,0.778,9.813,-0.347,1.61,1.61,0.28
,0.799,9.818,-0.352,0.809,9.785,-0.352,1.4,2.1,0.84
832.0,0.859,9.88,-0.323,0.9,9.902,-0.373,2.03,1.05,1.82
,0.835,9.844,-0.313,0.95,9.887,-0.378,2.45,1.19,1.68
,0.952,9.897,-0.318,0.885,9.902,-0.409,3.15,0.49,1.05
,0.988,9.88,-0.361,0.852,9.868,-0.373,3.64,0.0,0.77
908.0,0.811,9.792,-0.337,0.735,9.792,-0.452,0.91,2.59,-0.56
,0.794,9.78,-0.335,0.737,9.818,-0.507,1.12,2.31,-0.49
,0.799,9.95,-0.325,0.747,9.773,-0.335,2.03,2.03,-0.7
,0.861,9.761,-0.39,0.771,9.794,-0.38,1.96,1.54,-0.07
984.0,0.869,9.789,-0.321,0.711,9.691,-0.299,3.01,0.63,-0.91
,0.914,9.88,-0.325,0.756,9.792,-0.328,2.59,1.47,-1.26
,0.842,9.823,-0.302,0.838,9.799,-0.302,2.1,2.1,-0.63
,0.787,9.816,-0.323,0.888,9.885,-0.354,2.03,2.38,0.07
1060.0,0.871,9.89,-0.361,0.794,9.811,-0.361,4.69,-0.28,0.98
,0.945,9.914,-0.347,0.766,9.775,-0.371,2.8,0.63,1.05
,0.988,9.947,-0.376,0.864,9.842,-0.364,1.54,1.68,1.47
,0.916,9.835,-0.333,0.845,9.837,-0.412,1.19,2.38,1.33
1135.0,0.787,9.794,-0.383,0.797,9.82,-0.419,0.77,1.33,0.0
,0.826,9.799,-0.359,0.847,9.878,-0.421,1.82,1.47,0.35
