Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,9.861,-0.579,-0.141,9.871,-0.61,-0.177,2.66,1.12,0.84
,9.871,-0.617,-0.144,9.885,-0.591,-0.134,2.66,1.26,0.7
,9.861,-0.605,-0.139,9.883,-0.596,-0.12,2.59,1.19,0.7
,9.868,-0.615,-0.139,9.854,-0.577,-0.151,2.66,1.12,0.7
76.0,9.861,-0.589,-0.112,9.866,-0.577,-0.165,2.66,1.19,0.91
,9.895,-0.581,-0.103,9.878,-0.589,-0.112,2.73,1.05,0.77
,9.909,-0.608,-0.115,9.885,-0.591,-0.153,2.66,1.26,0.77
,9.873,-0.632,-0.139,9.823,-0.615,-0.112,2.66,1.33,0.98
152.0,9.892,-0.572,-0.146,9.823,-0.601,-0.091,2.73,1.12,0.77
,9.852,-0.593,-0.11,9.899,-0.627,-0.098,2.73,1.33,0.84
,9.887,-0.591,-0.141,9.856,-0.577,-0.127,2.66,1.33,0.91
,9.897,-0.565,-0.134,9.866,-0.608,-0.141,2.66,1.26,0.91
227.0,9.883,-0.598,-0.101,9.837,-0.601,-0.124,2.66,1.33,0.84
,9.864,-0.586,-0.108,9.895,-0.593,-0.122,2.8,1.47,0.84
,9.873,-0.579,-0.12,9.842,-0.601,-0.141,2.73,1.33,0.84
,9.871,-0.572,-0.101,9.871,-0.586,-0.112,2.73,1.12,0.91
302.0,9.899,-0.579,-0.069,9.895,-0.572,-0.129,2.73,1.33,0.91
,9.885,-0.565,-0.115,9.856,-0.605,-0.115,2.66,1.26,0.91
,9.837,-0.574,-0.112,9.871,-0.598,-0.089,2.59,1.33,0.77
,9.854,-0.55,-0.112,9.892,-0.577,-0.101,2.66,1.19,0.77
378.0,9.878,-0.584,-0.134,9.859,-0.596,-0.129,2.59,1.26,0.84
,9.868,-0.546,-0.132,9.887,-0.584,-0.124,2.66,1.26,0.84
,9.892,-0.558,-0.122,9.84,-0.57,-0.11,2.66,1.12,0.84
,9.887,-0.572,-0.105,9.885,-0.577,-0.11,2.73,1.19,0.84
454.0,9.844,-0.56,-0.129,9.847,-0.529,-0.108,2.66,1.19,0.84
,9.89,-0.608,-0.115,9.871,-0.558,-0.136,2.66,1.47,0.77
,9.88,-0.581,-0.124,9.837,-0.608,-0.096,2.59,1.33,0.91
,9.873,-0.601,-0.122,9.885,-0.558,-0.096,2.66,1.33,0.91
530.0,9.871,-0.591,-0.146,9.849,-0.56,-0.127,2.66,1.19,0.84
,9.871,-0.543,-0.11,9.835,-0.584,-0.127,2.66,1.26,0.91
,9.89,-0.637,-0.117,9.861,-0.586,-0.122,2.66,1.33,0.84
,9.854,-0.61,-0.11,9.84,-0.596,-0.117,2.66,1.19,0.84
606.0,9.866,-0.581,-0.136,9.89,-0.589,-0.093,2.66,1.19,0.84
,9.835,-0.584,-0.12,9.856,-0.584,-0.146,2.66,1.26,0.91
,9.854,-0.56,-0.156,9.861,-0.622,-0.122,2.66,1.26,0.84
,9.859,-0.601,-0.117,9.892,-0.57,-0.132,2.66,1.19,0.84
681.0,9.892,-0.593,-0.12,9.842,-0.584,-0.103,2.66,1.26,0.84
,9.885,-0.589,-0.115,9.89,-0.613,-0.103,2.73,1.19,0.84
,9.849,-0.574,-0.134,9.847,-0.61,-0.134,2.8,1.47,0.98
,9.871,-0.56,-0.124,9.873,-0.596,-0.117,2.66,1.26,0.91
757.0,9.883,-0.596,-0.096,9.864,-0.61,-0.127,2.66,1.26,0.77
,9.873,-0.613,-0.101,9.876,-0.581,-0.091,2.73,1.26,0.84
,9.876,-0.584,-0.136,9.842,-0.579,-0.12,2.59,1.19,0.84
,9.871,-0.603,-0.122,9.909,-0.586,-0.148,2.8,1.05,0.7
833.0,9.852,-0.574,-0.105,9.861,-0.617,-0.101,2.66,1.05,0.84
,9.892,-0.605,-0.136,9.859,-0.548,-0.112,2.73,1.33,0.91
,9.837,-0.589,-0.127,9.866,-0.558,-0.139,2.66,1.19,0.84
,9.871,-0.617,-0.105,9.885,-0.589,-0.144,2.73,1.26,0.84
909.0,9.866,-0.586,-0.101,9.88,-0.579,-0.103,2.66,1.26,0.84
,9.88,-0.577,-0.124,9.89,-0.581,-0.093,2.59,1.19,0.91
,9.856,-0.591,-0.153,9.904,-0.562,-0.141,2.73,1.33,0.91
,9.904,-0.577,-0.12,9.895,-0.55,-0.124,2.73,1.19,0.84
984.0,9.873,-0.598,-0.151,9.887,-0.589,-0.132,2.73,1.19,0.84
,9.878,-0.605,-0.086,9.84,-0.562,-0.12,2.73,1.12,0.84
,9.871,-0.596,-0.105,9.852,-0.593,-0.089,2.8,1.26,0.91
,9.883,-0.605,-0.139,9.876,-0.601,-0.112,2.66,1.19,0.77
1060.0,9.844,-0.574,-0.127,9.847,-0.574,-0.12,2.73,1.26,0.84
,9.847,-0.598,-0.132,9.885,-0.574,-0.146,2.66,1.19,0.77
,9.897,-0.601,-0.12,9.849,-0.574,-0.124,2.59,1.19,0.77
,9.892,-0.605,-0.081,9.847,-0.586,-0.108,2.66,1.19,0.77
1135.0,9.878,-0.574,-0.103,9.854,-0.603,-0.168,2.59,1.12,0.91
