Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-9.907,-0.086,-0.105,-9.864,-0.074,-0.096,2.73,1.19,0.84
,-9.928,-0.041,-0.089,-9.895,-0.077,-0.057,2.73,1.33,0.84
,-9.885,-0.055,-0.105,-9.897,-0.089,-0.101,2.66,1.19,0.84
,-9.914,-0.057,-0.117,-9.902,-0.069,-0.115,2.66,1.19,0.7
75.0,-9.904,-0.089,-0.079,-9.878,-0.079,-0.103,2.73,1.4,0.77
,-9.868,-0.096,-0.043,-9.883,-0.048,-0.098,2.8,1.33,0.7
,-9.907,-0.065,-0.101,-9.907,-0.055,-0.086,2.8,1.4,0.77
,-9.887,-0.079,-0.084,-9.916,-0.053,-0.086,2.8,1.19,0.77
150.0,-9.904,-0.069,-0.117,-9.864,-0.081,-0.091,2.66,1.4,0.84
,-9.89,-0.089,-0.086,-9.933,-0.053,-0.084,2.73,1.26,0.77
,-9.892,-0.077,-0.122,-9.876,-0.057,-0.103,2.66,1.19,0.77
,-9.883,-0.117,-0.074,-9.876,-0.084,-0.101,2.73,1.19,0.77
226.0,-9.907,-0.096,-0.081,-9.856,-0.038,-0.084,2.8,1.4,0.7
,-9.897,-0.062,-0.084,-9.883,-0.06,-0.079,2.73,1.26,0.77
,-9.899,-0.048,-0.093,-9.916,-0.041,-0.084,2.66,1.12,0.77
,-9.859,-0.048,-0.081,-9.904,-0.057,-0.091,2.73,1.26,0.77
302.0,-9.914,-0.069,-0.081,-9.88,-0.048,-0.101,2.73,1.26,0.77
,-9.892,-0.086,-0.077,-9.895,-0.045,-0.084,2.73,1.26,0.77
,-9.935,-0.079,-0.108,-9.895,-0.081,-0.132,2.73,1.26,0.77
,-9.902,-0.014,-0.079,-9.899,-0.079,-0.089,2.73,1.19,0.7
378.0,-9.89,-0.05,-0.084,-9.916,-0.038,-0.134,2.73,1.4,0.84
,-9.935,-0.093,-0.117,-9.902,-0.079,-0.105,2.73,1.26,0.77
,-9.926,-0.067,-0.115,-9.873,-0.041,-0.084,2.66,1.12,0.77
,-9.916,-0.091,-0.089,-9.89,-0.115,-0.093,2.66,1.12,0.77
453.0,-9.876,-0.062,-0.069,-9.911,-0.036,-0.124,2.8,1.47,0.84
,-9.876,-0.065,-0.081,-9.866,-0.062,-0.053,2.66,1.26,0.91
,-9.926,-0.055,-0.086,-9.899,-0.091,-0.072,2.66,1.26,0.84
,-9.883,-0.084,-0.108,-9.878,-0.074,-0.129,2.66,1.26,0.84
529.0,-9.897,-0.086,-0.053,-9.902,-0.072,-0.062,2.73,1.26,0.84
,-9.909,-0.081,-0.057,-9.887,-0.053,-0.091,2.73,1.4,0.91
,-9.902,-0.065,-0.096,-9.899,-0.079,-0.074,2.66,1.19,0.84
,-9.926,-0.067,-0.117,-9.892,-0.036,-0.089,2.66,1.26,0.77
605.0,-9.859,-0.089,-0.072,-9.926,-0.077,-0.127,2.73,1.19,0.91
,-9.897,-0.098,-0.117,-9.933,-0.072,-0.117,2.73,1.33,0.91
,-9.916,-0.06,-0.065,-9.88,-0.038,-0.127,2.73,1.19,0.77
