Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-0.002,0.029,9.966,-0.031,0.038,9.986,2.66,1.33,0.84
,-0.019,0.065,10.007,-0.014,0.041,9.969,2.73,1.61,0.84
,-0.034,0.029,9.957,-0.012,0.024,10.0,2.66,1.47,0.77
,-0.012,0.055,9.988,-0.005,0.043,9.99,2.73,1.4,0.77
76.0,-0.031,0.0,9.976,0.029,0.055,9.986,2.59,1.47,0.77
,0.019,0.031,9.964,-0.065,0.041,9.974,2.73,1.26,0.7
,-0.01,0.041,9.964,-0.031,0.034,9.976,2.73,1.33,0.7
,-0.01,0.065,9.99,-0.072,0.031,9.993,2.66,1.4,0.84
152.0,-0.01,0.057,9.957,0.005,0.05,9.983,2.66,1.54,0.84
,0.002,0.053,9.983,0.029,0.034,9.95,2.66,1.4,0.84
,-0.034,0.031,9.983,-0.045,0.031,9.99,2.66,1.47,0.77
,-0.034,0.036,9.998,0.043,0.055,9.94,2.59,1.26,0.7
227.0,-0.041,0.034,9.976,-0.01,0.038,9.95,2.73,1.4,0.84
,-0.022,-0.007,9.959,-0.05,0.06,9.966,2.73,1.26,0.77
,-0.01,0.045,10.0,-0.055,0.012,9.99,2.66,1.4,0.7
,-0.012,0.031,9.957,-0.055,0.057,9.99,2.73,1.4,0.77
302.0,-0.007,0.034,9.995,-0.014,0.031,9.995,2.73,1.61,0.84
,-0.024,0.062,9.959,-0.017,0.036,9.94,2.66,1.4,0.84
,-0.026,0.048,9.974,-0.067,0.034,9.957,2.73,1.4,0.7
,-0.019,0.024,9.962,-0.05,0.024,9.962,2.66,1.33,0.7
378.0,-0.074,0.031,9.998,-0.036,0.053,10.0,2.59,1.4,0.77
,-0.045,0.081,9.962,-0.045,0.045,10.0,2.8,1.54,0.84
,-0.022,0.01,9.971,-0.024,0.024,9.976,2.73,1.47,0.77
,-0.022,0.031,10.005,-0.038,0.038,9.981,2.59,1.54,0.77
