Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,-0.002,0.258,9.835,-0.01,0.249,9.871,-2.975,1.4,0.98
,-0.007,-0.235,10.129,-0.019,0.148,9.914,-8.645,1.4,1.19
,-0.014,-0.316,10.139,-0.002,-0.191,10.127,1.855,1.33,0.945
,-0.002,0.153,9.935,-0.019,-0.077,10.053,11.06,1.26,0.63
75.0,-0.022,0.187,9.876,-0.036,0.093,9.916,7.35,1.26,0.665
,-0.053,0.187,9.911,0.031,0.122,9.919,1.68,1.085,0.735
,-0.017,-0.067,10.033,0.005,0.012,10.0,-1.715,1.12,0.91
,-0.002,-0.091,10.029,0.0,-0.034,10.014,2.765,1.155,0.91
150.0,-0.012,0.115,9.909,0.002,0.134,9.933,4.515,1.365,0.735
,-0.005,0.069,9.911,-0.026,0.062,9.988,2.415,1.26,0.805
,-0.014,0.01,10.017,0.029,0.017,10.002,1.015,1.47,0.98
,0.005,-0.007,10.019,-0.002,0.05,9.998,2.835,1.365,0.875
226.0,0.002,0.065,9.943,0.022,0.084,9.974,3.045,1.19,0.805
,0.0,0.057,9.986,0.01,0.034,9.978,2.065,1.26,0.875
,-0.005,0.029,9.99,-0.022,0.01,9.988,2.24,1.33,0.805
,-0.002,0.043,9.981,0.045,0.043,10.005,2.94,1.33,0.84
302.0,0.0,0.053,9.943,-0.029,0.048,9.966,2.45,1.365,0.84
,-0.01,0.038,9.99,-0.017,0.057,10.0,2.45,1.365,0.805
,-0.031,0.074,9.978,-0.005,0.026,9.986,2.8,1.225,0.875
,-0.007,0.096,9.94,-0.01,0.053,9.981,2.66,1.435,0.84
378.0,0.038,0.017,10.029,-0.062,0.041,10.007,2.38,1.225,0.805
,0.005,0.026,9.952,-0.014,0.043,9.952,2.59,1.4,0.84
,0.031,0.048,9.959,0.019,0.057,9.978,2.555,1.4,1.015
,-0.026,0.005,9.957,0.026,0.014,10.0,2.485,1.4,0.875
453.0,0.036,0.096,9.962,-0.579,-0.17,12.355,1.82,1.19,0.665
,0.005,0.17,9.99,-0.687,-0.136,12.249,0.91,1.12,-1.785
,0.727,0.105,10.282,-0.213,1.263,9.696,2.8,1.26,-6.65
,0.926,-0.108,10.089,-0.931,1.072,10.524,14.525,1.365,-10.29
529.0,1.68,-0.23,8.902,0.809,0.871,9.201,-11.725,-0.98,-30.905
,-0.483,0.266,8.538,-0.323,0.761,10.275,7.385,-0.035,-21.63
,-0.366,-0.419,10.244,-0.38,-0.043,10.191,-3.99,0.595,-13.72
,0.455,-0.316,10.211,-0.639,0.637,9.598,6.72,1.575,-1.855
605.0,-0.285,0.041,10.191,0.309,0.206,10.156,-4.69,0.98,1.785
,0.072,-0.112,10.263,0.419,0.725,9.624,0.875,1.19,1.085
,-0.055,0.4,10.007,-0.29,0.261,10.072,4.41,1.19,0.665
,0.069,0.165,10.072,0.474,-0.127,10.139,2.17,1.155,0.77
681.0,0.67,0.345,9.981,-0.704,-0.038,10.158,-2.275,1.12,3.395
,0.871,0.304,9.887,0.057,0.369,9.505,1.4,0.665,1.54
,0.653,0.33,9.907,-0.153,0.306,9.653,11.41,0.42,-4.585
,-0.175,0.127,8.399,0.78,-1.161,10.455,14.525,0.35,-10.255
757.0,1.68,-2.338,8.658,-6.614,2.398,12.218,18.655,0.945,-23.135
,0.912,-0.488,9.246,-0.246,0.479,9.84,37.485,0.595,-49.7
,0.938,0.156,8.88,0.225,-0.476,10.438,43.155,0.07,-65.905
,1.022,0.622,10.646,0.567,-0.108,9.911,17.85,0.245,-76.93
832.0,-0.134,0.072,10.457,-0.888,-0.151,10.313,14.735,1.295,-12.04
,-0.34,1.161,9.493,-1.125,-0.383,9.694,22.4,2.31,-4.025
,0.022,0.361,9.921,-0.285,0.84,9.866,19.67,2.275,-0.14
,-0.16,0.684,9.83,0.211,-0.206,10.388,15.225,2.03,0.175
908.0,0.445,-0.177,10.249,0.299,0.797,9.777,-7.455,2.695,38.885
,-0.567,-0.424,8.48,0.06,0.184,10.254,1.47,3.255,42.21
,0.909,-0.038,9.998,0.388,0.861,9.335,17.92,4.655,48.09
,1.07,0.854,9.428,-0.316,0.749,9.911,21.945,4.9,46.445
983.0,-0.208,0.218,10.261,0.177,0.407,10.203,7.56,1.715,8.225
,-0.031,0.864,9.208,0.443,0.127,10.072,-2.485,1.855,11.97
,0.098,0.237,9.708,0.232,-0.189,10.347,-5.635,2.065,10.115
,-0.512,0.443,9.727,0.122,0.175,9.926,-3.115,1.4,4.97
1059.0,0.168,-0.002,10.002,0.304,0.258,9.481,-6.72,1.015,9.8
,-0.565,0.031,10.141,0.369,0.902,9.794,-6.125,1.365,10.675
,-0.881,-0.227,10.479,-0.12,0.455,9.78,-0.35,1.96,20.3
,0.156,0.108,10.223,-0.524,0.132,9.655,7.525,2.66,30.625
1135.0,-0.924,0.708,10.163,-0.565,0.223,9.497,1.575,1.575,17.99
,-1.565,0.742,8.473,0.644,0.878,9.998,1.4,2.835,21.7
,0.526,-1.278,10.462,-0.675,0.005,8.938,6.93,2.45,38.745
,1.953,0.646,9.885,-0.223,-0.201,9.825,20.265,6.265,32.97
1211.0,-0.794,0.462,9.17,0.019,0.297,9.749,-4.865,1.225,22.4
,0.256,-0.101,8.768,-0.749,0.591,10.153,-5.18,2.17,31.36
,0.086,-0.129,11.512,-0.043,0.141,10.268,-3.78,1.715,31.675
,0.538,-0.38,10.27,-0.101,0.132,9.904,5.005,1.54,2.135
1286.0,-0.33,0.589,9.919,0.134,0.019,10.053,1.68,1.12,-6.755
,-0.493,0.292,9.95,0.244,-0.237,10.227,-4.445,0.805,-4.06
,0.026,0.383,9.756,-0.029,0.017,10.129,-12.285,0.21,-3.78
,0.567,0.163,10.045,0.153,0.105,9.883,-13.125,0.525,-1.925
1362.0,0.476,-1.17,9.859,-0.861,3.113,9.459,0.91,0.665,-20.825
,0.514,-0.826,9.933,-0.01,-0.01,10.311,8.085,0.49,-36.89
,0.476,-0.404,9.39,-0.062,0.266,10.031,8.89,0.35,-50.82
,0.048,0.266,9.698,-0.024,0.261,10.127,-1.365,-0.42,-56.35
1437.0,-0.05,0.28,9.907,-0.629,0.266,9.497,2.555,1.435,3.15
,0.299,0.203,10.014,0.524,0.081,9.584,1.225,1.365,6.615
,-0.005,-0.129,9.923,0.239,-0.304,10.488,-1.435,1.435,6.685
,-0.297,0.254,10.021,0.246,-0.124,10.038,-10.325,1.4,12.88
1513.0,-0.065,0.043,10.184,-0.096,0.364,9.926,2.835,1.54,0.455
,-0.043,0.436,9.737,-0.005,0.258,9.966,5.39,1.4,-3.57
,-0.153,0.282,9.856,0.048,0.179,9.983,4.445,1.4,-3.955
,-0.175,0.313,10.012,0.089,0.096,9.933,3.57,1.435,-2.345
1589.0,0.275,0.163,9.931,0.01,-0.062,10.055,-4.165,1.225,-2.485
,-0.112,0.136,10.072,0.031,0.038,9.971,-7.315,1.33,-3.5
,-0.084,0.043,10.115,-0.048,0.093,9.962,-3.15,1.26,-1.015
,-0.024,0.189,9.794,-0.115,0.206,9.904,-1.19,1.365,0.385
1665.0,0.01,0.098,9.919,-0.005,0.711,9.56,2.345,1.295,0.42
,-0.012,0.0,9.966,-0.072,-0.357,10.203,1.785,1.365,0.385
,0.043,-0.146,10.065,0.01,0.038,9.945,1.015,1.4,0.035
,-0.048,0.091,9.966,0.022,-0.156,10.093,2.415,1.26,0.28
1741.0,0.038,-0.012,10.014,-0.168,-0.4,10.519,3.115,1.33,0.91
,0.024,0.12,9.947,-0.029,0.373,10.014,2.765,1.26,0.84
,0.014,0.067,9.61,-0.055,0.584,10.014,3.78,1.12,0.805
,-0.036,-0.235,9.959,0.038,0.306,9.897,6.02,1.19,0.63
1816.0,0.012,-0.598,10.385,-0.036,-0.373,10.218,-6.93,1.365,1.155
,0.043,0.038,9.983,-0.005,0.325,9.871,12.215,1.26,0.49
,0.026,0.529,9.722,-0.053,0.313,9.842,8.68,1.26,0.665
,0.026,0.026,10.005,-0.005,-0.208,10.115,-5.18,1.575,1.12
1892.0,-0.034,0.062,10.002,0.072,0.134,9.969,6.195,1.575,0.805
,0.036,0.244,9.806,-0.014,0.036,9.974,4.13,1.47,0.945
,0.048,-0.017,10.029,-0.017,0.101,9.926,0.665,1.33,0.945
,0.065,0.041,10.036,-0.041,0.096,10.026,3.01,1.33,0.805
1968.0,-0.089,0.043,9.981,-0.041,0.084,9.969,2.835,1.295,0.77
,-0.045,0.168,9.931,-0.055,-0.01,10.014,3.08,1.47,0.875
,-0.053,0.045,9.998,-0.01,0.036,9.978,1.68,1.225,0.77
,-0.026,0.002,9.99,0.031,0.086,9.978,2.835,1.295,0.84
2044.0,0.065,0.043,10.0,0.0,0.091,9.974,2.24,1.26,0.84
,-0.007,0.031,9.983,-0.029,0.084,9.998,3.01,1.295,0.84
,0.019,0.156,9.969,-0.002,0.072,9.993,2.625,1.33,0.84
,0.043,0.072,9.981,-0.01,0.038,9.983,2.485,1.47,0.84
2119.0,-0.026,0.01,9.995,0.026,0.053,9.952,2.24,1.015,0.84
,0.007,0.026,9.95,-0.031,0.057,9.957,2.555,1.19,0.805
,-0.019,0.057,9.974,-0.019,0.055,9.976,2.555,1.26,0.735
,0.007,0.043,9.99,0.014,0.065,9.943,2.59,1.435,0.805
2195.0,-0.024,0.079,9.952,0.0,0.072,9.964,2.485,1.26,0.805
,0.017,0.11,9.981,-0.026,0.105,9.986,2.625,1.26,0.84
,0.01,0.06,9.988,0.022,0.074,9.974,2.59,1.26,0.805
,-0.048,0.055,10.007,-0.012,0.057,10.0,2.52,1.295,0.805
2270.0,0.0,0.093,9.983,0.029,0.067,9.993,2.59,1.26,0.77
,-0.019,0.024,10.031,0.01,0.029,9.969,2.555,1.12,0.84
,0.012,0.055,10.024,-0.005,0.057,9.976,2.625,1.47,0.84
,0.019,0.057,9.959,0.031,0.034,10.017,2.555,1.19,0.805
2346.0,-0.026,0.05,9.986,0.0,0.079,9.974,2.52,1.295,0.84
,0.0,0.062,9.99,0.024,0.041,9.95,2.555,1.19,0.735
,0.0,0.036,9.986,-0.002,0.036,9.99,2.625,1.295,0.875
,0.022,0.089,9.962,-0.034,0.077,9.974,2.66,1.225,0.805
