Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_butter,AccX_kalman,AccY_butter,AccY_kalman,AccZ_butter,AccZ_kalman,GyroX_butter,GyroX_kalman,GyroY_butter,GyroY_kalman,GyroZ_butter,GyroZ_kalman,MagnX_butter,MagnX_kalman,MagnY_butter,MagnY_kalman,MagnZ_butter,MagnZ_kalman
0.0,9.15,0.232,-3.676,9.129,0.318,-3.74,2.8,0.63,0.49,9.151741807528602,9.15,0.24134685066014658,0.232,-3.7044649844594164,-3.676,9.123242034980146,9.129,0.3334956158784096,0.318,-3.816713039418068,-3.74,3.0492658373851045,2.8,0.8901917963324241,0.63,0.3181725758952375,0.49
,9.172,0.29,-3.795,9.244,0.275,-3.716,3.15,0.98,0.7,9.146018887889618,9.1607432647524,0.23182180986123607,0.2603231525290501,-3.668443778538941,-3.7341112957061546,9.172531970693075,9.185157974842081,0.28843520432684017,0.2970018007112215,-3.7621790293696042,-3.7282800748155656,3.1389349039734973,2.9709155756063366,1.329261921929318,0.8009155756063367,0.2706093385507487,0.592549345363802
,9.088,0.369,-3.738,9.241,0.261,-3.604,3.29,1.19,0.77,9.140829880988683,9.136810165673722,0.22732206247361839,0.2960786794074974,-3.623315801531298,-3.7353907096212304,9.214488548793518,9.20353043482731,0.2512437613525698,0.28515692866203296,-3.700765613210729,-3.6873909649551493,3.2745165810532075,3.0758968294649494,1.7303095675797735,0.9289273731339709,0.19663344435441715,0.6509319889451652
,9.06,0.352,-3.781,9.165,0.354,-3.518,3.08,1.05,0.77,9.136514431797226,9.1177082775889,0.22910260383231562,0.309985729316113,-3.5646126875031023,-3.7467332650343286,9.245443572515908,9.193948317050644,0.22539485883741459,0.3022774833773995,-3.6318105271668553,-3.645265196487234,3.4867548159113024,3.0769172452349975,2.0521501756770535,0.959036874242906,0.08705150621022832,0.680542962983593
76.0,9.131,0.409,-3.52,9.196,0.345,-3.733,3.08,1.26,0.98,9.133338150955854,9.120372484915576,0.23779524494722984,0.3298322576472473,-3.4892526607346346,-3.701286602275173,9.262625767474724,9.194359558617133,0.2131960285130494,0.3108408311723328,-3.555209570303671,-3.6628508561251425,3.796264025032477,3.0775351559599766,2.2544940485504217,1.01936225118816,-0.06101188752530578,0.7405664578601835
,9.15,0.333,-3.556,9.277,0.352,-3.697,2.59,0.91,0.91,9.131487888081628,9.125360526737333,0.25338470624854953,0.3303655737654252,-3.395967069778849,-3.676826378519501,9.264310880370205,9.208272773296516,0.21560890341420166,0.3177703240736495,-3.471635945479333,-3.668600152255433,4.211382769030013,2.9954545042220326,2.3002224676030885,1.00095019465579,-0.24348395122950692,0.7690920224171038
,9.225,0.287,-3.527,9.313,0.256,-3.637,2.31,1.05,0.91,9.131071406821668,9.139864138195973,0.2751966913076514,0.3240532417951761,-3.285584924854632,-3.6550175159357585,9.249924941335378,9.223516962727787,0.23213824780234843,0.30877898007410076,-3.3827163844689387,-3.664000405635552,4.727060510280666,2.8956791293000546,2.1579467264931833,1.0080899284935931,-0.44943881067948294,0.7896027145290301
,9.189,0.304,-3.563,9.074,0.017,-3.537,2.45,1.26,0.91,9.132118507989734,9.146182349293714,0.30190451353391395,0.32147466455639107,-3.1611439691169374,-3.6431853007465635,9.220093645513609,9.204291091876577,0.2608062001185766,0.2712601267904399,-3.291135458973917,-3.647669861246112,5.324957261486862,2.8383707863222574,1.804738655412546,1.0404821762529248,-0.6619717507179801,0.8050841864575055
152.0,9.024,0.0,-3.273,9.323,-0.304,-2.965,3.22,2.03,-0.07,9.13458015466827,9.132069876623083,0.33156884226018946,0.2843432585548057,-3.027807653111321,-3.6004276522805254,9.176628968427567,9.218002370398692,0.2982344829977035,0.20481564553138118,-3.2006465007118403,-3.568819194062263,5.97486197747337,2.88245024525781,1.2288474084479277,1.154774816110125,-0.8598353541718889,0.7040090169483979
,9.103,0.019,-3.099,9.366,-0.38,-2.974,4.41,1.12,-0.42,9.138323465605652,9.129013234048735,0.3617301780959339,0.256442916512384,-2.892580903656243,-3.547703482522636,9.12244299086423,9.233564041382284,0.3398600884748292,0.14332338591659596,-3.1159793066644457,-3.506275080229776,6.63741894496555,3.043069214348075,0.43214359894284593,1.1511183099331106,-1.0197367214481026,0.5858215935993734
