Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ,AccX_butter,AccX_kalman,AccY_butter,AccY_kalman,AccZ_butter,AccZ_kalman,GyroX_butter,GyroX_kalman,GyroY_butter,GyroY_kalman,GyroZ_butter,GyroZ_kalman,MagnX_butter,MagnX_kalman,MagnY_butter,MagnY_kalman,MagnZ_butter,MagnZ_kalman
9500.0,9.572,0.715,-1.718,9.684,0.404,-2.127,16.31,-13.79,-4.13,9.5684435110226,9.572,0.7139906317686039,0.715,-1.726418684627918,-1.718,9.6876840966799,9.684,0.46072292991131414,0.404,-2.117391504630926,-2.127,16.545717151513923,16.31,-13.694350667278034,-13.79,-4.1121935316515765,-4.13
,9.005,1.354,-1.905,9.627,-0.187,-2.204,15.47,-11.2,-3.71,9.44245773294574,9.295116767517735,0.7013835507966606,1.027043008035569,-1.983894848493442,-1.8093177503953857,9.578059359137239,9.656165177686969,0.5391280970003783,0.11539684233329994,-2.3320978687220095,-2.164601426633394,12.989779144677343,15.899802618544792,-14.597811482982783,-12.525224740513107,-2.32652505138558,-3.924901309272396
,8.964,1.723,-1.79,9.442,-0.782,-2.393,11.69,-12.67,0.0,9.323255260399502,9.1861767793197,0.683106552748333,1.2560182636812511,-2.2354608299475167,-1.8029620604801257,9.472397794558056,9.585703170871204,0.6078036342301177,-0.17985368860668793,-2.538935377002703,-2.2397463311742776,9.448148903063105,14.514744860768259,-15.493495459163265,-12.572856925310347,-0.5783367848366494,-2.633578294989568
,9.485,1.247,-1.639,9.122,-0.701,-3.19,5.6,-16.03,3.71,9.216227620177717,9.260491001513003,0.655014296727574,1.2537755154454195,-2.477012921977467,-1.7621864040031885,9.374502569734744,9.47038502259139,0.660217160062302,-0.30945734755907395,-2.7327713095925494,-2.476064519982863,5.97368951512144,12.297740677252948,-16.346921210865183,-13.432612395523257,1.0828275854753981,-1.0559964529853088
9576.0,8.811,-0.014,-3.319,8.854,1.531,-3.379,4.2,-16.38,-0.91,9.125778756468291,9.1703945352713,0.6140859558741828,0.9996612093860973,-2.70499548106802,-2.074235817949675,9.287508640583484,9.346836136867612,0.6907803466011551,0.05944592909273788,-2.9096961045256307,-2.657049891703251,2.6242118335530735,10.674620710209327,-17.12124574103164,-14.023389979310487,2.608697843179614,-1.0267327648279858
,8.715,0.112,-3.771,8.914,2.192,-3.058,5.67,-16.24,-0.14,9.054996464913557,9.09372502786036,0.5587435339354146,0.8502159648776505,-2.9165982982333674,-2.3599003658407063,9.213651488616451,9.27396452591707,0.6954319525840824,0.4184793769716092,-3.067309523991463,-2.7245532210551513,-0.5375589224108113,9.832050642033739,-17.778073908357,-14.396574954635607,3.9541123804464546,-0.8774438317844677
,8.681,0.61,-3.563,8.947,2.304,-3.575,5.6,-15.96,1.75,9.005450486488176,9.03364840112466,0.48901940109032016,0.8152499127030941,-3.1099120874384862,-2.535024632042705,9.154142288555013,9.226371275076026,0.6721502184896069,0.6929374568689739,-3.2048623649972363,-2.848345020069904,-3.4453094160249815,9.216029539397674,-18.278868422368333,-14.624148512184387,5.079127083275965,-0.4949907414801454
,8.777,0.847,-3.051,8.911,1.802,-3.372,4.55,-17.08,2.59,8.977135037335296,9.00064686789277,0.406576266336211,0.819332546985843,-3.28400718802396,-2.601372126037839,9.109162526042606,9.185818769900864,0.6212869248058001,0.8355479863442953,-3.3232333905281637,-2.9156800088969472,-6.031945105162389,8.616040884761109,-18.58691925219898,-14.939937989666328,5.951400442441531,-0.09830241601663614
9652.0,8.89,1.247,-3.393,9.505,-0.357,-3.807,-17.22,-18.76,10.99,8.968559056683805,8.987866782158177,0.31458463189326125,0.8687295775526082,-3.438912543801011,-2.692807810497834,9.077971308666893,9.222685276501783,0.5456372522047499,0.697804679205528,-3.4247395746376483,-3.018630468500495,-8.233821392073784,5.631891185470124,-18.669733790902637,-15.381168012108892,6.548730976960969,1.1824338418331704
,9.103,0.586,-3.656,9.316,-0.407,-3.75,-19.46,-20.58,13.79,8.976969751896949,8.99997282237087,0.21745875506839712,0.8390010969339914,-3.5754966800247234,-2.7940856484427874,9.059099613949424,9.232497143279083,0.4502224092230414,0.5816365556670302,-3.5127957562289214,-3.0955325921850405,-9.995981490364139,2.993526260056933,-18.501607403835145,-15.927815367965064,6.861437378744172,2.508095590509787
,9.316,-0.148,-3.293,9.074,-0.045,-3.525,-19.81,-22.68,14.21,8.998677498823286,9.030557451818936,0.12045936708882661,0.74348063239348,-3.695274140238117,-2.8423698203395693,9.050593473014189,9.217158030889653,0.3418319216446487,0.5209916231727111,-3.5914562951641753,-3.137095794522837,-11.277614707456024,0.7866356818308957,-18.066037487083694,-16.581281523898234,6.894116208738861,3.640588096014995
,9.462,-0.675,-3.888,9.038,0.007,-3.204,-17.92,-23.1,11.62,9.02943810744047,9.06934346678349,0.029194530540573693,0.6159614267265984,-3.800170522228221,-2.9363703494173814,9.050266274725058,9.201052002181076,0.22841377296446386,0.47478457458169887,-3.664887201913628,-3.1431103786795664,-12.056778693942775,-0.8950618108036776,-17.357592698424305,-17.16730419002085,6.666295939838908,4.357924832554073
9728.0,8.868,-0.168,-3.51,9.313,0.246,-3.561,-8.61,-15.05,1.05,9.064845693199445,9.052397612592742,-0.050922203005066176,0.5499801647531684,-3.8922785147921966,-2.9846492659054733,9.055927677848784,9.210473983824144,0.11840086182387835,0.4555291693585293,-3.736830976130513,-3.1782816047632916,-12.333585836723737,-1.5443812038453295,-16.382887644481876,-16.989103582597437,6.211684781542701,4.079516931955563
,9.086,-0.725,-4.145,9.206,0.407,-3.065,-10.08,-15.26,1.12,9.100696354866542,9.05506324452592,-0.11518146289704177,0.4488377131724431,-3.9736310214798682,-3.076698319831371,9.06556743135452,9.210119068740116,0.020036504406451654,0.4516794160072306,-3.8101331697558534,-3.169295128313302,-12.13145732773599,-2.2215002953166363,-15.160456359185035,-16.85193613465147,5.576029733117038,3.844742457600818
,9.189,-0.737,-4.331,9.079,0.467,-3.441,-10.22,-14.42,3.08,9.13329546858453,9.065136865669636,-0.15998545533240358,0.3596487536657907,-4.046008682933372,-3.171036575833032,9.077482141537569,9.200257370817619,-0.059265492726238836,0.4528317043264255,-3.8863947830551484,-3.1897305340433113,-11.49647787070228,-2.823081657041499,-13.719523265000703,-16.669025900791627,4.813918058014037,3.7872248197939498
,9.368,-0.388,-4.051,9.112,0.359,-3.568,-8.82,-12.11,4.13,9.159692915179496,9.08684531778891,-0.18310445041203383,0.30605920997017494,-4.1107907271159005,-3.2341100955021616,9.090341438866417,9.1939313090049,-0.11350348758187348,0.4461060885952678,-3.965797066588327,-3.2168439184704387,-10.49515366881151,-3.2529253717581987,-12.097857886723839,-16.342246625734976,3.9850121806223506,3.811794064920567
9804.0,9.325,0.28,-3.963,9.019,-1.23,-4.322,-9.59,-8.75,3.08,9.177837124724826,9.103187866469062,-0.18376330741012933,0.3042709860161045,-4.16885358122351,-3.284127666587199,9.103198185999018,9.181927247583335,-0.13858577916406412,0.3310890539031283,-4.0471180070902495,-3.292681466125937,-9.210941878268297,-3.687785394833484,-10.339014139474724,-15.82125472702092,3.150175553380083,3.7615772057818884
,9.34,0.002,-3.915,9.076,-1.263,-4.439,-11.06,-6.79,2.45,9.186642567176463,9.118808740906056,-0.16256919131953018,0.2843322394320438,-4.2205223247905685,-3.3257419933494203,9.11545436613627,9.174939952594332,-0.13269951110815953,0.2259379175102154,-4.1279284579405635,-3.368296248254941,-7.73985572111539,-4.1740798973693485,-8.4893002886796,-15.225524711012776,2.3678058707043075,3.6750614409836015
,9.261,-0.218,-4.137,9.026,-1.005,-4.18,-10.29,-4.76,2.52,9.185970624064904,9.127857523118653,-0.12131495137621763,0.2523647678592435,-4.265582210622685,-3.3773689151952704,9.126798187042546,9.16546169631917,-0.09649350110146312,0.1476033616187194,-4.204928898456128,-3.419951536473717,-6.185361469997074,-4.563285460292036,-6.594828155389853,-14.559518555262148,1.6905593232513394,3.601555520238341
