Timestamp,MagnX,MagnY,MagnZ
0.0,-64.324,-51.807,-185.667
,-61.376,-55.209,-184.468
,-64.591,-56.024,-187.535
,-62.974,-57.354,-187.08
,-63.002,-61.601,-187.973
,-58.91,-70.236,-187.008
,-61.912,-69.205,-187.926
,-58.933,-74.201,-186.589
76.0,-59.65,-73.276,-186.0
,-57.826,-78.882,-185.604
,-61.21,-80.694,-186.043
,-61.643,-81.948,-186.262
,-58.158,-87.274,-183.304
,-59.791,-88.028,-181.184
,-60.9,-89.188,-183.064
,-58.06,-92.814,-180.081
151.0,-58.908,-96.358,-178.461
,-60.051,-99.326,-177.157
,-57.98,-107.039,-172.51
,-58.648,-104.985,-165.833
,-58.17,-106.082,-162.386
,-59.399,-105.868,-162.059
,-59.293,-108.005,-162.018
,-56.143,-111.164,-159.796
227.0,-57.401,-107.197,-156.421
,-56.683,-112.082,-155.89
,-53.93,-109.047,-151.164
,-55.015,-109.922,-151.172
,-51.91,-111.21,-148.337
,-49.71,-111.334,-149.355
,-46.796,-111.544,-147.589
,-47.44,-112.763,-147.941
303.0,-47.567,-112.23,-149.388
,-44.4,-112.745,-147.398
,-45.516,-112.027,-147.543
,-41.704,-110.483,-141.688
,-40.293,-111.778,-141.226
,-40.119,-111.54,-141.045
,-37.955,-110.552,-138.501
,-34.665,-114.241,-134.411
378.0,-33.088,-110.22,-130.484
,-32.63,-111.882,-129.941
,-33.604,-110.093,-127.374
,-31.06,-108.902,-124.657
,-32.822,-107.804,-124.45
,-33.368,-105.042,-122.976
,-30.139,-104.224,-119.488
,-29.562,-104.059,-119.603
454.0,-31.961,-100.978,-117.919
,-26.921,-100.488,-115.903
,-27.814,-101.401,-116.339
,-23.533,-95.475,-113.775
,-22.512,-96.974,-113.768
,-20.941,-93.794,-113.495
,-18.496,-93.385,-111.056
,-16.059,-95.418,-113.114
531.0,-16.171,-94.602,-112.969
,-15.281,-91.81,-110.658
,-15.392,-89.953,-112.01
,-12.959,-88.227,-110.319
,-14.287,-91.994,-111.819
,-14.282,-92.273,-112.849
,-17.682,-90.889,-112.161
,-18.938,-93.601,-113.053
607.0,-19.151,-91.687,-111.311
,-21.685,-91.275,-112.903
,-20.156,-92.064,-112.773
,-19.216,-99.901,-112.206
,-21.559,-96.888,-115.02
,-24.88,-96.047,-114.288
,-24.075,-98.273,-111.885
,-21.778,-95.456,-109.578
683.0,-23.972,-98.05,-113.808
,-22.716,-99.299,-111.795
,-21.194,-98.21,-109.93
,-21.659,-93.63,-110.237
,-23.921,-94.079,-113.385
,-21.004,-91.368,-111.102
,-21.118,-92.153,-111.801
,-20.666,-91.175,-112.191
758.0,-18.82,-93.576,-109.545
,-20.316,-88.26,-107.471
,-20.583,-88.237,-109.288
,-17.598,-87.392,-106.915
,-18.314,-85.146,-106.652
,-18.455,-85.657,-107.022
,-15.658,-85.052,-105.252
,-16.869,-80.874,-105.484
834.0,-14.875,-80.682,-105.323
,-13.362,-78.555,-105.237
,-10.511,-75.858,-104.918
,-10.174,-76.224,-108.35
,-8.102,-73.656,-107.768
,-7.25,-70.39,-110.419
,-6.618,-66.533,-111.142
,-5.05,-65.793,-115.226
910.0,-1.154,-63.55,-115.696
,-2.073,-57.868,-118.748
,-0.112,-58.637,-152.682
,0.053,-56.967,-123.509
,0.235,-57.567,-126.56
,3.519,-57.095,-128.742
,3.429,-57.674,-133.75
,5.409,-62.005,-135.232
986.0,4.488,-58.964,-137.631
,1.985,-56.185,-140.206
,1.265,-57.42,-142.803
,1.306,-54.492,-141.163
,2.193,-54.139,-143.209
,0.061,-51.921,-143.222
,1.698,-52.206,-143.704
,1.793,-50.385,-145.064
1062.0,-0.485,-48.678,-145.587
,-0.483,-50.837,-148.634
,-1.263,-46.726,-148.32
,-1.873,-42.378,-147.966
,-4.003,-46.838,-152.247
,-5.578,-44.739,-154.107
,-6.152,-42.263,-154.646
,-7.368,-42.885,-157.411
1138.0,-6.868,-40.577,-156.725
,-8.025,-47.307,-159.733
,-8.44,-44.317,-159.34
,-8.042,-49.19,-162.169
,-9.503,-46.306,-163.331
,-9.284,-47.939,-163.762
,-9.235,-46.609,-162.685
,-11.612,-44.363,-163.813
1214.0,-11.895,-45.663,-165.724
,-9.667,-46.822,-164.402
,-9.737,-46.277,-164.165
,-9.948,-46.242,-164.298
,-11.404,-47.597,-165.369
,-14.167,-46.114,-169.153
,-16.349,-42.027,-168.694
,-15.004,-48.616,-168.75
1290.0,-15.739,-51.175,-171.442
,-14.263,-52.735,-170.186
,-13.143,-50.253,-168.352
,-14.109,-53.822,-170.24
,-14.147,-49.31,-170.14
,-15.708,-52.768,-171.304
,-18.034,-51.631,-175.572
,-18.322,-57.933,-175.005
1366.0,-17.201,-62.13,-177.439
,-21.393,-64.077,-178.457
,-24.221,-67.329,-180.417
,-25.82,-71.556,-180.034
,-23.953,-76.112,-179.872
,-25.422,-76.63,-177.852
,-30.336,-78.493,-181.934
,-33.119,-78.815,-182.113
1442.0,-34.41,-84.935,-180.666
,-34.748,-85.129,-179.576
,-41.355,-85.878,-181.347
,-45.187,-93.668,-178.637
,-47.39,-96.946,-174.297
,-50.571,-102.196,-171.421
,-49.89,-106.73,-164.659
,-51.934,-110.534,-157.89
1518.0,-50.717,-114.151,-155.175
,-52.91,-111.106,-153.499
,-52.108,-112.013,-151.562
,-49.908,-112.617,-148.74
,-49.772,-112.588,-144.671
,-50.864,-112.145,-145.285
,-49.696,-112.573,-142.425
,-48.229,-113.855,-140.279
1593.0,-46.156,-114.967,-137.406
,-44.541,-114.139,-133.906
,-46.56,-111.695,-135.562
,-44.929,-109.263,-130.796
,-43.044,-110.336,-127.354
,-42.126,-112.337,-126.593
,-42.781,-110.079,-124.506
,-44.182,-108.503,-123.517
1669.0,-42.465,-108.771,-121.613
,-42.62,-109.005,-121.233
,-43.283,-106.749,-119.427
,-42.178,-108.51,-118.064
,-39.65,-105.723,-115.064
,-38.234,-105.977,-115.959
,-35.11,-102.741,-111.341
,-32.945,-104.953,-110.346
1745.0,-34.957,-99.588,-111.344
,-30.435,-97.091,-104.343
,-30.416,-91.806,-105.229
,-30.429,-91.249,-103.307
,-31.568,-90.256,-102.983
,-30.154,-88.63,-102.004
,-26.768,-85.217,-100.721
,-25.907,-88.271,-100.146
1821.0,-27.19,-85.149,-100.986
,-26.526,-87.125,-101.621
,-24.563,-85.821,-97.758
,-28.211,-83.649,-100.994
,-29.444,-82.877,-98.465
,-29.387,-82.865,-96.781
,-30.269,-77.936,-96.042
,-31.598,-78.783,-97.164
1897.0,-33.441,-78.462,-96.675
,-34.487,-73.488,-94.665
,-33.899,-68.522,-92.106
,-36.21,-66.542,-92.44
,-38.671,-63.754,-93.752
,-39.266,-58.642,-95.646
,-35.87,-54.187,-95.579
,-34.954,-49.308,-95.562
1973.0,-32.862,-44.655,-97.415
,-33.456,-42.743,-100.857
,-33.085,-37.542,-103.582
,-31.104,-35.272,-106.838
,-30.116,-28.298,-107.711
,-30.685,-29.3,-110.829
,-29.602,-25.786,-111.615
,-28.696,-24.669,-115.769
2049.0,-29.751,-23.456,-117.93
,-30.507,-23.379,-121.976
,-28.963,-18.605,-121.701
,-29.001,-19.173,-125.166
,-29.394,-17.297,-128.756
,-27.323,-19.808,-131.739
,-27.267,-18.835,-137.735
,-29.264,-17.226,-142.202
2125.0,-26.457,-20.378,-144.042
,-27.004,-18.176,-144.909
,-28.842,-20.573,-149.668
,-27.998,-20.99,-150.308
,-28.667,-19.575,-152.155
,-24.1,-21.946,-152.326
,-23.886,-23.3,-151.726
,-24.73,-23.163,-152.257
2201.0,-25.004,-24.462,-153.887
,-22.45,-23.27,-150.889
,-22.271,-26.79,-154.459
,-20.809,-28.354,-153.624
,-19.849,-21.867,-151.499
,-21.672,-23.701,-153.494
,-20.907,-23.855,-155.349
,-22.387,-25.215,-157.122
2277.0,-21.814,-24.771,-156.206
,-19.711,-28.036,-155.538
,-19.132,-26.551,-155.979
,-17.197,-28.732,-155.678
,-15.374,-31.138,-153.733
,-16.725,-30.67,-155.884
,-14.223,-29.489,-154.43
,-12.527,-32.402,-152.435
2353.0,-13.115,-33.129,-154.943
,-13.599,-34.114,-155.534
,-11.919,-34.111,-153.583
,-9.085,-34.057,-153.031
,-8.144,-36.334,-152.74
,-7.624,-41.182,-151.921
,-4.843,-38.7,-148.696
,-6.096,-38.491,-149.071
2429.0,-5.012,-43.177,-148.787
,-3.123,-40.569,-147.497
,-3.464,-43.403,-145.754
,-3.398,-43.389,-143.789
,-1.653,-44.211,-143.386
,-0.625,-48.069,-141.273
,-0.622,-49.949,-143.148
,0.061,-55.68,-147.113
2505.0,0.694,-55.783,-146.715
,1.58,-56.471,-147.263
,1.126,-55.57,-144.997
,-0.311,-56.921,-145.508
,2.393,-55.496,-143.03
,2.84,-58.759,-143.612
,1.386,-54.274,-143.788
,2.633,-55.525,-142.056
2581.0,4.757,-56.906,-138.81
,2.063,-53.249,-137.443
,1.623,-52.624,-135.927
,2.876,-52.553,-134.381
,-0.145,-48.047,-133.141
,-0.798,-47.948,-134.101
,-0.962,-47.904,-132.83
,-0.013,-42.739,-130.659
2657.0,0.59,-45.209,-129.279
,-2.088,-43.708,-130.537
,-2.012,-43.412,-127.12
,-3.656,-40.488,-127.572
,-3.664,-39.93,-125.511
,-2.781,-39.019,-125.355
,-5.7,-38.81,-127.261
,-5.431,-37.512,-125.771
2733.0,-4.706,-35.795,-126.874
,-7.357,-35.888,-128.134
,-10.59,-31.628,-128.198
,-9.015,-32.687,-127.836
,-10.235,-32.751,-128.4
,-12.248,-32.947,-129.122
,-12.156,-30.287,-127.109
,-12.772,-31.5,-126.619
2809.0,-12.948,-29.859,-124.925
,-13.525,-29.744,-123.639
,-16.803,-28.413,-125.484
,-16.541,-28.996,-126.15
,-14.593,-28.255,-125.05
,-16.303,-26.105,-124.798
,-17.287,-24.117,-127.523
,-17.042,-26.863,-131.796
2884.0,-18.359,-25.348,-134.463
,-19.046,-22.336,-136.027
,-18.366,-22.989,-136.568
,-20.481,-21.606,-139.533
,-19.654,-24.947,-141.112
,-22.548,-23.692,-143.814
,-21.437,-20.172,-143.758
,-19.569,-23.687,-145.095
2960.0,-21.654,-20.698,-146.373
,-23.604,-23.6,-150.66
,-26.854,-21.502,-154.332
,-29.77,-23.172,-158.113
,-28.839,-26.011,-160.445
,-32.184,-24.974,-165.425
,-32.195,-26.576,-166.55
,-31.626,-29.612,-168.494
3036.0,-32.328,-32.444,-171.375
,-31.627,-34.692,-172.058
,-35.338,-34.134,-177.962
,-35.955,-35.627,-178.644
,-36.97,-41.847,-181.281
,-35.95,-49.186,-182.169
,-39.15,-53.198,-186.363
,-39.065,-56.94,-187.728
3112.0,-39.337,-61.919,-187.067
,-38.913,-64.908,-187.179
,-40.391,-64.667,-188.107
,-41.13,-62.147,-187.375
,-43.098,-64.213,-188.71
,-41.659,-65.502,-187.406
,-40.361,-67.301,-186.472
,-40.645,-69.643,-186.885
3188.0,-40.697,-75.214,-188.152
,-39.988,-74.261,-187.007
,-39.895,-75.561,-183.874
,-40.71,-74.377,-185.06
,-40.774,-76.751,-185.06
,-40.122,-77.41,-186.443
,-38.861,-82.618,-183.169
,-42.589,-85.184,-185.001
3264.0,-39.808,-87.223,-182.998
,-42.255,-89.433,-181.27
,-40.004,-90.586,-179.247
,-42.128,-93.926,-178.703
,-41.635,-93.98,-176.333
,-41.099,-97.784,-176.59
,-44.432,-95.346,-175.435
,-44.944,-100.017,-174.577
3340.0,-46.824,-99.144,-172.868
,-41.756,-102.608,-168.889
,-46.174,-105.844,-170.134
,-46.407,-104.975,-167.455
,-46.73,-109.126,-164.825
,-45.734,-107.911,-160.13
,-48.701,-110.554,-157.775
,-48.737,-112.922,-156.933
3416.0,-47.265,-110.445,-150.756
,-49.243,-113.273,-149.702
,-47.127,-114.376,-145.566
,-47.08,-114.366,-144.163
,-46.807,-113.347,-143.703
,-44.297,-113.764,-142.813
,-43.756,-112.767,-140.537
,-44.193,-113.183,-137.383
3492.0,-40.043,-111.445,-132.617
,-37.21,-112.153,-129.397
,-37.987,-110.961,-129.461
,-38.578,-110.569,-127.425
,-41.049,-109.383,-129.862
,-37.38,-109.95,-125.221
,-34.379,-110.981,-124.302
,-35.384,-107.879,-123.044
3568.0,-36.616,-106.065,-122.014
,-36.917,-107.571,-119.475
,-37.16,-106.704,-117.077
,-38.638,-102.705,-114.115
,-40.719,-101.236,-109.915
,-41.461,-101.356,-108.53
,-41.239,-96.309,-104.552
,-41.995,-96.433,-103.588
3644.0,-43.609,-92.182,-103.525
,-45.293,-92.667,-101.777
,-44.211,-94.433,-101.116
,-46.62,-87.114,-99.662
,-50.038,-85.454,-98.364
,-51.477,-83.885,-98.497
,-51.775,-81.71,-98.109
,-57.173,-80.238,-96.55
3720.0,-57.653,-76.982,-96.951
,-56.146,-76.176,-96.678
,-59.83,-72.333,-94.01
,-60.264,-69.907,-96.52
,-60.536,-69.413,-61.525
,-65.946,-70.016,-98.044
,-67.089,-63.463,-98.136
,-67.567,-67.367,-98.965
3795.0,-70.272,-61.072,-98.672
,-71.509,-63.78,-99.004
,-77.308,-59.394,-102.814
,-77.279,-58.347,-103.469
,-79.498,-57.467,-105.682
,-80.113,-57.64,-106.69
,-79.225,-57.008,-107.565
,-81.509,-55.581,-109.399
3871.0,-82.168,-53.604,-108.624
,-82.99,-53.742,-109.624
,-82.456,-54.626,-109.504
,-85.093,-50.756,-111.464
,-86.607,-48.924,-112.671
,-85.62,-51.75,-113.319
,-87.809,-49.263,-113.845
,-88.186,-50.864,-119.733
3947.0,-88.541,-49.461,-118.361
,-88.538,-46.261,-116.672
,-90.444,-46.792,-121.52
,-91.01,-44.874,-124.12
,-91.68,-39.017,-130.928
,-92.169,-39.042,-139.34
,-92.781,-35.813,-143.67
,-90.552,-35.371,-141.504
4023.0,-88.9,-35.094,-139.223
,-89.394,-36.36,-141.266
,-88.558,-31.7,-138.623
,-89.901,-32.27,-138.996
