Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,3.927,1.687,8.717,-10.29,-27.02,47.53,-47.797,-25.106,-197.727
,4.003,1.74,8.607,-3.57,-15.54,8.12,-47.883,-26.444,-199.926
,4.106,2.335,8.83,-1.61,-3.5,-26.95,-44.431,-27.538,-197.9
,4.015,2.127,8.849,-3.85,4.48,-54.95,-47.673,-22.999,-197.074
76.0,3.783,2.422,8.734,-12.18,0.07,-79.59,-45.103,-28.203,-196.752
,4.006,3.099,9.799,-20.16,-32.9,-133.21,-46.668,-26.102,-198.332
,2.398,4.082,9.024,-8.19,-16.31,-138.39,-47.534,-24.369,-198.72
,2.635,2.517,9.141,13.79,-6.58,-103.04,-45.322,-22.331,-196.27
152.0,3.728,2.324,9.112,14.35,-22.82,-79.03,-43.042,-22.997,-197.245
,3.075,3.439,8.796,30.1,-44.38,-104.86,-44.327,-22.235,-196.26
,2.814,3.412,8.39,18.62,-35.35,-105.28,-43.561,-20.789,-197.27
,3.108,3.975,8.641,8.68,-9.1,-104.3,-40.961,-20.427,-196.383
228.0,2.871,3.484,9.146,-5.25,16.87,-104.16,-38.43,-18.96,-192.915
,2.663,3.434,9.684,25.97,-15.47,-113.68,-38.136,-15.296,-192.548
,2.254,3.915,8.375,39.69,-36.26,-93.31,-37.054,-12.822,-191.836
,2.505,4.226,8.275,26.32,-25.27,-64.82,-38.153,-13.699,-192.265
303.0,2.699,3.867,8.514,16.73,-12.46,-54.46,-39.362,-12.441,-192.875
,2.623,3.443,8.461,12.11,7.0,-59.22,-38.005,-10.827,-193.579
,2.735,3.62,8.914,7.98,16.52,-70.91,-36.736,-9.433,-191.939
,2.077,4.386,8.796,26.32,-7.98,-94.08,-39.352,-7.158,-194.041
379.0,2.357,4.494,8.368,26.67,-7.07,-82.67,-38.509,-8.616,-193.184
,2.041,5.104,8.282,13.23,-11.13,-69.44,-38.303,-8.651,-193.191
,1.941,4.941,7.882,-5.67,-4.62,-52.15,-38.603,-4.877,-192.1
,1.871,4.901,8.277,-38.36,19.67,-21.84,-39.001,-3.482,-191.99
454.0,1.649,4.63,8.32,-50.75,43.19,16.31,-36.851,-7.297,-192.26
,1.673,4.666,8.588,-45.78,43.12,35.63,-42.419,-5.582,-194.582
,1.606,4.886,8.72,-43.75,39.06,49.14,-41.406,-11.043,-193.735
,1.737,4.329,9.174,-50.61,27.16,63.07,-43.712,-8.022,-195.427
530.0,1.716,3.888,9.734,-38.78,8.89,70.63,-45.329,-11.211,-197.103
,1.658,3.417,9.418,-17.08,-14.91,84.42,-42.801,-16.424,-198.044
,2.252,3.008,9.234,-0.77,-16.73,100.1,-42.479,-13.795,-195.337
,5.788,0.306,13.259,106.05,-79.31,-65.31,-41.937,-15.998,-194.61
606.0,-0.165,6.133,4.85,138.53,-135.38,-62.65,-42.822,-18.509,-195.61
,3.977,4.865,6.138,38.85,-29.96,-21.28,-37.787,-13.5,-192.512
,2.02,4.36,9.67,-6.79,19.18,-13.16,-38.029,-7.632,-192.732
,2.982,4.056,8.794,18.41,1.4,-4.69,-37.384,-9.613,-193.929
682.0,2.565,4.805,8.524,32.27,-2.24,24.43,-37.783,-9.539,-193.492
,2.977,4.441,7.662,7.63,-0.35,1.47,-37.815,-9.266,-193.304
,2.656,4.279,8.026,-20.37,16.66,-11.76,-38.683,-8.854,-193.365
,1.843,4.996,9.519,2.8,11.83,0.77,-39.22,-6.65,-193.952
757.0,3.163,4.267,7.937,20.44,3.57,5.81,-39.465,-12.183,-194.791
,2.812,3.888,8.402,9.1,8.61,-7.91,-39.526,-7.396,-194.222
,2.649,3.774,8.198,7.14,12.95,-26.46,-39.842,-4.944,-193.225
,2.656,4.618,8.574,4.13,15.4,-34.72,-39.552,-10.042,-194.271
833.0,2.97,4.716,8.136,-2.45,13.23,-31.92,-39.109,-8.506,-192.6
,2.754,4.087,8.882,-6.02,-0.07,-56.14,-39.324,-7.152,-193.199
,1.907,4.482,8.392,-5.81,-2.03,-70.7,-40.873,-7.967,-194.735
,2.898,3.668,9.148,7.63,-1.05,-91.49,-39.789,-7.853,-192.059
909.0,1.613,4.917,7.978,23.52,5.39,-125.79,-43.603,-2.718,-193.646
,1.211,5.288,8.691,17.85,17.22,-118.23,-40.992,-5.553,-194.026
,1.067,5.224,8.469,2.38,19.18,-80.85,-41.126,-3.142,-193.738
,1.096,5.528,8.693,4.55,16.8,-56.56,-40.829,-1.838,-191.406
985.0,1.785,3.951,8.813,5.18,13.16,-56.56,-41.872,-3.544,-193.664
,0.852,4.86,8.229,-4.13,7.91,-53.9,-41.601,-4.125,-194.049
,1.642,4.441,8.701,-7.0,3.71,-66.36,-43.587,-1.395,-193.552
,0.627,5.073,8.574,-12.95,7.14,-75.74,-43.972,-1.598,-193.866
1061.0,0.153,5.394,8.806,0.28,9.66,-70.77,-45.146,-1.932,-194.197
,0.39,5.252,8.741,-7.35,-2.45,-35.98,-43.755,-0.031,-192.748
,0.893,4.858,8.686,-8.75,-6.3,-25.41,-46.071,1.668,-194.394
,-0.928,5.607,10.108,42.91,-14.63,-80.22,-44.247,0.303,-193.948
1136.0,0.067,5.707,8.236,21.35,-8.96,-79.1,-43.566,-2.99,-193.695
,0.069,5.181,8.744,-5.25,-1.05,-63.84,-43.602,2.082,-191.253
,-0.048,5.374,8.844,-8.61,6.72,-49.0,-46.443,0.147,-193.96
,-0.392,5.688,8.641,4.06,12.81,-27.16,-44.045,0.826,-191.753
1212.0,0.16,5.341,8.952,-2.73,7.42,-1.68,-46.915,2.085,-193.754
,0.342,4.946,8.48,17.15,0.28,-19.39,-47.879,0.117,-194.797
,1.441,2.804,7.523,80.64,-4.9,-95.69,-48.304,2.065,-193.188
,-0.694,5.676,7.569,44.66,-7.63,-95.2,-47.448,3.25,-192.703
