Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,9.15,0.232,-3.676,9.129,0.318,-3.74,2.8,0.63,0.49
,9.172,0.29,-3.795,9.244,0.275,-3.716,3.15,0.98,0.7
,9.088,0.369,-3.738,9.241,0.261,-3.604,3.29,1.19,0.77
,9.06,0.352,-3.781,9.165,0.354,-3.518,3.08,1.05,0.77
76.0,9.131,0.409,-3.52,9.196,0.345,-3.733,3.08,1.26,0.98
,9.15,0.333,-3.556,9.277,0.352,-3.697,2.59,0.91,0.91
,9.225,0.287,-3.527,9.313,0.256,-3.637,2.31,1.05,0.91
,9.189,0.304,-3.563,9.074,0.017,-3.537,2.45,1.26,0.91
152.0,9.024,0.0,-3.273,9.323,-0.304,-2.965,3.22,2.03,-0.07
,9.103,0.019,-3.099,9.366,-0.38,-2.974,4.41,1.12,-0.42
,9.385,-0.024,-3.08,9.385,-0.414,-3.092,5.11,0.98,-0.63
,9.349,-0.172,-2.905,9.16,-0.105,-2.891,5.46,1.05,-0.91
228.0,8.945,0.239,-2.45,9.572,1.464,-3.35,16.17,1.89,-4.48
,8.911,0.826,-1.943,9.048,1.362,-3.754,17.85,-0.63,-4.83
,9.052,1.292,-1.196,8.105,1.345,-3.671,17.78,-3.85,-4.97
,9.409,1.309,-2.233,7.662,1.455,-3.202,15.33,-7.07,-5.46
304.0,8.191,1.299,-2.302,8.885,-0.153,-2.656,2.94,-8.4,3.29
,9.265,0.541,-3.027,8.428,0.598,-1.989,0.91,-13.93,1.68
,9.849,0.077,-3.427,8.524,0.51,-2.297,0.35,-12.74,1.82
,9.55,-0.282,-2.965,9.069,0.091,-2.907,3.57,-8.96,3.15
380.0,9.361,-0.053,-3.434,8.672,-0.902,-4.02,8.54,-16.73,2.52
,9.179,-0.043,-3.776,9.019,-0.749,-4.13,6.58,-11.41,3.92
,8.737,-0.354,-3.544,9.557,-0.287,-4.58,4.41,-6.86,4.55
,8.61,-0.864,-3.577,9.775,0.215,-4.472,3.43,-6.02,3.15
