Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagnX,MagnY,MagnZ
0.0,9.493,-1.539,-2.836,9.239,-0.893,-2.752,-24.08,-17.57,16.17
,9.354,-1.505,-2.704,9.292,-0.352,-3.077,-22.47,-16.59,15.82
,9.1,-1.328,-2.58,9.134,-0.421,-2.881,-20.16,-16.8,15.05
,9.139,-1.101,-2.73,8.933,-0.543,-2.723,-17.92,-17.85,13.93
75.0,8.854,-0.407,-2.659,9.409,0.273,-2.192,-11.13,-19.81,11.2
,8.904,-0.4,-2.56,9.426,0.493,-2.29,-10.36,-21.7,11.27
,9.203,-0.359,-2.431,9.206,0.38,-2.089,-9.8,-23.31,12.04
,9.366,0.026,-2.364,9.076,0.313,-2.008,-10.22,-24.78,13.09
150.0,8.885,0.376,-2.108,8.973,0.682,-3.733,-32.2,-33.53,23.03
,8.93,0.514,-2.309,8.775,0.065,-3.805,-35.0,-37.38,24.71
,9.088,0.744,-2.819,8.593,-0.634,-3.498,-37.66,-41.23,26.18
,9.119,1.01,-3.178,8.54,-0.991,-3.29,-42.07,-44.1,28.14
226.0,8.894,-0.995,-3.79,8.169,-1.431,-5.296,-49.07,-53.41,28.98
,9.411,-1.63,-3.853,7.944,-1.271,-5.542,-45.64,-55.3,27.79
,9.536,-1.541,-4.499,8.224,-1.103,-5.76,-42.14,-53.83,26.39
,9.021,-1.417,-4.903,8.626,-0.797,-5.803,-39.55,-50.4,25.41
302.0,8.882,-0.696,-5.946,8.973,-1.017,-5.642,-35.07,-57.47,24.85
,8.808,-0.744,-6.03,9.024,-1.041,-5.403,-36.54,-57.47,24.36
,8.789,-0.771,-5.858,8.83,-1.228,-5.205,-37.66,-58.17,23.66
,8.856,-0.972,-5.951,8.794,-1.481,-4.69,-38.15,-59.08,22.47
378.0,8.844,-1.859,-4.48,8.787,-0.261,-3.96,-34.44,-64.82,13.51
,9.332,-2.065,-4.451,8.792,-0.972,-3.676,-33.04,-67.62,11.06
,9.531,-1.498,-4.252,9.569,-2.192,-3.317,-30.94,-69.23,9.45
,9.11,-0.584,-4.221,11.213,-2.067,-2.797,-31.22,-70.84,8.82
453.0,12.252,0.081,-1.996,13.037,3.108,-1.84,-43.4,-104.93,4.41
,11.797,2.63,-1.419,12.895,2.235,-1.902,-42.28,-107.8,4.41
,11.859,4.446,-1.326,12.903,1.541,-2.434,-50.19,-110.32,6.79
,12.783,4.264,-1.397,12.383,0.864,-3.527,-66.5,-108.5,11.06
529.0,11.627,0.213,-4.185,11.615,0.766,-8.052,-99.68,-90.86,23.03
,11.424,-0.103,-5.307,10.866,0.952,-8.483,-97.09,-93.66,25.2
,11.534,0.208,-6.473,9.88,1.218,-8.787,-93.94,-95.06,27.44
,11.735,0.629,-7.583,8.815,0.916,-10.242,-90.58,-92.05,29.4
605.0,8.603,0.591,-9.526,7.629,-0.407,-11.043,-93.94,-31.36,23.31
,7.971,0.026,-10.122,6.932,-0.706,-10.837,-88.83,-20.16,20.65
,7.332,0.223,-10.232,6.813,-1.524,-9.143,-82.32,-10.92,18.97
,7.394,0.316,-9.675,7.274,-2.201,-9.289,-76.86,-5.67,18.41
681.0,7.499,-1.665,-9.069,6.195,-1.852,-8.677,-31.57,43.12,23.8
,7.351,-1.204,-8.935,5.693,-1.57,-8.48,-17.22,56.07,23.73
,7.121,-1.323,-9.04,5.296,-1.244,-8.71,-9.03,68.32,22.68
,6.717,-1.713,-8.796,5.087,-0.689,-8.753,-0.42,79.1,20.09
757.0,4.853,-0.182,-9.002,4.551,0.543,-8.851,48.02,124.32,9.94
,5.035,0.34,-9.162,4.444,0.103,-8.739,48.72,132.93,9.03
,4.992,0.687,-9.095,4.298,-0.428,-8.808,45.99,142.31,7.84
,4.707,0.771,-9.014,4.365,-0.809,-8.76,40.81,149.38,6.93
832.0,4.585,-1.086,-8.677,4.994,-1.421,-8.397,18.13,159.81,19.53
,4.748,-1.318,-8.571,5.14,-1.756,-8.15,21.0,161.0,20.44
,4.805,-1.33,-8.519,5.353,-2.154,-8.088,25.83,162.54,20.37
,4.877,-1.359,-8.37,5.444,-2.278,-8.265,32.34,163.73,19.46
908.0,5.329,-1.685,-8.26,5.444,-0.172,-6.602,87.78,167.93,3.57
,5.03,-1.18,-7.542,5.511,-0.182,-6.157,93.03,167.58,0.0
,4.891,-0.692,-7.327,6.511,0.325,-5.834,95.69,165.69,-3.64
,5.099,-0.297,-7.195,7.377,0.981,-5.319,96.46,163.38,-8.4
983.0,8.531,1.381,-4.958,8.629,1.467,-2.905,97.3,152.81,-31.22
,9.313,1.196,-4.41,8.107,1.732,-1.847,95.2,157.71,-30.87
,9.227,0.995,-4.101,9.541,2.003,-0.057,96.46,160.86,-30.1
,9.249,1.027,-3.403,10.019,2.101,-0.151,102.62,160.79,-29.19
1059.0,8.882,0.95,-0.012,8.023,2.075,1.062,100.59,132.16,-28.56
,8.693,0.337,0.428,7.916,2.824,0.905,92.12,121.24,-26.74
,8.442,0.251,0.792,7.693,3.321,0.782,88.41,108.43,-28.42
,8.169,1.218,0.869,7.669,3.032,0.739,90.23,92.61,-31.57
1135.0,7.669,1.998,0.337,7.813,0.964,-2.824,65.38,13.3,-5.11
,7.385,1.161,-0.268,8.342,1.113,-2.85,58.1,0.56,4.76
