Timestamp,AccX,AccY,AccZ,GyroX,GyroY,GyroZ
563725,0.57430,9.753493,0.21536,0.350000,-4.550000,1.260000
563734,0.88538,9.734350,0.4786,0.420000,-4.620000,1.330000
563743,0.90931,9.784601,0.26322,0.560000,-4.550000,1.190000
563752,0.98109,9.729565,0.43072,0.630000,-4.690000,1.120000
563761,0.52644,9.751101,0.14357,0.490000,-4.480000,1.120000
563770,0.78966,9.748708,0.35894,0.420000,-4.550000,1.190000
563779,0.40679,9.746315,0.4786,0.490000,-4.480000,1.190000
563788,0.71787,9.724778,0.2393,0.630000,-4.550000,1.190000
563806,0.71787,9.734350,0.23929,0.700000,-4.620000,1.120000
563816,0.59823,9.775029,0.9572,0.630000,-4.620000,1.120000
563826,0.90931,9.765458,0.16750,0.420000,-4.620000,1.190000
563836,0.57430,9.734350,0.4786,0.490000,-4.620000,1.190000
563846,0.69394,9.710421,0.26322,0.630000,-4.550000,1.120000
563856,0.52644,9.708028,0.26322,0.770000,-4.620000,1.190000
563866,0.71787,9.719993,0.14357,0.910000,-4.410000,1.120000
563876,0.71787,9.741529,0.9572,1.50000,-4.550000,1.260000
563887,0.69394,9.755886,0.7179,1.190000,-4.340000,1.190000
563897,0.71787,9.748708,0.9572,1.260000,-4.480000,1.260000
563907,0.59823,9.765458,0.31108,1.260000,-4.480000,1.190000
563917,0.38287,9.727171,0.11965,0.840000,-4.410000,1.260000
563927,0.59823,9.782208,0.14357,0.350000,-4.410000,1.330000
563937,0.76573,9.779816,0.4786,0.210000,-4.550000,1.260000
563947,0.40679,9.696064,0.43072,0.0,-4.550000,1.260000
563957,0.90931,9.748708,0.21536,0.70000,-4.550000,1.260000
563967,0.26322,9.743921,0.28715,0.210000,-4.410000,1.190000
563977,0.88538,9.741529,0.7179,0.140000,-4.760000,1.190000
563987,0.31108,9.731957,0.4786,0.210000,-4.480000,1.190000
563997,0.28715,9.763065,0.9572,0.210000,-4.410000,1.120000
564007,0.43072,9.688885,0.23929,0.350000,-4.550000,1.120000
564017,0.71787,9.734350,0.14357,0.490000,-4.550000,1.120000
